Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
08:59 PM,HELA APPAREL HOLDINGS PLC,HELA.N0000,7.4,134,419330,3060294,-0.1,-1.33
08:37 PM,AITKEN SPENCE PLC,SPEN.N0000,139.75,23,14840,2075532.75,-1.75,-1.24
08:22 PM,PEOPLE'S INSURANCE PLC,PINS.N0000,25.3,17,9978,251137.9,-0.3,-1.17
08:34 PM,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,34.9,10,3653,127826.8,-0.4,-1.13
08:59 PM,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,35.8,16,758,26710.2,-0.4,-1.12
08:37 PM,JETWING SYMPHONY PLC,JETS.N0000,8.9,15,29900,264905,-0.1,-1.11
08:59 PM,ALUMEX PLC,ALUM.N0000,9,52,91806,826734.1,-0.1,-1.1
08:59 PM,MELSTACORP PLC,MELS.N0000,82,215,2788206,240986899.4,-0.9,-1.09
08:59 PM,LANKA IOC PLC,LIOC.N0000,119,442,332844,39584500.75,-1.25,-1.04
08:44 PM,AGALAWATTE PLANTATIONS PLC,AGAL.N0000,34.8,64,90787,3071887.2,-0.3,-0.87
08:53 PM,LAUGFS GAS PLC,LGL.N0000,35.1,16,5421,193523.7,-0.3,-0.83
08:59 PM,ACL PLASTICS PLC,APLA.N0000,390,34,1350,523379.5,-3.25,-0.83
08:52 PM,CEYLON COLD STORES PLC,CCS.N0000,49,49,74225,3578828.1,-0.4,-0.82
08:59 PM,THREE ACRE FARMS PLC,TAFL.N0000,221,172,196230,44233052.25,-1.75,-0.79
08:55 PM,RICHARD PIERIS EXPORTS PLC,REXP.N0000,570.25,38,1868,1067786.5,-4.25,-0.74
08:58 PM,ELPITIYA PLANTATIONS PLC,ELPL.N0000,88.1,57,8601,762588.7,-0.6,-0.67
08:57 PM,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,15.9,59,178688,2855372.1,-0.1,-0.62
08:55 PM,BAIRAHA FARMS PLC,BFL.N0000,168,37,6494,1091892,-1,-0.59
08:57 PM,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,17.3,33,46810,793010.3,-0.1,-0.59
08:57 PM,MASKELIYA PLANTATIONS PLC,MASK.N0000,36,30,28554,1016758.7,-0.2,-0.55
08:54 PM,C. W. MACKIE PLC,CWM.N0000,91.4,45,13747,1248041,-0.5,-0.55
08:04 PM,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,182.25,9,151,27519.75,-1,-0.55
08:58 PM,WATAWALA PLANTATIONS PLC,WATA.N0000,74,99,34277,2540404.2,-0.4,-0.54
08:53 PM,BALANGODA PLANTATIONS PLC,BALA.N0000,61.9,62,12872,783958.9,-0.3,-0.49
08:37 PM,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,40.8,15,1359,55734.4,-0.2,-0.49
08:43 PM,DANKOTUWA PORCELAIN PLC,DPL.N0000,26.6,26,431882,11500823.7,-0.1,-0.37
08:57 PM,HAYCARB PLC,HAYC.N0000,66.9,70,129665,8701210.4,-0.2,-0.3
05:44 PM,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,46,5,905,41430.5,-0.1,-0.22
08:58 PM,COLOMBO INVESTMENT TRUST PLC,CIT.N0000,116,3,315,36545,-0.25,-0.22
08:24 PM,HORANA PLANTATIONS PLC,HOPL.N0000,46.5,16,1980,92070.5,-0.1,-0.21
08:46 PM,CEYLON HOSPITALS PLC,CHL.N0000,130,5,1189,150964.75,-0.25,-0.19
07:11 PM,CARSON CUMBERBATCH PLC,CARS.N0000,275,4,110,30751,-0.5,-0.18
08:35 PM,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,599.75,36,3361,2010502.5,-1,-0.17
