Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
08:59 PM,SATHOSA MOTORS PLC,SMOT.N0000,189.5,35,1614,291820.5,-23,-11.3
08:44 PM,SMB FINANCE PLC,SEMB.N0000,0.8,58,364470,292013.4,-0.1,-11.11
08:59 PM,HELA APPAREL HOLDINGS PLC,HELA.N0000,6.7,1292,13755130,90536063.6,-0.8,-10.81
08:49 PM,UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,76.6,117,26195,2071659.2,-7.6,-8.94
08:33 PM,CEYLON PRINTERS PLC,CPRT.N0000,144,17,345,47027,-13,-8.7
06:23 PM,TANGERINE BEACH HOTELS PLC,TANG.N0000,54.6,2,100,5460,-4.7,-7.93
08:10 PM,BERUWALA RESORTS PLC,BERU.N0000,1.4,14,151500,212100,-0.1,-6.67
08:45 PM,STANDARD CAPITAL PLC,SING.N0000,38.5,33,1214,44687.4,-2.3,-5.91
08:35 PM,CHEMANEX PLC,CHMX.N0000,88.8,13,354,30644.7,-5.2,-5.7
08:47 PM,HAYLEYS FIBRE PLC,HEXP.N0000,58,28,5568,328990.3,-3.5,-5.67
08:42 PM,PMF FINANCE PLC,PMB.N0000,5.1,8,14802,77591,-0.3,-5.56
05:59 PM,C M HOLDINGS PLC,COLO.N0000,86,26,1152,94849.2,-4.4,-5.07
06:11 PM,REGNIS (LANKA) PLC,REG.N0000,52,11,4680,245880.2,-2.7,-4.94
06:13 PM,MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,199,7,170,33925,-10.25,-4.89
08:45 PM,SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,33.5,12,1434,48052.9,-1.7,-4.83
08:50 PM,HVA FOODS PLC,HVA.N0000,4,23,54091,218504,-0.2,-4.76
08:01 PM,ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,28.5,8,4260,121466.5,-1.4,-4.68
08:20 PM,RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,82,53,3615,303666.4,-3.9,-4.53
08:55 PM,HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,39.4,69,10014,382746.8,-1.8,-4.39
08:57 PM,CHRISSWORLD PLC,CWL.N0000,11,14,5516,61585.7,-0.5,-4.35
07:58 PM,RENUKA HOLDINGS PLC,RHL.X0000,11.5,9,3418,39939,-0.5,-4.17
08:59 PM,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,76.2,158,90425,6768996.1,-3.2,-4.13
08:03 PM,BROWNS BEACH HOTELS PLC,BBH.N0000,14.2,8,3162,44949,-0.6,-4.05
08:40 PM,JAT HOLDINGS PLC,JAT.N0000,17,46,69325,1166115,-0.7,-4
06:49 PM,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,48.4,10,570,26261.1,-1.9,-3.96
08:49 PM,HOTEL SIGIRIYA PLC,HSIG.N0000,41.6,39,24599,1035348.4,-1.7,-3.91
08:25 PM,RENUKA FOODS PLC,COCO.N0000,19.7,4,1870,36863,-0.8,-3.9
08:59 PM,BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,44.4,37,3292,143882.3,-1.7,-3.7
