Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
11/21/17,RENUKA HOTELS PLC,RCH.N0000,97.1,7,1310,121151,-0.5,-0.51
5/4/17,R I L PROPERTY PLC,RIL.N0000,6.9,94,567195,3891275.6,0,0
4/4/17,B P P L HOLDINGS PLC,BPPL.N0000,21.4,1,43,924.5,0,0
