Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
12/30/97,LB FINANCE PLC,LFIN.N0000,72,255,535254,38441260,1.9,2.71
12/1/97,WATAWALA PLANTATIONS PLC,WATA.N0000,73.6,160,197967,14601573.9,-0.4,-0.54
11/5/97,MASKELIYA PLANTATIONS PLC,MASK.N0000,35.4,25,40803,1461574.5,-0.6,-1.67
8/29/97,THE LIGHTHOUSE HOTEL PLC,LHL.N0000,31.9,19,9279,296580,-0.3,-0.93
6/18/97,MARAWILA RESORTS PLC,MARA.N0000,2.7,50,647641,1740668.7,0.1,3.85
1/22/97,LION BREWERY (CEYLON) PLC,LION.N0000,715,6,500,357483,10,1.42
