Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
12/8/10,LAUGFS GAS PLC,LGL.X0000,22.8,13,2300,52630,-0.8,-3.39
12/8/10,LAUGFS GAS PLC,LGL.N0000,36.6,48,72665,2618221.8,0.9,2.52
11/25/10,LOTUS HYDRO POWER PLC,HPFL.N0000,9.5,212,286173,2659593.1,0,0
10/6/10,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,81.9,49,36780,2954198.6,3.2,4.07
10/6/10,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,187,22,2821,527208.25,4.75,2.61
8/4/10,ODEL PLC,ODEL.N0000,15.7,1,100,1570,0.1,0.64
5/4/10,VALLIBEL FINANCE PLC,VFIN.N0000,40.6,874,4787766,192160313.5,3.9,10.63
4/29/10,RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,8.4,137,254722,2126800,0.3,3.7
3/16/10,CEYLON TEA BROKERS PLC,CTBL.N0000,4.7,43,67680,313248.8,0,0
1/4/10,RENUKA AGRI FOODS PLC,RAL.N0000,4.8,166,661611,3137975.2,0,0
