Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
10/14/96,CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,92,74,138463,12713990.9,0.5,0.55
8/1/96,TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,48,8,1464,70236.3,1.9,4.12
3/11/96,HAYLEYS LEISURE PLC,CONN.N0000,23.1,18,5079,116223.8,0.2,0.87
2/12/96,HORANA PLANTATIONS PLC,HOPL.N0000,46.5,16,1980,92070.5,-0.1,-0.21
1/22/96,AGALAWATTE PLANTATIONS PLC,AGAL.N0000,34.3,64,90787,3071887.2,-0.3,-0.87
1/18/96,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,77.5,28,16227,1256406,0.4,0.52
1/8/96,KEGALLE PLANTATIONS PLC,KGAL.N0000,121.75,40,7385,903633.5,-2.75,-2.21
