Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
12/17/12,HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.1,2,24,122.4,0,0
9/12/12,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4.2,66,222022,916280.8,0,0
7/4/12,BERUWALA RESORTS PLC,BERU.N0000,1.4,14,151500,212100,-0.1,-6.67
6/18/12,RAMBODA FALLS PLC,RFL.N0000,28.5,2,52,1443.4,0,0
5/31/12,SANASA DEVELOPMENT BANK PLC,SDB.N0000,37.2,70,49655,1875079.1,1.1,3.05
5/17/12,AMBEON CAPITAL PLC,TAP.N0000,9.4,65,419268,3939712.8,-0.1,-1.05
4/25/12,MACKWOODS ENERGY PLC,MEL.N0000,2,72,439039,878078.1,0,0
3/27/12,ACCESS ENGINEERING PLC,AEL.N0000,17.3,141,410701,7211921.7,0,0
2/16/12,AGSTAR PLC,AGST.N0000,9.9,290,1017043,10183889.4,-0.2,-1.98
2/16/12,AGSTAR PLC,AGST.X0000,6.2,,,,0,0
1/12/12,ASIA ASSET FINANCE PLC,AAF.P0000,11.7,,,,0,0
1/12/12,ASIA ASSET FINANCE PLC,AAF.N0000,13,9,56499,733024.7,0,0
1/3/12,WASKADUWA BEACH RESORT PLC,CITW.N0000,2.9,23,162833,472294.5,-0.1,-3.33
