Listed Date>,Company Name,Symbol,Last Traded Price (Rs)>,Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
10/12/09,NAMAL ACUITY VALUE FUND,NAVF.U0000,0,,,,0,0
10/8/09,RESUS ENERGY PLC,HPWR.N0000,13.7,17,12389,169934.2,-0.3,-2.14
1/22/09,SOFTLOGIC FINANCE PLC,CRL.N0000,7.9,31,22325,178854.5,0.7,9.72
