,node,stock_market_value(million),rdm_node
174,000612.SZ,10458.9702235,772
175,000613.SZ,3184.101856,955
176,000615.SZ,4072.57124248,1022
177,000616.SZ,14844.705804,1510
178,000617.SZ,4451.106816,605
179,000619.SZ,5148.0,1388
180,000620.SZ,21764.3602394,977
181,000623.SZ,26511.7680912,923
182,000625.SZ,71645.9840212,33
183,000626.SZ,16123.11075,363
184,000627.SZ,15011.3060689,840
185,000628.SZ,2733.6718864,260
186,000629.SZ,25552.709374,1606
187,000631.SZ,11841.4434609,501
188,000635.SZ,4449.32599736,612
189,000636.SZ,8373.28517376,9
190,000637.SZ,4632.37669472,765
191,000638.SZ,6095.18,1108
192,000639.SZ,8606.3535138,1268
193,000650.SZ,20322.0302931,579
194,000651.SZ,190835.385906,1303
195,000652.SZ,14902.4624812,987
196,000655.SZ,11626.9946919,492
197,000656.SZ,20622.1367173,1090
198,000657.SZ,5120.14911585,155
199,000659.SZ,7045.6498096,646
200,000661.SZ,17072.08685,898
201,000663.SZ,2973.76305282,463
202,000665.SZ,4499.6189586,961
203,000666.SZ,5887.38464596,39
204,000667.SZ,17200.460471,1366
205,000668.SZ,5103.28919247,1131
206,000669.SZ,8423.76622266,455
207,000670.SZ,6867.29472,1172
208,000671.SZ,20366.4172245,277
209,000672.SZ,2243.99687021,1588
210,000673.SZ,6858.3168,679
211,000678.SZ,3308.8283172,888
212,000679.SZ,5872.52265312,1580
213,000680.SZ,8469.34874363,1484
214,000681.SZ,8076.60374668,812
215,000682.SZ,8058.9133516,1068
216,000683.SZ,8845.19289216,327
217,000685.SZ,16299.119163,7
218,000686.SZ,32894.2058953,1612
219,000687.SZ,9064.9087441,461
220,000688.SZ,4700.0474277,434
221,000690.SZ,21641.5669585,405
222,000691.SZ,2976.28573861,1079
223,000692.SZ,5157.3963584,831
224,000693.SZ,5052.89782052,1544
225,000695.SZ,5492.03756703,213
226,000697.SZ,14687.5528443,1421
227,000698.SZ,7211.440286,1444
228,000700.SZ,8719.95060415,624
229,000701.SZ,6668.7519666,1301
230,000702.SZ,3332.9155125,1049
231,000703.SZ,14719.7781078,55
232,000705.SZ,4529.95447652,208
233,000707.SZ,5388.70005585,1382
234,000708.SZ,6238.47039225,322
235,000709.SZ,74365.8152952,1041
236,000710.SZ,3234.168,1163
237,000711.SZ,3641.130792,438
238,000712.SZ,19647.0879696,767
239,000713.SZ,4244.005191,2
240,000715.SZ,3451.18901631,400
241,000716.SZ,3828.17014844,1103
242,000717.SZ,12521.433075,930
243,000718.SZ,21206.4504818,577
244,000719.SZ,2377.21329504,1495
245,000720.SZ,14687.4418425,14
246,000721.SZ,5684.8941135,712
247,000722.SZ,10373.8678484,571
248,000723.SZ,3287.35741761,1251
249,000725.SZ,121204.780654,29
250,000726.SZ,7795.109019,480
251,000727.SZ,5443.8194736,1195
252,000728.SZ,74596.518,1144
253,000729.SZ,26097.1315176,249
254,000731.SZ,7917.46743255,1568
255,000732.SZ,31920.7047353,993
256,000733.SZ,11582.9980093,275
257,000735.SZ,8263.97368905,1466
258,000736.SZ,2154.5335845,152
259,000737.SZ,6398.35006118,1070
260,000738.SZ,37989.5002928,1272
261,000739.SZ,7494.18385772,131
262,000750.SZ,33905.9092848,564
263,000751.SZ,14464.9718611,1488
264,000752.SZ,5129.95644256,1001
265,000753.SZ,5683.10402205,315
266,000755.SZ,4992.88323352,507
267,000756.SZ,3715.4121147,1107
268,000757.SZ,4035.1546107,391
269,000758.SZ,17697.6538743,1339
270,000759.SZ,8147.64313377,1066
271,000760.SZ,3796.7422316,1432
272,000761.SZ,21203.5618848,60
273,000762.SZ,9043.135006,211
274,000767.SZ,14824.4070562,1638
275,000768.SZ,107974.611615,110
276,000776.SZ,134071.95166,238
277,000777.SZ,12593.3855922,1147
278,000778.SZ,46128.4003375,1100
279,000779.SZ,3471.5317924,355
280,000780.SZ,9453.33493968,1443
281,000782.SZ,10723.3925595,242
282,000783.SZ,66156.0204591,931
283,000785.SZ,4030.0538529,614
284,000788.SZ,11391.4156854,59
285,000789.SZ,6348.1706784,795
286,000790.SZ,6610.20967007,373
287,000791.SZ,1719.3758631,1271
288,000792.SZ,44453.7721366,1572
289,000793.SZ,30442.8799437,850
290,000795.SZ,4041.1989116,551
291,000796.SZ,6113.7696808,45
292,000797.SZ,11963.4659912,986
293,000798.SZ,5133.54734233,563
294,000799.SZ,4656.66908053,1487
295,000800.SZ,35124.4414606,964
296,000801.SZ,12594.5997606,1437
297,000802.SZ,10910.0236621,545
298,000803.SZ,2371.37461608,1010
299,000806.SZ,18788.2592969,822
300,000807.SZ,12651.2586268,130
301,000809.SZ,6295.9068699,1127
302,000810.SZ,6431.4196128,1595
303,000811.SZ,6108.23350944,1109
304,000812.SZ,8501.42187825,402
305,000815.SZ,7472.83835998,1414
306,000816.SZ,11257.9590605,267
307,000818.SZ,9649.2,1393
308,000819.SZ,9083.31802408,465
309,000821.SZ,8257.64986592,1448
310,000822.SZ,7939.38703491,47
311,000823.SZ,7226.30911286,979
312,000825.SZ,40498.2251688,673
313,000826.SZ,32732.7703453,619
314,000828.SZ,16351.6022842,1077
315,000829.SZ,14059.8590913,401
316,000830.SZ,14581.2421944,1052
317,000831.SZ,19062.69849,57
318,000833.SZ,6270.666231,546
319,000835.SZ,4488.939,869
320,000836.SZ,4963.55233025,1315
321,000837.SZ,4233.13812648,428
322,000838.SZ,3987.4238316,445
323,000839.SZ,36948.3999052,734
324,000848.SZ,13694.8094517,117
325,000850.SZ,11013.3863625,1002
326,000851.SZ,8345.41208729,84
327,000852.SZ,4404.5467675,1428
328,000856.SZ,1995.58644869,709
329,000858.SZ,120323.120319,1309
330,000860.SZ,12898.3116805,1381
331,000861.SZ,21042.9014096,1205
332,000862.SZ,2771.45843563,957
333,000863.SZ,1641.47935872,666
334,000868.SZ,6858.21965758,774
335,000869.SZ,22124.3524198,83
336,000875.SZ,14167.975093,42
337,000876.SZ,33546.4565719,164
338,000877.SZ,10313.7104376,496
339,000878.SZ,28149.629522,1106
340,000880.SZ,2912.15925,1600
341,000882.SZ,16348.5948641,442
342,000883.SZ,46617.7546242,1350
343,000885.SZ,7170.2279544,115
344,000886.SZ,8141.39230204,543
345,000887.SZ,28168.9460074,1476
346,000888.SZ,7865.40145912,910
347,000889.SZ,6262.42755035,615
348,000893.SZ,6796.09372695,729
349,000895.SZ,38765.7607833,1246
350,000897.SZ,15427.2393407,1397
351,000898.SZ,44887.201483,96
352,000899.SZ,8299.9799896,279
353,000900.SZ,10375.4435911,441
354,000901.SZ,21278.2925307,1166
355,000902.SZ,7004.7,926
356,000903.SZ,6910.95018646,1583
357,000905.SZ,8230.5,254
358,000906.SZ,6433.58890692,781
359,000908.SZ,4592.622325,1482
360,000910.SZ,8978.05,1562
361,000911.SZ,4913.0096,854
362,000912.SZ,4861.35,1114
363,000913.SZ,4915.25000148,418
364,000915.SZ,10040.891224,113
365,000916.SZ,9068.58366336,0
366,000917.SZ,35424.2261338,549
367,000918.SZ,13874.232635,517
368,000919.SZ,5362.61193476,1436
369,000920.SZ,9570.96,1151
370,000921.SZ,11000.9574894,701
371,000922.SZ,5115.1759,1587
372,000923.SZ,5128.17669,1115
373,000925.SZ,8316.9317808,980
374,000926.SZ,7481.31646402,1457
375,000927.SZ,15409.3514736,548
376,000928.SZ,7018.72419,797
377,000929.SZ,3987.38667996,1511
378,000930.SZ,18179.1495178,383
379,000931.SZ,9280.2599764,313
