Label,Month,Year,Close (Rs.),Inflation
JKH.N0000,8,1986,0.0,9.8
SUN.N0000,3,1990,12.5,22.3
GREG.N0000,4,1990,0.5,22.6
SELI.N0000,1,1991,550.0,15.4
SHAL.N0000,2,1991,575.0,13.7
KZOO.N0000,4,1991,125.0,14.0
GOOD.N0000,7,1991,535.0,11.7
JKH.N0000,7,1991,0.0,11.7
LPRT.N0000,7,1991,28.25,11.7
PARA.N0000,7,1991,45.75,11.7
ARPI.N0000,8,1991,70.5,12.0
BINN.N0000,8,1991,49.5,12.0
BRWN.N0000,8,1991,197.5,12.0
CARG.N0000,8,1991,350.0,12.0
CFIN.N0000,8,1991,230.0,12.0
CFLB.N0000,8,1991,28.25,12.0
CFT.N0000,8,1991,85.0,12.0
CIND.N0000,8,1991,26.5,12.0
COMB.N0000,8,1991,240.0,12.0
CTC.N0000,8,1991,49.375,12.0
CTCE.N0000,8,1991,48.5,12.0
CTHR.N0000,8,1991,130.0,12.0
DFCC.N0000,8,1991,1425.0,12.0
DIPD.N0000,8,1991,165.0,12.0
EAST.N0000,8,1991,34.0,12.0
GHLL.N0000,8,1991,6.125,12.0
HAYC.N0000,8,1991,175.0,12.0
HAYL.N0000,8,1991,547.5,12.0
HDEV.N0000,8,1991,12.0,12.0
HUEJ.N0000,8,1991,50.0,12.0
JKH.N0000,8,1991,306.625,12.0
LCEM.N0000,8,1991,7.0,12.0
LDEV.N0000,8,1991,54.0,12.0
LMF.N0000,8,1991,35.0,12.0
MIRA.N0000,8,1991,60.0,12.0
MORI.N0000,8,1991,250.0,12.0
OSEA.N0000,8,1991,12.75,12.0
PDL.N0000,8,1991,18.0,12.0
RICH.N0000,8,1991,385.0,12.0
SAMP.N0000,8,1991,22.666666666666668,12.0
SEYB.N0000,8,1991,40.8125,12.0
SHOT.N0000,8,1991,46.0,12.0
SUGA.N0000,8,1991,13.0,12.0
TILE.N0000,8,1991,56.5,12.0
ACL.N0000,9,1991,100.0,10.1
ASIR.N0000,9,1991,20.375,10.1
BHR.N0000,9,1991,54.964285714285715,10.1
CARG.N0000,9,1991,330.0,10.1
CFIN.N0000,9,1991,214.5,10.1
CFLB.N0000,9,1991,27.05,10.1
CHOU.N0000,9,1991,18.8125,10.1
CIC.N0000,9,1991,115.0,10.1
CIND.N0000,9,1991,24.0,10.1
CINV.N0000,9,1991,237.5,10.1
COMB.N0000,9,1991,221.98076923076923,10.1
CTC.N0000,9,1991,45.416666666666664,10.1
CTCE.N0000,9,1991,46.083333333333336,10.1
EQIT.N0000,9,1991,20.0,10.1
GHLL.N0000,9,1991,6.118421052631579,10.1
GRAN.N0000,9,1991,123.5,10.1
HAYC.N0000,9,1991,146.15625,10.1
HAYL.N0000,9,1991,405.0,10.1
HDEV.N0000,9,1991,10.75,10.1
HNB.N0000,9,1991,360.32142857142856,10.1
JKH.N0000,9,1991,285.125,10.1
KAPI.N0000,9,1991,17.057692307692307,10.1
KZOO.N0000,9,1991,125.0,10.1
LCEM.N0000,9,1991,6.178571428571429,10.1
LMF.N0000,9,1991,32.604166666666664,10.1
MORI.N0000,9,1991,250.0,10.1
NEST.N0000,9,1991,20.928571428571427,10.1
ONAL.N0000,9,1991,16.416666666666668,10.1
PARA.N0000,9,1991,40.0,10.1
PARQ.N0000,9,1991,90.0,10.1
PDL.N0000,9,1991,17.931818181818183,10.1
RICH.N0000,9,1991,360.0,10.1
SAMP.N0000,9,1991,20.144736842105264,10.1
SEYB.N0000,9,1991,44.65,10.1
SHOT.N0000,9,1991,39.125,10.1
SPEN.N0000,9,1991,338.1458333333333,10.1
SUGA.N0000,9,1991,11.897058823529411,10.1
TILE.N0000,9,1991,52.529411764705884,10.1
TKYO.N0000,9,1991,21.0625,10.1
ACL.N0000,10,1991,118.36363636363636,10.6
ASIR.N0000,10,1991,21.442307692307693,10.6
BHR.N0000,10,1991,59.654761904761905,10.6
CARG.N0000,10,1991,294.35714285714283,10.6
CFIN.N0000,10,1991,185.875,10.6
CFLB.N0000,10,1991,24.95,10.6
CHOU.N0000,10,1991,16.55,10.6
CIC.N0000,10,1991,114.3125,10.6
CIND.N0000,10,1991,29.69047619047619,10.6
CINV.N0000,10,1991,225.375,10.6
COMB.N0000,10,1991,236.21428571428572,10.6
CTC.N0000,10,1991,47.375,10.6
CTCE.N0000,10,1991,46.666666666666664,10.6
EAST.N0000,10,1991,33.95,10.6
EQIT.N0000,10,1991,19.0,10.6
