Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
CAPITAL ALLIANCE PLC,CALT.N0000,71.1,2578,4011825,279808760.9
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,22.5,2114,15454083,331880939.5
HELA APPAREL HOLDINGS PLC,HELA.N0000,6.7,1292,13755130,90536063.6
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,129,1216,2327215,286027721.3
DFCC BANK PLC,DFCC.N0000,93.1,1124,3896095,359075768.1
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,37.5,933,2517633,94330439.4
VALLIBEL FINANCE PLC,VFIN.N0000,40,876,6787766,270160313.5
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,50.5,822,2665079,137390980.4
BROWNS INVESTMENTS PLC,BIL.N0000,6.1,682,10156931,61918476.7
HAYLEYS FABRIC PLC,MGT.N0000,39.5,629,1972721,76313799.1
First Capital Treasuries PLC,FCT.N0000,43.9,603,2219003,98726967.4
LOLC FINANCE PLC,LOFC.N0000,5.7,523,5139370,28558831
CEYLON INVESTMENT PLC,CINV.N0000,59,512,485507,28011053.1
ROYAL CERAMICS LANKA PLC,RCL.N0000,29,486,1051344,30471466.5
LANKA IOC PLC,LIOC.N0000,120.5,474,619248,73286461.5
SUNSHINE HOLDINGS PLC,SUN.N0000,53.9,454,3010342,161544081.4
SAMPATH BANK PLC,SAMP.N0000,74.5,445,2303524,168118975.6
EXPOLANKA HOLDINGS PLC,EXPO.N0000,149,386,385107,57245258.5
ACL CABLES PLC,ACL.N0000,73,379,365674,27077199.5
SEYLAN BANK PLC,SEYB.X0000,44,352,2285831,101733294.6
JOHN KEELLS HOLDINGS PLC,JKH.N0000,191.5,342,1810845,349875477.3
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,31.4,335,483686,14633993.1
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,93.7,329,142853,13237000.9
VALLIBEL ONE PLC,VONE.N0000,44.5,326,464422,20903824.6
SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.1,314,2819740,34482852.6
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,24.9,311,1238069,30436066.4
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,79.3,299,821565,65294713.6
NATIONS TRUST BANK PLC,NTB.N0000,121.75,292,376895,46390112.25
AGSTAR PLC,AGST.N0000,10.1,290,1017043,10183889.4
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,12.6,260,2980896,37271332.8
Ex-pack Corrugated Cartons PLC,PACK.N0000,13.5,259,602003,8132650.4
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,135.5,258,359958,47493233.25
LB FINANCE PLC,LFIN.N0000,72,255,535254,38441260
L O L C HOLDINGS PLC,LOLC.N0000,463,249,92270,42565467
SRI LANKA TELECOM PLC,SLTL.N0000,89,235,127120,11222388
DIPPED PRODUCTS PLC,DIPD.N0000,31.5,229,253963,8074012.7
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,96.2,218,378220,36429553.7
HAYLEYS PLC,HAYL.N0000,88,213,454706,39765618.8
LOTUS HYDRO POWER PLC,HPFL.N0000,9.7,212,286173,2659593.1
