,20150504
14:15:00,-0.000518358542925
14:16:00,-0.00034572169748
14:17:00,-0.00311688564025
14:18:00,0.0
14:19:00,-0.000867528465965
14:20:00,0.000867528465965
14:21:00,0.0
14:22:00,0.00587931833616
14:23:00,0.00241088458431
14:24:00,-0.00137693653425
14:25:00,-0.001723841144
14:26:00,0.000689893093938
14:27:00,0.000344768146839
14:28:00,-0.00258866310751
14:29:00,0.000345542505166
14:30:00,-0.000691204451228
14:31:00,0.000518448123597
14:32:00,0.00207110878314
14:33:00,-0.000344887052909
14:34:00,-0.00310934781518
14:35:00,-0.000865426276428
14:36:00,-0.00155965719165
14:37:00,0.00225205811943
14:38:00,-0.00190525735299
14:39:00,-0.000346800766438
14:40:00,-0.000520426761681
14:41:00,0.00121390806548
14:42:00,-0.000693481303798
14:43:00,0.000693481303798
14:44:00,0.00155857681563
14:45:00,0.000173025348645
14:46:00,0.0022466094302
14:47:00,-0.000690727017619
14:48:00,-0.00155588241258
14:49:00,-0.00259852896326
14:50:00,0.000173445495188
14:51:00,0.000693481303798
14:52:00,-0.00173460581221
14:53:00,0.00138792527485
14:54:00,0.000519975746181
14:55:00,-0.000173295208821
14:56:00,0.00173160216428
14:57:00,0.0
15:00:00,0.0
