,20150729,20150730,20150731,20150504
11:19:00,0.0,0.0,0.0,-0.000502386345658
11:20:00,0.0,,0.0,0.0
11:21:00,0.0,0.0,0.0,0.0
11:22:00,0.0,0.0,0.0,0.0
11:23:00,0.0,0.0,0.0,0.000502386345658
11:24:00,0.0,0.0,0.0,0.000502134080347
11:25:00,,0.0,0.0,-0.00100452042601
11:26:00,,0.0,0.0,0.00200803280325
11:27:00,0.0,0.0,0.0,0.0
11:28:00,0.0,0.0,0.0,-0.00100351237724
11:29:00,0.0,0.0,0.0,-0.00100452042601
11:30:00,,,0.0,0.00200803280325
13:00:00,0.0,0.0,0.0,-0.00100351237724
13:01:00,0.0,0.0,0.0,0.0
13:02:00,0.0,0.0,0.0,0.0
13:03:00,0.0,0.0,0.0,0.000501882068251
13:04:00,0.0,0.0,0.0,0.0
13:05:00,,0.0,0.0,-0.000501882068251
13:06:00,0.0,0.0,0.0,0.0
13:07:00,,0.0,0.0,-0.000502134080347
13:08:00,0.0,0.0,0.0,0.0
13:09:00,0.0,0.0,,0.0010040161486
13:10:00,0.0,0.0,0.0,-0.0010040161486
13:11:00,,0.0,0.0,0.000502134080347
13:12:00,0.0,0.0,0.0,0.000501882068251
13:13:00,,0.0,0.0,0.00100300911117
13:14:00,,0.0,0.0,-0.00250941160543
13:15:00,0.0,0.0,0.0,0.0
13:16:00,,0.0,0.0,-0.000502638864566
13:17:00,,0.0,0.0,0.000502638864566
13:18:00,,0.0,0.0,-0.000502638864566
13:19:00,,0.0,0.0,0.0
13:20:00,0.0,0.0,0.0,0.000502638864566
13:21:00,0.0,0.0,0.0,0.0
13:22:00,0.0,0.0,0.0,0.0
13:23:00,,0.0,0.0,0.00100452042601
13:24:00,,0.0,0.0,0.0
13:25:00,,0.0,0.0,-0.00100452042601
13:26:00,0.0,0.0,0.0,0.0
13:27:00,0.0,0.0,0.0,0.000502386345658
13:28:00,0.0,0.0,0.0,0.0
13:29:00,,0.0,0.0,0.0
13:30:00,0.0,0.0,0.0,-0.000502386345658
13:31:00,0.0,0.0,0.0,0.0
13:32:00,0.0,0.0,,-0.000502638864566
13:33:00,0.0,0.0,0.0,0.0
13:34:00,,0.0,0.0,0.000502638864566
13:35:00,0.0,0.0,0.0,-0.000502638864566
13:36:00,,0.0,0.0,0.0
13:37:00,,0.0,0.0,-0.000502891637453
13:38:00,,0.0,0.0,0.0
13:39:00,0.0,0.0,0.0,-0.000503144664703
13:40:00,0.0,0.0,0.0,-0.00100704943053
13:41:00,0.0,0.0,0.0,0.0
13:42:00,,0.0,0.0,0.00100704943053
13:43:00,0.0,0.0,0.0,-0.00100704943053
13:44:00,0.0,0.0,0.0,0.0
13:45:00,0.0,0.0,0.0,0.0
13:46:00,,0.0,0.0,-0.00100806460149
13:47:00,0.0,0.0,,-0.000504413629863
13:48:00,,0.0,0.0,0.00302267232659
13:49:00,,0.0,0.0,0.0
13:50:00,0.0,0.0,0.0,0.0
13:51:00,0.0,0.0,0.0,0.000502891637453
13:52:00,0.0,0.0,0.0,0.000502638864566
13:53:00,,0.0,0.0,0.00200803280325
13:54:00,0.0,0.0,0.0,0.00050137880218
13:55:00,0.0,0.0,0.0,0.00100200409185
13:56:00,,0.0,0.0,0.000500625792684
13:57:00,0.0,0.0,0.0,0.0
13:58:00,0.0,0.0,0.0,-0.000500625792684
13:59:00,0.0,0.0,0.0,-0.00100200409185
14:00:00,0.0,0.0,0.0,0.0
14:01:00,0.0,0.0,0.0,0.0
14:02:00,,0.0,0.0,-0.00100300911117
14:03:00,,0.0,0.0,0.000501630308989
14:04:00,,0.0,0.0,-0.000501630308989
14:05:00,0.0,0.0,0.0,-0.00200904135882
14:06:00,0.0,0.0,0.0,0.0
14:07:00,0.0,0.0,0.0,0.0
