Listed Traded Time,Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
17-08-2023,AMBEON CAPITAL PLC,TAP.N0000,9.4,65,419268,3939712.8,-0.1,-1.05
17-08-2023,UNION BANK OF COLOMBO PLC,UBC.N0000,10.9,187,1195781,12915213.6,0.4,3.81
17-08-2023,LOTUS HYDRO POWER PLC,HPFL.N0000,9.5,212,286173,2659593.1,0,0
17-08-2023,KELANI CABLES PLC,KCAB.N0000,284.5,126,20035,5675447.5,-0.5,-0.18
17-08-2023,HAYLEYS FABRIC PLC,MGT.N0000,39,629,1972721,76313799.1,1,2.63
17-08-2023,LANKA WALLTILE PLC,LWL.N0000,45.8,205,137174,6241853.7,-0.6,-1.29
17-08-2023,PGP GLASS CEYLON PLC,GLAS.N0000,25.8,164,359724,9222676.9,0.8,3.2
17-08-2023,HELA APPAREL HOLDINGS PLC,HELA.N0000,6.6,1292,13755130,90536063.6,-0.8,-10.81
17-08-2023,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,57.3,108,410186,23332860.7,1.3,2.32
17-08-2023,KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,74.3,158,90425,6768996.1,-3.2,-4.13
17-08-2023,BROWNS INVESTMENTS PLC,BIL.N0000,6.1,682,10156931,61918476.7,-0.1,-1.61
17-08-2023,DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,600.25,20,1516,909973.5,2.25,0.38
17-08-2023,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,92.6,329,142853,13237000.9,2.4,2.66
17-08-2023,DFCC BANK PLC,DFCC.N0000,93.1,1123,3396095,314075768.1,5.6,6.4
17-08-2023,LOLC FINANCE PLC,LOFC.N0000,5.6,523,5139370,28558831,-0.1,-1.75
17-08-2023,VALLIBEL FINANCE PLC,VFIN.N0000,40.6,874,4787766,192160313.5,3.9,10.63
17-08-2023,SATHOSA MOTORS PLC,SMOT.N0000,180.5,35,1614,291820.5,-23,-11.3
17-08-2023,CAPITAL ALLIANCE PLC,CALT.N0000,70.7,2578,4011825,279808760.9,5.3,8.1
17-08-2023,DOLPHIN HOTELS PLC,STAF.N0000,34,28,18330,630510.7,0.9,2.72
17-08-2023,SOFTLOGIC CAPITAL PLC,SCAP.N0000,12.1,314,2819740,34482852.6,-0.4,-3.2
