Label,Month,Year,Natural_Disasters,Close (Rs.)
CINV.N0000,11,1991,0.0,229.0
COMB.N0000,11,1991,0.0,241.07142857142858
CTC.N0000,11,1991,0.0,50.263888888888886
CTCE.N0000,11,1991,0.0,48.708333333333336
CTHR.N0000,11,1991,0.0,329.5
DFCC.N0000,11,1991,0.0,1088.3333333333333
DIPD.N0000,11,1991,0.0,144.25
EAST.N0000,11,1991,0.0,36.708333333333336
GHLL.N0000,11,1991,0.0,6.25
GRAN.N0000,11,1991,0.0,136.1
HAYC.N0000,11,1991,0.0,144.75
HAYL.N0000,11,1991,0.0,426.2708333333333
HDEV.N0000,11,1991,0.0,10.363636363636363
HNB.N0000,11,1991,0.0,394.9166666666667
JKH.N0000,11,1991,0.0,307.4342105263158
KAPI.N0000,11,1991,0.0,26.13157894736842
LCEM.N0000,11,1991,0.0,6.676470588235294
LMF.N0000,11,1991,0.0,33.109375
MORI.N0000,11,1991,0.0,256.5
NEST.N0000,11,1991,0.0,26.86842105263158
ONAL.N0000,11,1991,0.0,16.75
OSEA.N0000,11,1991,0.0,18.22222222222222
PARA.N0000,11,1991,0.0,78.25
PARQ.N0000,11,1991,0.0,116.8
PDL.N0000,11,1991,0.0,17.65
RICH.N0000,11,1991,0.0,327.6666666666667
SAMP.N0000,11,1991,0.0,23.875
SEYB.N0000,11,1991,0.0,44.1625
SHOT.N0000,11,1991,0.0,65.825
SPEN.N0000,11,1991,0.0,317.45
SUGA.N0000,11,1991,0.0,19.425
TILE.N0000,11,1991,0.0,52.142857142857146
TKYO.N0000,11,1991,0.0,28.589285714285715
ACL.N0000,12,1991,0.0,192.57142857142858
ARPI.N0000,12,1991,0.0,70.0
ASIR.N0000,12,1991,0.0,25.21875
BHR.N0000,12,1991,0.0,79.16666666666667
BRWN.N0000,12,1991,0.0,150.0
CARG.N0000,12,1991,0.0,224.44444444444446
CFIN.N0000,12,1991,0.0,251.70833333333334
CFLB.N0000,12,1991,0.0,28.555555555555557
CFT.N0000,12,1991,0.0,80.0
CHOU.N0000,12,1991,0.0,18.5
CIC.N0000,12,1991,0.0,92.625
CIND.N0000,12,1991,0.0,72.69736842105263
CINV.N0000,12,1991,0.0,117.5
COMB.N0000,12,1991,0.0,268.765625
CTC.N0000,12,1991,0.0,54.44117647058823
CTCE.N0000,12,1991,0.0,54.5
DFCC.N0000,12,1991,0.0,1539.6923076923076
DIPD.N0000,12,1991,0.0,127.45
EAST.N0000,12,1991,0.0,39.28125
GHLL.N0000,12,1991,0.0,7.338235294117647
GRAN.N0000,12,1991,0.0,169.05
HAYC.N0000,12,1991,0.0,147.95
HAYL.N0000,12,1991,0.0,403.0833333333333
HDEV.N0000,12,1991,0.0,17.355263157894736
HNB.N0000,12,1991,0.0,401.2291666666667
JKH.N0000,12,1991,0.0,299.0394736842105
KAPI.N0000,12,1991,0.0,39.4
LCEM.N0000,12,1991,0.0,7.318181818181818
LDEV.N0000,12,1991,0.0,54.0
LMF.N0000,12,1991,0.0,30.36842105263158
MIRA.N0000,12,1991,0.0,53.5
MORI.N0000,12,1991,0.0,0.0
NEST.N0000,12,1991,0.0,26.458333333333332
ONAL.N0000,12,1991,0.0,16.625
OSEA.N0000,12,1991,0.0,19.15
