Label,Year,Month,Close (Rs.),Election
HNB.N0000,2012,1,146.64999999999998,0
HNB.X0000,2012,1,82.0,0
HUEJ.N0000,2012,1,150.0,0
IDL.N0000,2012,1,134.75,0
JFIN.N0000,2012,1,270.0,0
JINS.N0000,2012,1,14.3,0
JKH.N0000,2012,1,165.0,0
KAPI.N0000,2012,1,36.2,0
KGAL.N0000,2012,1,98.85,0
KOTA.N0000,2012,1,60.5,0
KURU.N0000,2012,1,25.85,0
KZOO.N0000,2012,1,2699.9,0
LCEM.N0000,2012,1,18.5,0
LDEV.N0000,2012,1,15.5,0
LFIN.N0000,2012,1,135.05,0
LIOC.N0000,2012,1,17.85,0
LION.N0000,2012,1,185.0,0
LLUB.N0000,2012,1,169.0,0
LMF.N0000,2012,1,100.1,0
LOFC.N0000,2012,1,7.6,0
LOLC.N0000,2012,1,75.4,0
LPRT.N0000,2012,1,140.85000000000002,0
LWL.N0000,2012,1,92.6,0
MFL.N0000,2012,1,46.6,0
MGT.N0000,2012,1,23.7,0
MIRA.N0000,2012,1,201.4,0
MORI.N0000,2012,1,309.5,0
MORI.X0000,2012,1,148.1,0
MPRH.N0000,2012,1,23.7,0
NAVF.U0000,2012,1,63.8,0
NDB.N0000,2012,1,127.8,0
NEST.N0000,2012,1,908.8,0
NHL.N0000,2012,1,3.9,0
NIFL.N0000,2012,1,11.5,0
NTB.N0000,2012,1,56.7,0
OGL.N0000,2012,1,28.1,0
ONAL.N0000,2012,1,66.2,0
OSEA.N0000,2012,1,13.6,0
PAP.N0000,2012,1,4.0,0
PARA.N0000,2012,1,1450.0,0
PARQ.N0000,2012,1,19.8,0
PCH.N0000,2012,1,12.8,0
PCP.N0000,2012,1,49.5,0
PDL.N0000,2012,1,55.2,0
PLC.N0000,2012,1,15.3,0
RAL.N0000,2012,1,6.7,0
RCL.N0000,2012,1,136.0,0
REEF.W0018,2012,1,17.9,0
REEF.W0019,2012,1,15.4,0
RICH.N0000,2012,1,8.6,0
RWSL.N0000,2012,1,4.0,0
SAMP.N0000,2012,1,189.1,0
SELI.N0000,2012,1,1095.05,0
SEMB.N0000,2012,1,1.7,0
SEYB.N0000,2012,1,64.0,0
SEYB.X0000,2012,1,29.5,0
SFL.N0000,2012,1,102.85,0
SFS.N0000,2012,1,89.0,0
SHAL.N0000,2012,1,882.0,0
SHL.N0000,2012,1,16.5,0
SHOT.N0000,2012,1,27.45,0
SIRA.N0000,2012,1,4.1,0
SPEN.N0000,2012,1,112.5,0
SUN.N0000,2012,1,28.5,0
TAFL.N0000,2012,1,97.7,0
TFC.N0000,2012,1,38.45,0
TFC.X0000,2012,1,11.8,0
TFIL.N0000,2012,1,19.6,0
TILE.N0000,2012,1,78.0,0
TJL.N0000,2012,1,9.8,0
TKYO.N0000,2012,1,44.1,0
TKYO.X0000,2012,1,28.0,0
TWOD.N0000,2012,1,20.4,0
TYRE.N0000,2012,1,36.4,0
UBC.N0000,2012,1,18.5,0
UDPL.N0000,2012,1,29.1,0
VFIN.N0000,2012,1,42.25,0
VLL.N0000,2012,1,7.7,0
VONE.N0000,2012,1,21.6,0
VPEL.N0000,2012,1,7.8,0
WATA.N0000,2012,1,12.9,0
AAIC.N0000,2012,2,102.25,0
ACL.N0000,2012,2,65.5,0
AGST.N0000,2012,2,18.7,0
AGST.X0000,2012,2,15.0,0
AMF.N0000,2012,2,351.9,0
AMSL.N0000,2012,2,7.55,0
ARPI.N0000,2012,2,103.0,0
ASHA.N0000,2012,2,162.0,0
ASIR.N0000,2012,2,7.7,0
BFL.N0000,2012,2,147.35000000000002,0
BHR.N0000,2012,2,85.0,0
BIL.N0000,2012,2,3.6,0
BINN.N0000,2012,2,132.9,0
BLI.N0000,2012,2,30.65,0
BOGA.N0000,2012,2,29.5,0
BRWN.N0000,2012,2,156.3,0
CARE.N0000,2012,2,31.75,0
CARG.N0000,2012,2,171.85,0
CCS.N0000,2012,2,90.8,0
CDB.X0000,2012,2,52.7,0
CFIN.N0000,2012,2,162.60000000000002,0
CFL.N0000,2012,2,17.6,0
CFLB.N0000,2012,2,37.05,0
CFT.N0000,2012,2,7.6,0
CFVF.N0000,2012,2,11.6,0
CHOU.N0000,2012,2,16.2,0
CIC.N0000,2012,2,95.3,0
CIC.X0000,2012,2,63.3,0
CIFL.N0000,2012,2,6.8,0
CIND.N0000,2012,2,71.9,0
CINV.N0000,2012,2,90.8,0
CITK.N0000,2012,2,11.149999999999999,0
CITW.N0000,2012,2,10.4,0
CLPL.N0000,2012,2,100.0,0
CLPL.W0013,2012,2,17.0,0
CLPL.W0014,2012,2,16.85,0
COCR.N0000,2012,2,17.75,0
COMB.N0000,2012,2,100.1,0
COMB.X0000,2012,2,84.55000000000001,0
CSF.W0021,2012,2,4.1,0
CTC.N0000,2012,2,490.0,0
CTCE.N0000,2012,2,210.45,0
CTHR.N0000,2012,2,150.1,0
DFCC.N0000,2012,2,103.2,0
DIAL.N0000,2012,2,6.9,0
DIPD.N0000,2012,2,93.0,0
DIST.N0000,2012,2,131.1,0
DPL.N0000,2012,2,21.4,0
EAST.N0000,2012,2,16.05,0
ELPL.N0000,2012,2,19.0,0
EQIT.N0000,2012,2,36.7,0
ESL.N0000,2012,2,30.1,0
EXPO.N0000,2012,2,6.9,0
FLCH.N0000,2012,2,2.2,0
GHLL.N0000,2012,2,22.05,0
GLAS.N0000,2012,2,6.45,0
GOOD.N0000,2012,2,1186.2,0
GRAN.N0000,2012,2,71.25,0
GREG.N0000,2012,2,21.25,0
GREG.W0002,2012,2,2.9,0
GREG.W0003,2012,2,7.5,0
GREG.W0006,2012,2,7.7,0
HASU.N0000,2012,2,48.85,0
HAYC.N0000,2012,2,141.05,0
HAYL.N0000,2012,2,361.7,0
HHL.N0000,2012,2,27.6,0
HNB.N0000,2012,2,149.95,0
HNB.X0000,2012,2,91.1,0
HUEJ.N0000,2012,2,125.05,0
IDL.N0000,2012,2,122.3,0
JFIN.N0000,2012,2,310.0,0
JINS.N0000,2012,2,12.2,0
JKH.N0000,2012,2,167.35,0
KAPI.N0000,2012,2,28.799999999999997,0
KGAL.N0000,2012,2,87.0,0
KOTA.N0000,2012,2,56.0,0
KURU.N0000,2012,2,24.5,0
KZOO.N0000,2012,2,2299.0,0
LCEM.N0000,2012,2,14.149999999999999,0
LDEV.N0000,2012,2,12.5,0
LFIN.N0000,2012,2,133.85,0
LIOC.N0000,2012,2,18.7,0
LION.N0000,2012,2,184.5,0
LLUB.N0000,2012,2,170.0,0
LMF.N0000,2012,2,95.5,0
LOFC.N0000,2012,2,5.5,0
LOLC.N0000,2012,2,59.9,0
LPRT.N0000,2012,2,114.15,0
LWL.N0000,2012,2,81.5,0
MFL.N0000,2012,2,32.75,0
MGT.N0000,2012,2,14.7,0
MIRA.N0000,2012,2,151.85,0
MORI.N0000,2012,2,255.0,0
MORI.X0000,2012,2,130.1,0
MPRH.N0000,2012,2,20.35,0
NAVF.U0000,2012,2,61.0,0
NDB.N0000,2012,2,123.95,0
NEST.N0000,2012,2,900.15,0
NHL.N0000,2012,2,3.4,0
NIFL.N0000,2012,2,9.0,0
NTB.N0000,2012,2,56.6,0
OGL.N0000,2012,2,20.9,0
ONAL.N0000,2012,2,65.0,0
OSEA.N0000,2012,2,11.95,0
PALM.N0000,2012,2,184.15,0
PAP.N0000,2012,2,3.0,0
PARA.N0000,2012,2,1750.0,0
PARQ.N0000,2012,2,18.4,0
PCH.N0000,2012,2,10.6,0
PCP.N0000,2012,2,44.1,0
PDL.N0000,2012,2,46.25,0
PLC.N0000,2012,2,13.25,0
RAL.N0000,2012,2,6.7,0
RCL.N0000,2012,2,120.0,0
REEF.W0018,2012,2,10.6,0
REEF.W0019,2012,2,10.4,0
