Label,Year,Month,Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.),Loan Rate,Inflation,Buy Rate,Election
BOGA.N0000,1995,1,4.180555555555555,8.0,8100.0,34362.5,20.7,2.4,49.96,0
BOGA.N0000,1995,2,3.703125,7.5,5100.0,17125.0,20.7,1.0,49.88,0
BOGA.N0000,1995,3,3.6052631578947367,4.0,2300.0,8050.0,20.7,-0.9,49.45,0
BOGA.N0000,1995,4,3.375,4.5,2350.0,7637.5,20.7,0.7,49.36,0
BOGA.N0000,1995,5,2.986842105263158,7.0,6600.0,19800.0,20.7,8.1,49.605,0
BOGA.N0000,1995,6,3.1,6.0,3750.0,11512.5,20.7,10.0,50.345,0
BOGA.N0000,1995,7,2.9875,4.5,2000.0,6000.0,20.7,12.9,50.59,0
BOGA.N0000,1995,8,2.7916666666666665,4.0,800.0,2262.5,20.7,8.6,51.65,0
BOGA.N0000,1995,9,2.625,5.5,3050.0,8412.5,20.7,10.7,52.54,0
BOGA.N0000,1995,10,2.1538461538461537,5.0,6100.0,12200.0,20.7,13.5,52.585,0
BOGA.N0000,1995,11,2.588235294117647,3.0,1400.0,3800.0,20.7,14.5,53.25,0
BOGA.N0000,1995,12,2.583333333333333,4.5,1500.0,3875.0,20.7,11.5,54.05,0
BOGA.N0000,1996,1,2.5357142857142856,3.0,2750.0,6875.0,21.0,11.2,53.685,0
BOGA.N0000,1996,2,2.482142857142857,4.0,4650.0,11625.0,21.0,11.8,53.685,0
BOGA.N0000,1996,3,2.1323529411764706,4.0,2200.0,4950.0,21.0,13.6,53.685,0
BOGA.N0000,1996,4,2.0454545454545454,4.0,1200.0,2400.0,21.0,14.3,54.735,0
BOGA.N0000,1996,5,2.0625,6.0,1700.0,3400.0,21.0,13.8,54.95,0
BOGA.N0000,1996,6,1.9107142857142856,2.5,1800.0,3525.0,21.0,16.4,55.505,0
BOGA.N0000,1996,7,2.161764705882353,7.0,4900.0,12200.0,21.0,15.6,55.12,0
BOGA.N0000,1996,8,2.5,5.0,4450.0,11162.5,21.0,19.2,55.6,0
BOGA.N0000,1996,9,2.392857142857143,3.5,1450.0,3600.0,21.0,21.5,56.6,0
BOGA.N0000,1996,10,3.5217391304347827,8.0,7500.0,20625.0,21.0,19.9,57.05,0
BOGA.N0000,1996,11,5.333333333333333,24.0,35500.0,186375.0,21.0,16.5,56.63,0
BOGA.N0000,1996,12,5.065789473684211,13.0,11500.0,60275.0,21.0,16.8,56.73,0
BOGA.N0000,1997,1,5.7875,16.0,34800.0,211700.0,20.1,16.7,57.69,0
BOGA.N0000,1997,2,5.875,15.5,19200.0,112025.0,20.1,15.6,57.5,0
BOGA.N0000,1997,3,6.1,18.0,8850.0,53387.5,20.1,14.3,58.33,1
BOGA.N0000,1997,4,6.381578947368421,30.0,61100.0,397150.0,20.1,11.3,59.2,0
BOGA.N0000,1997,5,6.526315789473684,19.0,31900.0,207350.0,20.1,7.8,58.305,0
BOGA.N0000,1997,6,6.4,15.5,28950.0,183525.0,20.1,3.9,58.49,0
BOGA.N0000,1997,7,8.659090909090908,32.0,36450.0,306087.5,20.1,7.2,58.85,0
BOGA.N0000,1997,8,8.3,14.5,16950.0,137037.5,20.1,7.1,59.285,0
BOGA.N0000,1997,9,6.916666666666667,9.0,7700.0,57950.0,20.1,6.8,59.75,0
BOGA.N0000,1997,10,5.659090909090909,12.0,14650.0,82362.5,20.1,6.5,59.775,0
BOGA.N0000,1997,11,5.25,6.0,12150.0,60187.5,20.1,8.8,60.75,0
BOGA.N0000,1997,12,4.9625,5.5,6350.0,31750.0,20.1,10.7,61.75,0
BOGA.N0000,1998,1,5.092105263157895,5.0,12600.0,66150.0,19.4,13.2,62.25,0
BOGA.N0000,1998,2,5.25,5.0,13500.0,70875.0,19.4,12.1,61.675,0
BOGA.N0000,1998,3,5.7631578947368425,8.0,9900.0,56925.0,19.4,11.4,62.375,0
BOGA.N0000,1998,4,6.973684210526316,12.0,14900.0,89400.0,19.4,10.3,63.305,0
BOGA.N0000,1998,5,8.305555555555555,11.5,14050.0,121400.0,19.4,12.1,65.0,0
BOGA.N0000,1998,6,6.7368421052631575,3.0,5500.0,36350.0,19.4,14.1,65.4,0
BOGA.N0000,1998,7,6.911764705882353,4.0,5000.0,35000.0,19.4,10.5,65.925,0
BOGA.N0000,1998,8,8.0125,13.5,13900.0,112462.5,19.4,6.8,66.525,0
BOGA.N0000,1998,9,8.69047619047619,6.0,9600.0,81600.0,19.4,5.8,65.985,0
BOGA.N0000,1998,10,8.55952380952381,4.0,2700.0,24300.0,19.4,7.5,67.075,0
BOGA.N0000,1998,11,8.152777777777779,7.0,4750.0,41562.5,19.4,5.8,67.9,0
BOGA.N0000,1998,12,7.916666666666667,5.0,5550.0,41687.5,19.4,3.7,68.43,0
BOGA.N0000,1999,1,7.916666666666667,4.0,2500.0,20000.0,18.9,3.8,68.825,1
BOGA.N0000,1999,2,7.838235294117647,5.0,2900.0,21950.0,18.9,5.0,69.53,0
BOGA.N0000,1999,3,7.470588235294118,2.0,2000.0,14500.0,18.9,5.0,69.425,0
BOGA.N0000,1999,4,7.5,2.5,2050.0,15375.0,18.9,7.7,69.625,1
BOGA.N0000,1999,5,7.5,4.0,3400.0,25500.0,18.9,6.6,70.85,0
BOGA.N0000,1999,6,7.204545454545454,2.0,2400.0,18000.0,18.9,3.4,71.55,1
BOGA.N0000,1999,7,7.333333333333333,2.0,1400.0,10150.0,18.9,1.6,71.6,0
BOGA.N0000,1999,8,7.25,3.0,2450.0,17762.5,18.9,4.7,71.8,0
BOGA.N0000,1999,9,7.25,2.5,1600.0,11612.5,18.9,5.4,71.73,0
BOGA.N0000,1999,10,6.716666666666667,2.0,1000.0,6500.0,18.9,5.0,71.55,0
BOGA.N0000,1999,11,7.041666666666667,3.0,1800.0,13800.0,18.9,4.2,72.1,0
BOGA.N0000,1999,12,8.0,5.0,4200.0,34425.0,18.9,4.0,71.5,1
BOGA.N0000,2000,1,7.305555555555555,3.0,500.0,3625.0,13.39,0.3,73.15,0
BOGA.N0000,2000,2,7.671875,3.5,1850.0,13475.0,13.39,1.9,73.475,0
BOGA.N0000,2000,3,9.083333333333334,9.0,16900.0,146550.0,13.39,4.5,73.75,0
BOGA.N0000,2000,4,9.4,12.0,12150.0,127512.5,13.0,3.7,74.3,0
BOGA.N0000,2000,5,7.0,1.0,200.0,1400.0,13.41,2.4,74.735,0
BOGA.N0000,2000,6,6.9,1.0,200.0,1400.0,15.0,6.8,78.9,0
BOGA.N0000,2000,7,7.734375,2.0,850.0,6375.0,15.0,10.1,78.35,0
BOGA.N0000,2000,8,8.295454545454545,2.0,1000.0,8000.0,15.0,9.9,78.05,0
BOGA.N0000,2000,9,7.875,2.0,850.0,6800.0,15.75,8.5,79.15,0
BOGA.N0000,2000,10,7.416666666666667,1.0,1000.0,7500.0,15.75,7.8,79.41,1
BOGA.N0000,2000,11,7.25,1.0,500.0,4125.0,19.0,7.6,81.45,0
BOGA.N0000,2000,12,6.5,1.0,200.0,1350.0,19.0,10.8,82.7,0
BOGA.N0000,2001,1,6.833333333333333,1.0,1100.0,7700.0,23.0,16.2,89.5,0
BOGA.N0000,2001,2,7.0625,2.0,1950.0,13650.0,22.0,16.6,86.5,0
BOGA.N0000,2001,3,6.34375,1.5,550.0,3725.0,22.0,13.2,86.35,0
BOGA.N0000,2001,4,6.3125,1.5,300.0,1900.0,21.5,13.9,90.45,0
BOGA.N0000,2001,5,6.05,1.0,500.0,3125.0,21.5,16.3,91.825,0
BOGA.N0000,2001,6,5.5,1.0,750.0,4125.0,21.5,14.7,90.625,0
BOGA.N0000,2001,7,5.125,1.0,450.0,2250.0,19.5,13.4,89.9,0
BOGA.N0000,2001,8,5.0,1.0,350.0,1750.0,18.5,11.4,89.875,0
BOGA.N0000,2001,9,4.3125,1.0,1000.0,4250.0,15.0,14.9,90.05,0
BOGA.N0000,2001,10,5.75,3.0,1600.0,9112.5,14.0,14.1,91.75,0
BOGA.N0000,2001,11,6.0,2.0,500.0,3187.5,14.0,14.9,93.15,0
BOGA.N0000,2001,12,7.0,2.0,700.0,4900.0,14.0,10.8,93.0,1
BOGA.N0000,2002,1,5.395833333333333,2.0,600.0,3425.0,14.0,8.9,93.45,0
BOGA.N0000,2002,2,7.125,1.5,1450.0,11662.5,14.0,8.5,93.6,0
BOGA.N0000,2002,3,6.805555555555555,1.0,1000.0,7000.0,13.58,11.4,95.6,1
BOGA.N0000,2002,4,7.138888888888889,2.0,900.0,6750.0,13.85,8.3,96.05,0
BOGA.N0000,2002,5,7.083333333333333,2.0,1250.0,8750.0,13.85,10.0,96.15,1
BOGA.N0000,2002,6,7.041666666666667,1.0,950.0,6650.0,13.75,10.7,96.15,0
BOGA.N0000,2002,7,6.4375,2.5,600.0,3900.0,12.75,10.8,96.08,0
BOGA.N0000,2002,8,6.28125,1.5,300.0,1800.0,12.75,10.1,96.2,0
BOGA.N0000,2002,9,6.65625,2.0,800.0,5050.0,12.75,7.4,96.25,0
BOGA.N0000,2002,10,6.625,2.5,1550.0,10075.0,12.75,8.2,96.25,0
BOGA.N0000,2002,11,5.977272727272728,2.0,700.0,4375.0,11.75,9.1,96.275,0
BOGA.N0000,2002,12,5.125,1.5,1500.0,7625.0,11.75,11.3,96.6,0
BOGA.N0000,2003,1,5.227272727272728,3.0,1500.0,7875.0,11.0,13.6,96.8,0
BOGA.N0000,2003,2,5.027777777777778,2.0,3100.0,15800.0,11.0,11.0,96.89,0
BOGA.N0000,2003,3,5.428571428571429,2.0,1200.0,6900.0,11.0,7.9,96.945,1
BOGA.N0000,2003,4,5.15,1.5,600.0,3150.0,11.0,8.3,97.13,0
BOGA.N0000,2003,5,5.0,2.0,400.0,2000.0,10.25,6.0,97.23,0
BOGA.N0000,2003,6,5.3088235294117645,3.0,3000.0,16125.0,10.25,4.5,97.155,0
BOGA.N0000,2003,7,5.0,2.0,1600.0,8162.5,10.25,3.4,97.14,0
BOGA.N0000,2003,8,4.704545454545454,3.0,2500.0,12375.0,9.5,3.7,96.83,0
BOGA.N0000,2003,9,4.875,2.0,1000.0,5000.0,9.5,4.8,94.36,0
BOGA.N0000,2003,10,5.934210526315789,3.0,2300.0,14300.0,8.5,3.9,94.76,0
BOGA.N0000,2003,11,4.839285714285714,1.0,550.0,2825.0,8.5,4.5,96.425,0
BOGA.N0000,2003,12,4.785714285714286,1.0,200.0,900.0,8.5,5.0,96.55,0
BOGA.N0000,2004,1,4.65,3.0,2100.0,8400.0,8.5,0.5,97.28,0
BOGA.N0000,2004,2,4.75,1.0,1800.0,9450.0,8.5,0.9,98.585,0
BOGA.N0000,2004,3,4.928571428571429,1.0,800.0,4200.0,8.5,2.5,97.6,0
BOGA.N0000,2004,4,5.333333333333333,2.0,500.0,2625.0,8.5,4.6,98.3,1
BOGA.N0000,2004,5,6.708333333333333,5.5,4450.0,28875.0,8.5,5.9,99.2,0
BOGA.N0000,2004,6,7.961538461538462,4.0,2000.0,16150.0,8.5,6.8,102.35,0
BOGA.N0000,2004,7,10.5,10.0,9000.0,90850.0,8.5,8.9,103.625,1
BOGA.N0000,2004,8,12.625,8.0,9550.0,115262.5,8.5,10.5,103.125,0
BOGA.N0000,2004,9,12.052631578947368,4.0,1700.0,20400.0,8.5,11.6,103.58,0
BOGA.N0000,2004,10,11.647058823529411,4.0,2400.0,27850.0,8.5,12.1,104.15,0
BOGA.N0000,2004,11,11.539473684210526,3.0,1800.0,20750.0,9.0,13.1,104.825,0
BOGA.N0000,2004,12,12.15,3.0,800.0,9600.0,9.0,13.8,104.475,0
BOGA.N0000,2005,1,11.196428571428571,2.0,2050.0,23312.5,9.0,14.6,99.05,0
BOGA.N0000,2005,2,15.555555555555555,9.0,5900.0,79137.5,9.0,15.9,99.5,0
BOGA.N0000,2005,3,19.13157894736842,15.0,38200.0,642550.0,9.0,15.5,99.7,0
BOGA.N0000,2005,4,54.763888888888886,54.0,105950.0,7357625.0,9.0,14.0,99.775,0
BOGA.N0000,2005,5,59.76315789473684,18.0,8600.0,557675.0,9.25,11.8,99.925,0
BOGA.N0000,2005,6,47.95,7.0,5250.0,254500.0,9.75,9.4,100.15,0
BOGA.N0000,2005,7,48.0625,8.5,7400.0,350400.0,9.75,10.8,100.7,0
BOGA.N0000,2005,8,43.63095238095238,5.0,1500.0,66000.0,9.75,10.9,101.25,0
BOGA.N0000,2005,9,39.85714285714285,6.0,2600.0,103800.0,10.0,10.5,101.33,0
BOGA.N0000,2005,10,43.515625,10.0,7250.0,317412.5,10.0,10.4,101.88,0
BOGA.N0000,2005,11,37.60294117647059,8.0,4400.0,147150.0,10.0,9.1,102.0,1
BOGA.N0000,2005,12,32.46052631578947,15.0,9500.0,336450.0,10.25,8.0,102.11,0
BOGA.N0000,2006,1,29.72222222222222,4.5,4100.0,122275.0,10.25,8.0,102.12,0
BOGA.N0000,2006,2,32.05882352941177,9.0,8700.0,265575.0,10.25,7.1,102.58,0
BOGA.N0000,2006,3,31.056818181818183,10.0,5850.0,185900.0,10.25,6.4,102.575,1
BOGA.N0000,2006,4,29.796875,15.5,12350.0,355137.5,10.25,9.2,102.8,0
BOGA.N0000,2006,5,26.294117647058822,5.0,2200.0,53350.0,10.25,13.2,103.0,1
BOGA.N0000,2006,6,23.761904761904763,7.0,5000.0,122250.0,10.5,17.7,103.97,0
BOGA.N0000,2006,7,22.473684210526315,5.0,1800.0,40875.0,10.62,14.7,103.97,0
BOGA.N0000,2006,8,21.109375,5.0,2600.0,56912.5,10.62,15.3,102.19,0
BOGA.N0000,2006,9,24.7125,10.5,6650.0,170287.5,11.12,15.4,103.76,0
BOGA.N0000,2006,10,24.894736842105264,10.0,9800.0,238725.0,11.12,17.2,108.025,0
BOGA.N0000,2006,11,23.21052631578948,5.0,3000.0,69500.0,11.12,19.8,108.1,0
BOGA.N0000,2006,12,21.11764705882353,4.0,2200.0,45400.0,11.5,19.3,107.45,0
BOGA.N0000,2007,1,22.916666666666668,5.0,3050.0,68987.5,11.5,20.5,108.58,0
BOGA.N0000,2007,2,22.897058823529413,6.0,5400.0,124200.0,12.0,19.2,108.79,0
BOGA.N0000,2007,3,20.73809523809524,8.0,4100.0,83025.0,12.0,19.5,108.65,0
BOGA.N0000,2007,4,19.84090909090909,3.0,1200.0,23100.0,12.0,16.3,110.6,0
BOGA.N0000,2007,5,16.930555555555557,6.5,2850.0,49237.5,12.0,13.7,110.87,0
BOGA.N0000,2007,6,15.661764705882351,3.0,1000.0,15750.0,12.0,13.0,111.385,0
BOGA.N0000,2007,7,15.546875,6.0,4000.0,60600.0,12.0,17.6,111.78,0
BOGA.N0000,2007,8,15.984375,3.0,1100.0,17100.0,12.0,17.3,113.025,0
BOGA.N0000,2007,9,17.423076923076923,6.0,9300.0,158100.0,12.0,17.3,113.44,0
BOGA.N0000,2007,10,18.107142857142858,4.0,1900.0,32300.0,12.0,19.6,110.95,0
BOGA.N0000,2007,11,20.45238095238096,9.0,4300.0,86975.0,12.0,19.6,110.475,0
BOGA.N0000,2007,12,20.01388888888889,5.5,4450.0,88587.5,12.0,16.4,108.65,0
BOGA.N0000,2008,1,19.5,10.0,8200.0,146750.0,12.0,21.6,107.84,0
BOGA.N0000,2008,2,20.014705882352946,9.0,4500.0,90350.0,12.0,24.0,107.85,0
BOGA.N0000,2008,3,23.041666666666668,15.5,15400.0,343887.5,12.0,28.1,107.8,1
BOGA.N0000,2008,4,24.63157894736842,10.0,6000.0,149600.0,12.0,29.9,107.875,0
BOGA.N0000,2008,5,23.183333333333334,7.0,5100.0,110100.0,12.0,26.2,107.885,1
BOGA.N0000,2008,6,21.22058823529412,6.0,2300.0,48100.0,12.0,28.2,107.7,0
BOGA.N0000,2008,7,20.9375,4.0,1850.0,38425.0,12.0,26.6,107.6,0
BOGA.N0000,2008,8,22.734375,4.0,1350.0,30912.5,12.0,24.9,107.87,1
BOGA.N0000,2008,9,24.51315789473684,9.0,7400.0,187200.0,12.0,24.3,108.15,0
BOGA.N0000,2008,10,19.0,9.5,5800.0,124512.5,12.0,20.2,110.25,0
BOGA.N0000,2008,11,15.083333333333334,11.0,5600.0,87462.5,12.0,16.3,110.05,0
BOGA.N0000,2008,12,10.735294117647058,5.0,2400.0,26350.0,12.0,14.4,113.0,0
BOGA.N0000,2009,1,13.947368421052632,24.0,16800.0,221725.0,12.0,10.7,113.92,0
BOGA.N0000,2009,2,13.910714285714286,5.0,2350.0,35600.0,11.75,7.6,114.23,1
BOGA.N0000,2009,3,11.960526315789474,3.0,1300.0,15600.0,11.75,5.3,115.8,0
BOGA.N0000,2009,4,13.161764705882351,14.0,5100.0,63700.0,11.75,2.9,120.1,1
BOGA.N0000,2009,5,15.96875,9.5,4200.0,68962.5,11.5,3.3,114.9,0
BOGA.N0000,2009,6,19.976190476190474,22.0,14900.0,285500.0,11.0,0.9,114.92,0
BOGA.N0000,2009,7,20.59523809523809,8.0,7000.0,146250.0,11.0,1.1,114.85,0
BOGA.N0000,2009,8,19.01315789473684,5.0,3000.0,59300.0,11.0,0.9,114.7,1
BOGA.N0000,2009,9,19.61842105263158,10.0,5500.0,104600.0,10.5,0.7,114.82,0
BOGA.N0000,2009,10,19.69047619047619,9.0,4800.0,88950.0,10.5,1.4,114.8,1
BOGA.N0000,2009,11,17.680555555555557,4.5,2300.0,40400.0,9.75,2.8,114.41,0
BOGA.N0000,2009,12,18.15625,5.0,3250.0,57925.0,9.75,4.8,114.4,0
BOGA.N0000,2010,1,18.426470588235293,4.0,2500.0,46875.0,9.75,6.5,114.65,1
BOGA.N0000,2010,2,19.529411764705884,7.0,4200.0,88200.0,9.75,6.9,114.625,0
BOGA.N0000,2010,3,19.073529411764707,3.0,2200.0,40700.0,9.75,6.3,114.05,0
BOGA.N0000,2010,4,20.453125,11.5,6050.0,123337.5,9.75,5.8,113.95,1
BOGA.N0000,2010,5,21.61111111111111,11.0,6850.0,155362.5,9.75,5.3,112.91915,0
BOGA.N0000,2010,6,23.1625,9.0,6000.0,143350.0,9.75,4.8,112.9046,0
BOGA.N0000,2010,7,25.693181818181817,18.5,17950.0,463087.5,9.5,4.3,113.5755,0
BOGA.N0000,2010,8,24.01,7.0,4250.0,104800.0,9.0,5.0,111.78065,0
BOGA.N0000,2010,9,35.52,29.0,18100.0,475710.0,9.0,5.8,111.7058,0
BOGA.N0000,2010,10,56.205,22.5,12500.0,619715.0,9.0,6.6,111.1472,0
BOGA.N0000,2010,11,41.984210526315785,14.0,7000.0,268520.0,9.0,7.0,110.8355,0
BOGA.N0000,2010,12,59.50454545454545,28.0,17000.0,982455.0,9.0,6.9,110.5663,0
BOGA.N0000,2011,1,59.0,27.5,14400.0,869965.0,8.5,6.8,110.0975,0
BOGA.N0000,2011,2,55.6764705882353,12.0,6300.0,361730.0,8.5,7.8,110.1476,0
BOGA.N0000,2011,3,53.22272727272728,16.5,9250.0,486525.0,8.5,8.6,109.5892,1
BOGA.N0000,2011,4,53.20588235294117,23.0,9200.0,505050.0,8.5,9.8,109.46945,0
BOGA.N0000,2011,5,67.6842105263158,64.0,24800.0,1837780.0,8.5,8.8,109.006,0
BOGA.N0000,2011,6,56.24285714285714,22.0,8200.0,460330.0,8.5,7.1,108.8813,0
BOGA.N0000,2011,7,49.745,17.5,7050.0,360470.0,8.5,7.5,108.7119,1
BOGA.N0000,2011,8,51.54545454545455,16.0,3550.0,178790.0,8.5,7.0,108.6919,0
BOGA.N0000,2011,9,50.93333333333333,8.0,2600.0,132470.0,8.5,6.4,110.062,0
BOGA.N0000,2011,10,45.74444444444444,10.0,3050.0,134545.0,8.5,5.1,110.096,1
BOGA.N0000,2011,11,39.045,9.0,2400.0,100825.0,8.5,4.7,109.4248,0
BOGA.N0000,2011,12,38.81,6.0,1600.0,64350.0,8.5,4.9,112.9747,0
BOGA.N0000,2012,1,36.795,8.5,3350.0,125075.0,8.5,3.8,113.0127,0
BOGA.N0000,2012,2,29.78,11.0,6000.0,154220.0,9.0,2.7,113.0127,0
BOGA.N0000,2012,3,26.621052631578948,3.0,1100.0,27470.0,9.0,5.5,128.1,0
BOGA.N0000,2012,4,24.029411764705884,4.0,1100.0,25000.0,9.75,6.1,129.21,0
BOGA.N0000,2012,5,18.285714285714285,9.0,4972.0,81457.0,9.75,7.0,131.11,0
BOGA.N0000,2012,6,18.0875,7.0,3812.5,64583.0,9.75,9.3,128.463,0
BOGA.N0000,2012,7,18.93684210526316,3.0,230.0,4358.0,9.75,9.8,131.7,0
BOGA.N0000,2012,8,20.394117647058824,5.0,1250.0,22555.0,9.75,9.5,132.3,0
BOGA.N0000,2012,9,31.095,18.5,10947.5,331428.5,9.75,9.1,130.8685,1
BOGA.N0000,2012,10,28.675,9.5,1135.0,33482.95,9.75,8.9,126.9938,0
BOGA.N0000,2012,11,24.65,7.0,905.5,22967.2,9.75,9.5,129.4046,0
BOGA.N0000,2012,12,21.8625,5.5,1302.0,27922.75,9.5,9.2,127.5,0
BOGA.N0000,2013,1,25.27368421052632,7.0,1355.0,32949.5,9.5,9.8,125.41,0
BOGA.N0000,2013,2,22.929411764705883,4.0,505.0,11468.0,9.5,9.8,127.45,0
BOGA.N0000,2013,3,20.75,5.5,1194.5,24473.95,9.5,7.5,126.7,0
BOGA.N0000,2013,4,22.135,7.5,2514.5,50028.9,9.5,6.4,124.3349,0
BOGA.N0000,2013,5,25.404761904761905,13.0,3765.0,93561.5,9.0,7.3,126.45,0
BOGA.N0000,2013,6,25.894736842105264,11.0,2531.0,67557.7,9.0,6.8,127.2623,0
BOGA.N0000,2013,7,24.81052631578948,5.0,1410.0,34407.0,9.0,6.1,129.951,0
BOGA.N0000,2013,8,22.288235294117644,6.0,1321.0,28639.9,9.0,6.3,130.031,0
