Label,Year,Month,Loan Rate,Election,Close (Rs.),Inflation,Buy Rate
PDL.N0000,1991,9,19.3,0,17.931818181818183,10.1,42.01
RICH.N0000,1991,9,19.3,0,360.0,10.1,42.01
SAMP.N0000,1991,9,19.3,0,20.144736842105264,10.1,42.01
SEYB.N0000,1991,9,19.3,0,44.65,10.1,42.01
SHOT.N0000,1991,9,19.3,0,39.125,10.1,42.01
SPEN.N0000,1991,9,19.3,0,338.1458333333333,10.1,42.01
SUGA.N0000,1991,9,19.3,0,11.897058823529411,10.1,42.01
TILE.N0000,1991,9,19.3,0,52.52941176470589,10.1,42.01
TKYO.N0000,1991,9,19.3,0,21.0625,10.1,42.01
ACL.N0000,1991,10,19.3,0,118.36363636363636,10.6,42.26
ASIR.N0000,1991,10,19.3,0,21.442307692307693,10.6,42.26
BHR.N0000,1991,10,19.3,0,59.65476190476191,10.6,42.26
CARG.N0000,1991,10,19.3,0,294.35714285714283,10.6,42.26
CFIN.N0000,1991,10,19.3,0,185.875,10.6,42.26
CFLB.N0000,1991,10,19.3,0,24.95,10.6,42.26
CHOU.N0000,1991,10,19.3,0,16.55,10.6,42.26
CIC.N0000,1991,10,19.3,0,114.3125,10.6,42.26
CIND.N0000,1991,10,19.3,0,29.69047619047619,10.6,42.26
CINV.N0000,1991,10,19.3,0,225.375,10.6,42.26
COMB.N0000,1991,10,19.3,0,236.2142857142857,10.6,42.26
CTC.N0000,1991,10,19.3,0,47.375,10.6,42.26
CTCE.N0000,1991,10,19.3,0,46.66666666666666,10.6,42.26
EAST.N0000,1991,10,19.3,0,33.95,10.6,42.26
EQIT.N0000,1991,10,19.3,0,19.0,10.6,42.26
GHLL.N0000,1991,10,19.3,0,6.273809523809524,10.6,42.26
GRAN.N0000,1991,10,19.3,0,135.03571428571428,10.6,42.26
HAYC.N0000,1991,10,19.3,0,150.41666666666666,10.6,42.26
HAYL.N0000,1991,10,19.3,0,371.3541666666667,10.6,42.26
HDEV.N0000,1991,10,19.3,0,7.25,10.6,42.26
HNB.N0000,1991,10,19.3,0,362.2,10.6,42.26
JKH.N0000,1991,10,19.3,0,300.890625,10.6,42.26
KAPI.N0000,1991,10,19.3,0,16.88235294117647,10.6,42.26
LCEM.N0000,1991,10,19.3,0,6.05,10.6,42.26
LMF.N0000,1991,10,19.3,0,36.31818181818182,10.6,42.26
LPRT.N0000,1991,10,19.3,0,28.0,10.6,42.26
MBSL.R0000,1991,10,19.3,0,83.35714285714286,10.6,42.26
MORI.N0000,1991,10,19.3,0,242.625,10.6,42.26
NEST.N0000,1991,10,19.3,0,22.32894736842105,10.6,42.26
ONAL.N0000,1991,10,19.3,0,17.083333333333332,10.6,42.26
OSEA.N0000,1991,10,19.3,0,13.0,10.6,42.26
PARA.N0000,1991,10,19.3,0,75.0,10.6,42.26
PARQ.N0000,1991,10,19.3,0,110.9423076923077,10.6,42.26
PDL.N0000,1991,10,19.3,0,17.823529411764707,10.6,42.26
RICH.N0000,1991,10,19.3,0,353.5,10.6,42.26
SAMP.N0000,1991,10,19.3,0,20.147727272727277,10.6,42.26
SELI.N0000,1991,10,19.3,0,0.0,10.6,42.26
SEYB.N0000,1991,10,19.3,0,44.625,10.6,42.26
SHOT.N0000,1991,10,19.3,0,25.25,10.6,42.26
SPEN.N0000,1991,10,19.3,0,318.69444444444446,10.6,42.26
SUGA.N0000,1991,10,19.3,0,12.784090909090908,10.6,42.26
TILE.N0000,1991,10,19.3,0,53.70238095238095,10.6,42.26
TKYO.N0000,1991,10,19.3,0,18.607142857142858,10.6,42.26
ACL.N0000,1991,11,19.3,0,137.25,9.1,42.43
ARPI.N0000,1991,11,19.3,0,70.5,9.1,42.43
ASIR.N0000,1991,11,19.3,0,22.75,9.1,42.43
BHR.N0000,1991,11,19.3,0,69.15625,9.1,42.43
BRWN.N0000,1991,11,19.3,0,180.0,9.1,42.43
CARG.N0000,1991,11,19.3,0,343.57142857142856,9.1,42.43
CFIN.N0000,1991,11,19.3,0,204.91666666666663,9.1,42.43
CFLB.N0000,1991,11,19.3,0,25.5625,9.1,42.43
CFT.N0000,1991,11,19.3,0,80.0,9.1,42.43
CHOU.N0000,1991,11,19.3,0,17.208333333333332,9.1,42.43
CIC.N0000,1991,11,19.3,0,131.03125,9.1,42.43
CIND.N0000,1991,11,19.3,0,71.875,9.1,42.43
CINV.N0000,1991,11,19.3,0,229.0,9.1,42.43
COMB.N0000,1991,11,19.3,0,241.07142857142856,9.1,42.43
CTC.N0000,1991,11,19.3,0,50.263888888888886,9.1,42.43
CTCE.N0000,1991,11,19.3,0,48.708333333333336,9.1,42.43
CTHR.N0000,1991,11,19.3,0,329.5,9.1,42.43
DFCC.N0000,1991,11,19.3,0,1088.3333333333333,9.1,42.43
DIPD.N0000,1991,11,19.3,0,144.25,9.1,42.43
EAST.N0000,1991,11,19.3,0,36.708333333333336,9.1,42.43
GHLL.N0000,1991,11,19.3,0,6.25,9.1,42.43
GRAN.N0000,1991,11,19.3,0,136.1,9.1,42.43
HAYC.N0000,1991,11,19.3,0,144.75,9.1,42.43
HAYL.N0000,1991,11,19.3,0,426.2708333333333,9.1,42.43
HDEV.N0000,1991,11,19.3,0,10.363636363636363,9.1,42.43
HNB.N0000,1991,11,19.3,0,394.9166666666667,9.1,42.43
JKH.N0000,1991,11,19.3,0,307.4342105263158,9.1,42.43
KAPI.N0000,1991,11,19.3,0,26.13157894736842,9.1,42.43
LCEM.N0000,1991,11,19.3,0,6.676470588235294,9.1,42.43
LMF.N0000,1991,11,19.3,0,33.109375,9.1,42.43
MORI.N0000,1991,11,19.3,0,256.5,9.1,42.43
NEST.N0000,1991,11,19.3,0,26.86842105263158,9.1,42.43
ONAL.N0000,1991,11,19.3,0,16.75,9.1,42.43
OSEA.N0000,1991,11,19.3,0,18.22222222222222,9.1,42.43
PARA.N0000,1991,11,19.3,0,78.25,9.1,42.43
