Label,Year,Month,Loan Rate,Election,Close (Rs.),Inflation,Buy Rate
ACL.N0000,1995,1,20.7,0,190.0,2.4,49.96
ASIR.N0000,1995,1,20.7,0,33.911764705882355,2.4,49.96
BFL.N0000,1995,1,20.7,0,26.375,2.4,49.96
BOGA.N0000,1995,1,20.7,0,4.180555555555555,2.4,49.96
BRWN.N0000,1995,1,20.7,0,423.05,2.4,49.96
CCS.N0000,1995,1,20.7,0,38.208333333333336,2.4,49.96
CFIN.N0000,1995,1,20.7,0,370.01666666666665,2.4,49.96
CFLB.N0000,1995,1,20.7,0,30.34210526315789,2.4,49.96
CFVF.N0000,1995,1,20.7,0,21.8625,2.4,49.96
CIC.N0000,1995,1,20.7,0,86.83333333333333,2.4,49.96
CIC.X0000,1995,1,20.7,0,82.05,2.4,49.96
CIND.N0000,1995,1,20.7,0,136.21428571428572,2.4,49.96
CINV.N0000,1995,1,20.7,0,276.0,2.4,49.96
COMB.N0000,1995,1,20.7,0,292.21875,2.4,49.96
CTC.N0000,1995,1,20.7,0,28.66176470588235,2.4,49.96
DFCC.N0000,1995,1,20.7,0,513.35,2.4,49.96
DIPD.N0000,1995,1,20.7,0,44.625,2.4,49.96
DIST.N0000,1995,1,20.7,0,9.225,2.4,49.96
EAST.N0000,1995,1,20.7,0,23.9,2.4,49.96
GHLL.N0000,1995,1,20.7,0,5.055555555555555,2.4,49.96
GLAS.N0000,1995,1,20.7,0,27.7875,2.4,49.96
GRAN.N0000,1995,1,20.7,0,74.17105263157895,2.4,49.96
HAYC.N0000,1995,1,20.7,0,50.660714285714285,2.4,49.96
HAYL.N0000,1995,1,20.7,0,184.9375,2.4,49.96
HNB.N0000,1995,1,20.7,0,404.5576923076923,2.4,49.96
JKH.N0000,1995,1,20.7,0,235.28571428571428,2.4,49.96
LMF.N0000,1995,1,20.7,0,27.2625,2.4,49.96
LWL.N0000,1995,1,20.7,0,81.8875,2.4,49.96
NDB.N0000,1995,1,20.7,0,403.3684210526316,2.4,49.96
NEST.N0000,1995,1,20.7,0,51.25,2.4,49.96
