Label,Month,Year,Close (Rs.)
GHLL.N0000,11,1991,6.25
GRAN.N0000,11,1991,136.1
HAYC.N0000,11,1991,144.75
HAYL.N0000,11,1991,426.2708333333333
HDEV.N0000,11,1991,10.363636363636363
HNB.N0000,11,1991,394.9166666666667
JKH.N0000,11,1991,307.4342105263158
KAPI.N0000,11,1991,26.13157894736842
LCEM.N0000,11,1991,6.676470588235294
LMF.N0000,11,1991,33.109375
MORI.N0000,11,1991,256.5
NEST.N0000,11,1991,26.86842105263158
ONAL.N0000,11,1991,16.75
OSEA.N0000,11,1991,18.22222222222222
PARA.N0000,11,1991,78.25
PARQ.N0000,11,1991,116.8
PDL.N0000,11,1991,17.65
RICH.N0000,11,1991,327.6666666666667
SAMP.N0000,11,1991,23.875
SEYB.N0000,11,1991,44.1625
SHOT.N0000,11,1991,65.825
SPEN.N0000,11,1991,317.45
SUGA.N0000,11,1991,19.425
TILE.N0000,11,1991,52.142857142857146
TKYO.N0000,11,1991,28.589285714285715
ACL.N0000,12,1991,192.57142857142858
ARPI.N0000,12,1991,70.0
ASIR.N0000,12,1991,25.21875
BHR.N0000,12,1991,79.16666666666667
BRWN.N0000,12,1991,150.0
CARG.N0000,12,1991,224.44444444444446
CFIN.N0000,12,1991,251.70833333333334
CFLB.N0000,12,1991,28.555555555555557
CFT.N0000,12,1991,80.0
CHOU.N0000,12,1991,18.5
CIC.N0000,12,1991,92.625
CIND.N0000,12,1991,72.69736842105263
CINV.N0000,12,1991,117.5
COMB.N0000,12,1991,268.765625
CTC.N0000,12,1991,54.44117647058823
CTCE.N0000,12,1991,54.5
DFCC.N0000,12,1991,1539.6923076923076
DIPD.N0000,12,1991,127.45
EAST.N0000,12,1991,39.28125
GHLL.N0000,12,1991,7.338235294117647
GRAN.N0000,12,1991,169.05
HAYC.N0000,12,1991,147.95
HAYL.N0000,12,1991,403.0833333333333
HDEV.N0000,12,1991,17.355263157894736
HNB.N0000,12,1991,401.2291666666667
JKH.N0000,12,1991,299.0394736842105
KAPI.N0000,12,1991,39.4
LCEM.N0000,12,1991,7.318181818181818
LDEV.N0000,12,1991,54.0
LMF.N0000,12,1991,30.36842105263158
MIRA.N0000,12,1991,53.5
MORI.N0000,12,1991,0.0
NEST.N0000,12,1991,26.458333333333332
ONAL.N0000,12,1991,16.625
OSEA.N0000,12,1991,19.15
PARQ.N0000,12,1991,101.42857142857143
PDL.N0000,12,1991,18.923076923076923
RICH.N0000,12,1991,255.7
SAMP.N0000,12,1991,30.88157894736842
SEYB.N0000,12,1991,65.53947368421052
SHOT.N0000,12,1991,75.0
SPEN.N0000,12,1991,298.4423076923077
SUGA.N0000,12,1991,29.76388888888889
TILE.N0000,12,1991,70.140625
TKYO.N0000,12,1991,35.982142857142854
ACL.N0000,1,1992,190.0
ARPI.N0000,1,1992,70.0
ASIR.N0000,1,1992,29.142857142857142
BHR.N0000,1,1992,91.54166666666667
BINN.N0000,1,1992,50.0
BRWN.N0000,1,1992,135.0
CARG.N0000,1,1992,250.0
CFIN.N0000,1,1992,267.84375
CFLB.N0000,1,1992,29.925
CFT.N0000,1,1992,83.66666666666667
CHOU.N0000,1,1992,26.85
CIC.N0000,1,1992,159.4
CIND.N0000,1,1992,74.63235294117646
CINV.N0000,1,1992,246.0
COMB.N0000,1,1992,301.0
CTC.N0000,1,1992,64.22619047619048
CTCE.N0000,1,1992,75.71875
CTHR.N0000,1,1992,356.6666666666667
DFCC.N0000,1,1992,1813.3333333333333
DIPD.N0000,1,1992,116.0
EAST.N0000,1,1992,40.666666666666664
EQIT.N0000,1,1992,17.0
GHLL.N0000,1,1992,9.44047619047619
GRAN.N0000,1,1992,206.75
HAYC.N0000,1,1992,163.375
HAYL.N0000,1,1992,425.7105263157895
HDEV.N0000,1,1992,35.916666666666664
HNB.N0000,1,1992,368.05
JKH.N0000,1,1992,256.45
LCEM.N0000,1,1992,10.109375
LMF.N0000,1,1992,38.225
MIRA.N0000,1,1992,43.25
MORI.N0000,1,1992,240.0
NEST.N0000,1,1992,37.56666666666667
ONAL.N0000,1,1992,18.458333333333332
OSEA.N0000,1,1992,22.0
PDL.N0000,1,1992,23.95
RICH.N0000,1,1992,265.5
SAMP.N0000,1,1992,48.69047619047619
SEYB.N0000,1,1992,95.60714285714286
SHOT.N0000,1,1992,79.0
SPEN.N0000,1,1992,285.01785714285717
SUGA.N0000,1,1992,46.470588235294116
SUN.N0000,1,1992,15.0
TILE.N0000,1,1992,86.36666666666666
TKYO.N0000,1,1992,51.535714285714285
ARPI.N0000,2,1992,70.8
ASIR.N0000,2,1992,28.75
BHR.N0000,2,1992,73.55
BINN.N0000,2,1992,49.75
BRWN.N0000,2,1992,140.0
CFIN.N0000,2,1992,281.22222222222223
CFLB.N0000,2,1992,15.0
CFT.N0000,2,1992,88.0
CHOU.N0000,2,1992,24.625
CIC.N0000,2,1992,75.0
CIND.N0000,2,1992,72.55882352941177
COMB.N0000,2,1992,280.9642857142857
CTC.N0000,2,1992,54.267857142857146
CTCE.N0000,2,1992,70.08333333333333
CTHR.N0000,2,1992,360.375
DFCC.N0000,2,1992,1400.2222222222222
DIPD.N0000,2,1992,92.83333333333333
DIST.N0000,2,1992,11.0
EQIT.N0000,2,1992,18.1875
GHLL.N0000,2,1992,8.703125
GRAN.N0000,2,1992,196.28125
HAYC.N0000,2,1992,130.27272727272728
HAYL.N0000,2,1992,358.57142857142856
HDEV.N0000,2,1992,32.833333333333336
HNB.N0000,2,1992,410.0
HUEJ.N0000,2,1992,50.0
JKH.N0000,2,1992,276.95588235294116
JKH.R0000,2,1992,114.2
LCEM.N0000,2,1992,9.333333333333334
LMF.N0000,2,1992,34.69444444444444
NEST.N0000,2,1992,18.75
ONAL.N0000,2,1992,18.0
OSEA.N0000,2,1992,22.0625
PARQ.N0000,2,1992,91.0
PDL.N0000,2,1992,19.285714285714285
RICH.N0000,2,1992,227.71428571428572
SAMP.N0000,2,1992,40.208333333333336
SEYB.N0000,2,1992,84.76388888888889
SHOT.N0000,2,1992,0.0
SPEN.N0000,2,1992,230.125
SUGA.N0000,2,1992,37.97222222222222
SUN.N0000,2,1992,16.5
TILE.N0000,2,1992,72.75
TKYO.N0000,2,1992,51.25
ASIR.N0000,3,1992,24.625
BHR.N0000,3,1992,73.203125
BINN.N0000,3,1992,47.5
BRWN.N0000,3,1992,134.6
CARG.N0000,3,1992,0.0
CFIN.N0000,3,1992,292.953125
CFLB.N0000,3,1992,13.0
CFT.N0000,3,1992,84.0
CHOU.N0000,3,1992,23.55
CIC.N0000,3,1992,127.27777777777777
CIND.N0000,3,1992,75.86904761904762
COMB.N0000,3,1992,258.84615384615387
CTC.N0000,3,1992,55.325
CTCE.N0000,3,1992,60.675
CTHR.N0000,3,1992,350.0
DFCC.N0000,3,1992,1375.5238095238096
DIPD.N0000,3,1992,76.59375
GHLL.N0000,3,1992,7.6
GRAN.N0000,3,1992,188.33333333333334
HAYC.N0000,3,1992,144.19230769230768
HAYL.N0000,3,1992,468.42105263157896
HDEV.N0000,3,1992,29.7
HNB.N0000,3,1992,366.75
JKH.N0000,3,1992,319.5833333333333
KAPI.N0000,3,1992,35.575
LCEM.N0000,3,1992,7.65625
LMF.N0000,3,1992,36.54761904761905
NEST.N0000,3,1992,24.625
ONAL.N0000,3,1992,18.0
OSEA.N0000,3,1992,20.886363636363637
PDL.N0000,3,1992,18.5
RICH.N0000,3,1992,257.5
SAMP.N0000,3,1992,35.70238095238095
SEYB.N0000,3,1992,82.83333333333333
SHOT.N0000,3,1992,65.0
SPEN.N0000,3,1992,281.7857142857143
SUGA.N0000,3,1992,36.666666666666664
TILE.N0000,3,1992,68.91666666666667
TKYO.N0000,3,1992,41.5
ARPI.N0000,4,1992,70.0
ASIR.N0000,4,1992,24.166666666666668
BHR.N0000,4,1992,81.25
BRWN.N0000,4,1992,138.75
CFIN.N0000,4,1992,309.2708333333333
CFLB.N0000,4,1992,11.625
CFT.N0000,4,1992,76.0
CIC.N0000,4,1992,136.02083333333334
CIND.N0000,4,1992,83.6029411764706
COMB.N0000,4,1992,266.1875
CTC.N0000,4,1992,58.35294117647059
CTCE.N0000,4,1992,60.0
DFCC.N0000,4,1992,1460.4375
DIPD.N0000,4,1992,100.8
EAST.N0000,4,1992,37.333333333333336
GHLL.N0000,4,1992,7.03125
GRAN.N0000,4,1992,188.5
HAYC.N0000,4,1992,155.925
HAYL.N0000,4,1992,415.0
HDEV.N0000,4,1992,29.28846153846154
HNB.N0000,4,1992,405.52272727272725
JKH.N0000,4,1992,340.2352941176471
KAPI.N0000,4,1992,30.2
LCEM.N0000,4,1992,6.4
LMF.N0000,4,1992,39.955882352941174
NEST.N0000,4,1992,25.354166666666668
ONAL.N0000,4,1992,14.791666666666666
OSEA.N0000,4,1992,20.0
PARQ.N0000,4,1992,90.0
PDL.N0000,4,1992,18.02777777777778
RICH.N0000,4,1992,216.2
SAMP.N0000,4,1992,35.85294117647059
SEYB.N0000,4,1992,84.6470588235294
SHAL.N0000,4,1992,575.0
SHOT.N0000,4,1992,75.83333333333333
SPEN.N0000,4,1992,326.72727272727275
SUGA.N0000,4,1992,38.73529411764706
TILE.N0000,4,1992,78.390625
TKYO.N0000,4,1992,35.9
ACL.N0000,5,1992,167.33333333333334
ARPI.N0000,5,1992,70.8
ASIR.N0000,5,1992,22.75
BHR.N0000,5,1992,85.25
BINN.N0000,5,1992,45.0
BOGA.N0000,5,1992,11.928571428571429
CARG.N0000,5,1992,209.375
CFIN.N0000,5,1992,315.0
CFLB.N0000,5,1992,20.0
CFT.N0000,5,1992,68.5
CIC.N0000,5,1992,136.08333333333334
CIND.N0000,5,1992,100.0
COMB.N0000,5,1992,250.25
CTC.N0000,5,1992,60.638888888888886
CTCE.N0000,5,1992,51.708333333333336
CTHR.N0000,5,1992,210.15
DFCC.N0000,5,1992,1686.888888888889
DIPD.N0000,5,1992,96.0
EAST.N0000,5,1992,37.25
GHLL.N0000,5,1992,6.386363636363637
GRAN.N0000,5,1992,196.7941176470588
HAYC.N0000,5,1992,139.8
HAYL.N0000,5,1992,478.90384615384613
HDEV.N0000,5,1992,26.944444444444443
HNB.N0000,5,1992,397.7142857142857
JKH.N0000,5,1992,306.28125
KAPI.N0000,5,1992,27.5625
LCEM.N0000,5,1992,6.75
LDEV.N0000,5,1992,50.0
LMF.N0000,5,1992,36.05555555555556
MORI.N0000,5,1992,220.0
NEST.N0000,5,1992,22.53846153846154
ONAL.N0000,5,1992,18.125
OSEA.N0000,5,1992,19.75
PDL.N0000,5,1992,17.2
RICH.N0000,5,1992,230.11111111111111
SAMP.N0000,5,1992,31.73611111111111
SEYB.N0000,5,1992,79.23611111111111
SHOT.N0000,5,1992,71.125
SPEN.N0000,5,1992,319.9166666666667
SUGA.N0000,5,1992,36.77777777777778
TILE.N0000,5,1992,65.28846153846153
TKYO.N0000,5,1992,30.25
ACL.N0000,6,1992,115.625
ASIR.N0000,6,1992,19.53125
BHR.N0000,6,1992,92.0
BINN.N0000,6,1992,40.25
BOGA.N0000,6,1992,11.465909090909092
BRWN.N0000,6,1992,147.5
CARG.N0000,6,1992,175.0
CFIN.N0000,6,1992,262.6666666666667
CFLB.N0000,6,1992,16.75
CFT.N0000,6,1992,52.5
CHOU.N0000,6,1992,19.0
CIC.N0000,6,1992,140.0625
CIND.N0000,6,1992,96.80882352941177
CINV.N0000,6,1992,242.85714285714286
COMB.N0000,6,1992,235.8653846153846
CTC.N0000,6,1992,55.276315789473685
CTCE.N0000,6,1992,47.333333333333336
DFCC.N0000,6,1992,1687.1363636363637
DIPD.N0000,6,1992,93.0
EAST.N0000,6,1992,35.916666666666664
GHLL.N0000,6,1992,6.118421052631579
GRAN.N0000,6,1992,105.6875
HAYC.N0000,6,1992,104.54545454545455
HAYL.N0000,6,1992,432.73214285714283
HDEV.N0000,6,1992,30.294117647058822
HNB.N0000,6,1992,336.25
JKH.N0000,6,1992,289.89473684210526
KAPI.N0000,6,1992,18.05
KZOO.N0000,6,1992,125.0
LCEM.N0000,6,1992,6.0
LMF.N0000,6,1992,34.95454545454545
NEST.N0000,6,1992,21.7125
