Label,Month,Year,Close (Rs.),Loan Rate
ACL.N0000,1,2000,49.25,13.39
ARPI.N0000,1,2000,12.5,13.39
ASIR.N0000,1,2000,34.083333333333336,13.39
BFL.N0000,1,2000,8.821428571428571,13.39
BHR.N0000,1,2000,18.375,13.39
BOGA.N0000,1,2000,7.305555555555555,13.39
BRWN.N0000,1,2000,93.75,13.39
CARG.N0000,1,2000,42.125,13.39
CCS.N0000,1,2000,63.40384615384615,13.39
CFIN.N0000,1,2000,154.41071428571428,13.39
CFLB.N0000,1,2000,2.5,13.39
CFVF.N0000,1,2000,3.5833333333333335,13.39
CIC.N0000,1,2000,30.666666666666668,13.39
CIC.X0000,1,2000,26.875,13.39
CIND.N0000,1,2000,17.1,13.39
CINV.N0000,1,2000,55.4,13.39
COMB.N0000,1,2000,110.05882352941177,13.39
COMB.X0000,1,2000,80.28571428571429,13.39
CTC.N0000,1,2000,39.63461538461539,13.39
CTCE.N0000,1,2000,36.17857142857143,13.39
DFCC.N0000,1,2000,106.8970588235294,13.39
DIPD.N0000,1,2000,58.36363636363637,13.39
DIST.N0000,1,2000,4.944444444444445,13.39
DPL.N0000,1,2000,13.461538461538462,13.39
EAST.N0000,1,2000,5.5,13.39
EQIT.N0000,1,2000,12.75,13.39
GHLL.N0000,1,2000,2.576923076923077,13.39
GLAS.N0000,1,2000,11.0,13.39
GRAN.N0000,1,2000,23.142857142857142,13.39
GREG.N0000,1,2000,2.75,13.39
HAYC.N0000,1,2000,32.3125,13.39
HAYL.N0000,1,2000,103.22916666666667,13.39
HNB.N0000,1,2000,84.38235294117646,13.39
HNB.X0000,1,2000,65.0,13.39
JFIN.N0000,1,2000,30.09375,13.39
JKH.N0000,1,2000,163.81944444444446,13.39
KAPI.N0000,1,2000,6.318181818181818,13.39
KGAL.N0000,1,2000,16.071428571428573,13.39
KOTA.N0000,1,2000,11.859375,13.39
LCEM.N0000,1,2000,3.0,13.39
LFIN.N0000,1,2000,3.95,13.39
LION.N0000,1,2000,20.25,13.39
LLUB.N0000,1,2000,64.390625,13.39
LMF.N0000,1,2000,7.338235294117647,13.39
LOLC.N0000,1,2000,31.875,13.39
LWL.N0000,1,2000,7.59375,13.39
MORI.N0000,1,2000,125.0,13.39
NDB.N0000,1,2000,105.11764705882354,13.39
NEST.N0000,1,2000,59.36363636363637,13.39
NTB.N0000,1,2000,13.694444444444445,13.39
OSEA.N0000,1,2000,2.625,13.39
PALM.N0000,1,2000,28.625,13.39
PDL.N0000,1,2000,16.125,13.39
RCL.N0000,1,2000,14.857142857142858,13.39
RICH.N0000,1,2000,60.03846153846154,13.39
SAMP.N0000,1,2000,45.708333333333336,13.39
SEMB.N0000,1,2000,2.0,13.39
SEYB.N0000,1,2000,15.375,13.39
SPEN.N0000,1,2000,125.21428571428571,13.39
SUGA.N0000,1,2000,4.779411764705882,13.39
TAFL.N0000,1,2000,23.892857142857142,13.39
TFC.N0000,1,2000,15.175,13.39
TILE.N0000,1,2000,12.558823529411764,13.39
TKYO.N0000,1,2000,55.88461538461539,13.39
TYRE.N0000,1,2000,9.972222222222221,13.39
UDPL.N0000,1,2000,23.453125,13.39
VANI.N0000,1,2000,3.2083333333333335,13.39
VANI.X0000,1,2000,1.6388888888888888,13.39
WATA.N0000,1,2000,18.180555555555557,13.39
ACL.N0000,2,2000,46.15909090909091,13.39
ARPI.N0000,2,2000,12.5,13.39
ASIR.N0000,2,2000,34.27777777777778,13.39
BFL.N0000,2,2000,8.75,13.39
BHR.N0000,2,2000,19.291666666666668,13.39
BOGA.N0000,2,2000,7.671875,13.39
BRWN.N0000,2,2000,86.2,13.39
CARG.N0000,2,2000,42.333333333333336,13.39
CCS.N0000,2,2000,65.70833333333333,13.39
CFIN.N0000,2,2000,156.55555555555554,13.39
CFLB.N0000,2,2000,2.2916666666666665,13.39
CFT.N0000,2,2000,29.0,13.39
CFVF.N0000,2,2000,3.2666666666666666,13.39
CHOU.N0000,2,2000,9.1875,13.39
CIC.N0000,2,2000,31.075,13.39
CIC.X0000,2,2000,26.3125,13.39
CIND.N0000,2,2000,17.2,13.39
CINV.N0000,2,2000,50.583333333333336,13.39
COMB.N0000,2,2000,113.1125,13.39
COMB.X0000,2,2000,82.2,13.39
CTC.N0000,2,2000,40.75,13.39
CTCE.N0000,2,2000,36.833333333333336,13.39
DFCC.N0000,2,2000,111.825,13.39
DIPD.N0000,2,2000,57.410714285714285,13.39
DIST.N0000,2,2000,4.9605263157894735,13.39
DPL.N0000,2,2000,13.216666666666667,13.39
EAST.N0000,2,2000,5.5,13.39
EQIT.N0000,2,2000,12.5,13.39
GHLL.N0000,2,2000,2.5833333333333335,13.39
GLAS.N0000,2,2000,10.666666666666666,13.39
GRAN.N0000,2,2000,20.5625,13.39
GREG.N0000,2,2000,2.7777777777777777,13.39
HAYC.N0000,2,2000,32.111111111111114,13.39
HAYL.N0000,2,2000,104.40277777777777,13.39
HNB.N0000,2,2000,85.2875,13.39
HNB.X0000,2,2000,58.03947368421053,13.39
JFIN.N0000,2,2000,25.194444444444443,13.39
JKH.N0000,2,2000,155.0,13.39
KAPI.N0000,2,2000,7.083333333333333,13.39
KGAL.N0000,2,2000,17.11764705882353,13.39
KOTA.N0000,2,2000,12.1875,13.39
LCEM.N0000,2,2000,2.5,13.39
LFIN.N0000,2,2000,4.704545454545454,13.39
LION.N0000,2,2000,20.0,13.39
LLUB.N0000,2,2000,65.0,13.39
LMF.N0000,2,2000,7.140625,13.39
LOLC.N0000,2,2000,28.464285714285715,13.39
LWL.N0000,2,2000,7.544117647058823,13.39
MIRA.N0000,2,2000,10.0,13.39
MPRH.N0000,2,2000,20.0,13.39
NDB.N0000,2,2000,122.175,13.39
NEST.N0000,2,2000,60.041666666666664,13.39
NTB.N0000,2,2000,13.605263157894736,13.39
OSEA.N0000,2,2000,2.75,13.39
PALM.N0000,2,2000,28.0,13.39
PDL.N0000,2,2000,17.166666666666668,13.39
RCL.N0000,2,2000,14.9375,13.39
RICH.N0000,2,2000,62.625,13.39
SAMP.N0000,2,2000,47.95,13.39
SEMB.N0000,2,2000,1.8269230769230769,13.39
SEYB.N0000,2,2000,15.9,13.39
SHOT.N0000,2,2000,31.0,13.39
SPEN.N0000,2,2000,124.125,13.39
SUGA.N0000,2,2000,4.375,13.39
TAFL.N0000,2,2000,20.944444444444443,13.39
TFC.N0000,2,2000,14.75,13.39
TILE.N0000,2,2000,13.527777777777779,13.39
TKYO.N0000,2,2000,56.75,13.39
TYRE.N0000,2,2000,10.925,13.39
UDPL.N0000,2,2000,23.539473684210527,13.39
VANI.N0000,2,2000,3.0125,13.39
VANI.X0000,2,2000,1.6875,13.39
WATA.N0000,2,2000,18.75,13.39
ACL.N0000,3,2000,46.90909090909091,13.39
ARPI.N0000,3,2000,12.5,13.39
ASIR.N0000,3,2000,34.02777777777778,13.39
BFL.N0000,3,2000,7.972222222222222,13.39
BHR.N0000,3,2000,19.0625,13.39
BOGA.N0000,3,2000,9.083333333333334,13.39
BRWN.N0000,3,2000,92.5,13.39
CARG.N0000,3,2000,32.94444444444444,13.39
CCS.N0000,3,2000,58.828125,13.39
CFIN.N0000,3,2000,150.30882352941177,13.39
CFLB.N0000,3,2000,2.425,13.39
CFVF.N0000,3,2000,3.789473684210526,13.39
CHOU.N0000,3,2000,9.75,13.39
CIC.N0000,3,2000,29.75,13.39
CIC.X0000,3,2000,25.0,13.39
CIND.N0000,3,2000,16.25,13.39
CINV.N0000,3,2000,46.22727272727273,13.39
COMB.N0000,3,2000,105.03260869565217,13.39
COMB.X0000,3,2000,78.1,13.39
CTC.N0000,3,2000,39.075,13.39
CTCE.N0000,3,2000,33.375,13.39
CTHR.N0000,3,2000,193.33333333333334,13.39
DFCC.N0000,3,2000,98.04347826086956,13.39
DIPD.N0000,3,2000,51.18181818181818,13.39
DIST.N0000,3,2000,4.571428571428571,13.39
DPL.N0000,3,2000,12.068181818181818,13.39
EAST.N0000,3,2000,5.2,13.39
EQIT.N0000,3,2000,13.3,13.39
GHLL.N0000,3,2000,2.269230769230769,13.39
GLAS.N0000,3,2000,9.85,13.39
GRAN.N0000,3,2000,17.043478260869566,13.39
GREG.N0000,3,2000,2.875,13.39
