"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","130.00","360.00","162.00","298.40","28,205.00","279,933,811.00","63,983,800,145.50"
"HATTON NATIONAL BANK PLC","HNB.N0000","110.00","445.00","168.00","399.90","8,521.00","94,934,460.00","26,917,473,485.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","138.25","295.00","175.00","259.90","19,317.00","113,838,065.00","26,471,614,823.00"
"SAMPATH BANK PLC","SAMP.N0000","86.00","550.00","124.00","271.90","20,154.00","67,672,164.00","20,427,475,562.00"
"AITKEN SPENCE PLC","SPEN.N0000","315.00","3,500.00","164.50","169.90","12,268.00","55,527,550.00","18,828,350,240.00"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","35.00","194.00","104.00","177.90","19,771.00","97,337,800.00","14,229,226,375.00"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","3.00","336.00","66.50","304.90","11,205.00","53,050,400.00","13,546,413,230.00"
"SEYLAN BANK PLC","SEYB.X0000","16.00","64.90","16.25","49.00","81,643.00","309,198,400.00","12,299,358,905.00"
"AMBEON HOLDINGS PLC","GREG.N0000","7.75","274.50","56.50","85.90","95,023.00","106,413,600.00","12,164,186,270.00"
"DIALOG AXIATA PLC","DIAL.N0000","16.75","13.80","6.50","11.80","35,356.00","929,760,140.00","9,256,390,430.00"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","69.00","185.00","9.80","10.50","54,205.00","177,051,900.00","8,814,014,145.00"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","215.00","415.00","200.00","349.50","11,230.00","32,178,000.00","8,435,868,825.00"
"TOUCHWOOD INVESTMENTS PLC","TWOD.N0000","77.00","165.00","21.50","28.30","96,839.00","179,190,773.00","8,260,881,329.00"
"LB FINANCE PLC","LFIN.N0000","60.00","340.00","44.00","261.90","17,383.00","37,497,200.00","8,144,860,865.00"
"DFCC BANK PLC","DFCC.N0000","220.00","550.00","164.50","200.20","17,819.00","28,638,162.00","8,120,212,635.00"
"DANKOTUWA PORCELAIN PLC","DPL.N0000","14.75","144.00","9.00","61.40","82,218.00","156,038,000.00","7,126,281,255.00"
"THE KINGSBURY PLC","SERV.N0000","160.00","32.00","16.50","26.00","29,446.00","279,938,200.00","7,083,852,660.00"
"JOHN KEELLS HOTELS PLC","KHL.N0000","85.00","34.25","17.00","20.00","57,838.00","326,476,400.00","6,912,306,335.00"
"BROWN & COMPANY PLC","BRWN.N0000","498.75","293.40","75.00","246.90","27,294.00","46,911,300.00","6,832,361,535.00"
"COLOMBO DOCKYARD PLC","DOCK.N0000","21.50","320.25","241.00","275.00","7,640.00","24,580,556.00","6,825,180,460.00"
"SEYLAN BANK PLC","SEYB.N0000","38.00","125.00","36.50","97.80","25,818.00","77,670,434.00","6,174,337,307.00"
"NATIONS TRUST BANK PLC","NTB.N0000","23.75","114.70","34.00","83.40","31,533.00","97,024,500.00","5,900,541,485.00"
"HAYLEYS PLC","HAYL.N0000","97.00","394.40","172.00","345.00","6,214.00","17,979,900.00","5,661,018,330.00"
"L O L C HOLDINGS PLC","LOLC.N0000","100.00","1,600.00","114.00","127.80","11,546.00","14,063,300.00","5,311,121,060.00"
"HEMAS HOLDINGS PLC","HHL.N0000","100.25","198.00","35.00","44.50","32,125.00","93,069,674.00","5,102,169,235.00"
"NAWALOKA HOSPITALS PLC","NHL.N0000","2.75","10.00","3.00","3.70","47,868.00","788,439,800.00","4,986,945,360.00"
"CEYLON LEATHER PRODUCTS PLC","CLPL.N0000","11.50","275.00","55.50","92.60","35,682.00","31,422,200.00","4,748,941,880.00"
"ASIAN HOTELS AND PROPERTIES PLC","AHPL.N0000","42.75","210.00","95.00","194.00","8,267.00","29,961,717.00","4,661,546,465.00"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","58.75","193.75","141.00","159.50","11,203.00","27,854,900.00","4,587,115,150.00"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","13.00","75.50","12.75","74.70","43,585.00","103,961,000.00","4,407,725,620.00"
"CITRUS LEISURE PLC","REEF.N0000","1.00","91.00","2.00","42.70","54,486.00","579,126,300.00","4,239,138,215.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","12.25","41.20","17.75","40.30","23,014.00","134,411,586.00","4,056,333,870.00"
"AMBEON HOLDINGS PLC","GREG.W0002","0.00","88.00","25.00","36.80","42,603.00","81,060,500.00","3,871,141,485.00"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","0.00","18.40","9.75","16.00","34,778.00","259,971,100.00","3,792,712,670.00"
"SMB FINANCE PLC","SEMB.N0000","7.00","16.75","1.00","1.90","56,797.00","1,716,801,000.00","3,654,923,810.00"
"JANASHAKTHI PLC","CSEC","17.50","16.90","6.25","15.20","41,821.00","297,116,800.00","3,518,149,050.00"
"BAIRAHA FARMS PLC","BFL.N0000","16.50","330.00","23.50","324.30","27,589.00","28,692,100.00","3,510,595,040.00"
"PAN ASIA BANKING CORPORATION PLC","PABC.N0000","16.25","76.50","16.00","52.00","42,189.00","100,959,933.00","3,481,860,053.00"
"HATTON NATIONAL BANK PLC","HNB.X0000","41.75","260.00","15.60","214.60","11,051.00","19,057,800.00","3,473,089,990.00"
"AMBEON HOLDINGS PLC","GREG.W0001","0.00","179.50","34.00","72.40","30,690.00","34,035,000.00","3,472,430,200.00"
"CARGILLS (CEYLON) PLC","CARG.N0000","500.00","220.00","64.00","195.40","8,821.00","22,819,900.00","3,426,261,590.00"
"AMBEON HOLDINGS PLC","GREG.W0006","0.00","81.50","24.50","32.90","37,305.00","73,974,100.00","3,286,811,625.00"
"C T HOLDINGS PLC","CTHR.N0000","3,800.00","245.50","51.25","182.70","14,776.00","32,066,580.00","3,235,582,140.00"
"LION BREWERY (CEYLON) PLC","LION.N0000","60.00","199.00","74.50","185.10","9,357.00","22,462,472.00","3,177,405,338.00"
"C I C HOLDINGS PLC","CIC.N0000","150.00","150.00","60.00","140.70","12,504.00","31,187,000.00","3,037,009,445.00"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","12.50","24.00","14.00","15.30","25,086.00","163,873,600.00","3,023,019,670.00"
"ASIA CAPITAL PLC","ACAP.N0000","15.00","50.00","9.25","47.00","26,431.00","134,960,100.00","2,988,490,225.00"
"MERCHANT BANK OF SRI LANKA & FINANCE PLC","MBSL.N0000","14.25","59.70","16.75","45.80","43,787.00","84,879,700.00","2,942,506,810.00"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","154.25","950.00","320.00","818.50","6,212.00","4,828,000.00","2,940,105,880.00"
"AMBEON HOLDINGS PLC","GREG.W0003","0.00","82.00","23.25","33.30","31,426.00","65,322,100.00","2,927,004,585.00"
"AMBEON HOLDINGS PLC","GREG.W0000","0.00","177.75","33.50","55.25","23,901.00","28,452,000.00","2,834,874,300.00"
"PGP GLASS CEYLON PLC","GLAS.N0000","2.25","8.70","2.10","7.80","34,720.00","632,740,900.00","2,779,226,400.00"
"GALADARI HOTELS (LANKA) PLC","GHLL.N0000","11.50","46.00","14.75","35.80","27,847.00","83,679,400.00","2,747,393,530.00"
"COLOMBO LAND AND DEVELOPMENT COMPANY PLC","CLND.N0000","3.25","29.00","6.25","19.40","40,182.00","187,545,900.00","2,649,625,670.00"
"NATION LANKA FINANCE PLC","CSF.N0000","17.00","25.90","12.00","17.30","47,330.00","141,323,500.00","2,614,466,815.00"
"DIESEL & MOTOR ENGINEERING PLC","DIMO.N0000","110.00","1,180.00","183.00","973.50","4,950.00","3,710,800.00","2,528,264,125.00"
"C. W. MACKIE PLC","CWM.N0000","11.50","89.10","33.25","85.10","17,159.00","53,952,534.00","2,297,070,735.00"
"SIERRA CABLES PLC","SIRA.N0000","2.75","5.30","2.00","4.30","37,620.00","611,520,900.00","2,100,047,640.00"
"FIRST CAPITAL HOLDINGS PLC","CFVF.N0000","4.50","100.00","16.50","19.00","28,161.00","74,417,400.00","2,081,090,085.00"
"TAL LANKA HOTELS PLC","TAJ.N0000","11.75","89.00","22.75","71.70","19,970.00","40,465,700.00","2,032,979,275.00"
"LANKA WALLTILE PLC","LWL.N0000","35.00","140.00","54.00","138.90","9,382.00","21,346,400.00","1,972,424,320.00"
"CEYLON HOTELS CORPORATION PLC","CHOT.N0000","300.00","46.00","23.00","36.50","11,405.00","54,765,300.00","1,954,777,340.00"
"HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL","HDFC.N0000","191.50","600.00","135.00","550.00","10,077.00","6,623,900.00","1,939,826,790.00"
"C I C HOLDINGS PLC","CIC.X0000","100.00","109.90","37.75","99.90","15,268.00","30,792,100.00","1,909,300,455.00"
"DIPPED PRODUCTS PLC","DIPD.N0000","76.00","140.00","87.25","119.70","4,083.00","15,730,944.00","1,904,145,605.00"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.X0000","1.50","6.40","0.70","1.80","34,185.00","654,441,300.00","1,893,027,280.00"
"KOTMALE HOLDINGS PLC","LAMB.N0000","10.25","48.50","15.25","43.20","12,592.00","57,922,938.00","1,881,452,820.00"
"THE  LIGHTHOUSE  HOTEL  PLC","LHL.N0000","64.00","88.00","57.60","63.00","6,207.00","29,692,100.00","1,880,479,010.00"
"CEYLINCO INSURANCE PLC","CINS.N0000","75.00","680.00","200.00","381.00","2,107.00","6,009,300.00","1,862,845,160.00"
"ODEL PLC","ODEL.N0000","0.00","38.60","25.30","36.40","34,378.00","56,023,500.00","1,856,831,390.00"
"CARSON CUMBERBATCH PLC","CARS.N0000","2,200.00","1,230.00","470.00","513.20","7,800.00","2,544,000.00","1,845,988,680.00"
"THE LANKA HOSPITALS CORPORATION PLC","LHCL.N0000","18.75","42.75","18.00","31.70","12,771.00","58,859,500.00","1,834,155,990.00"
"KELANI TYRES PLC","TYRE.N0000","9.50","138.70","40.00","49.30","12,165.00","20,290,800.00","1,780,509,820.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","165.00","340.00","27.75","55.00","13,457.00","38,889,500.00","1,762,842,415.00"
"BUKIT DARAH PLC","BUKI.N0000","968.00","9,000.00","815.00","885.20","2,305.00","348,100.00","1,744,807,840.00"
"LANKA TILES PLC","TILE.N0000","60.00","143.00","0.00","134.30","5,293.00","16,004,500.00","1,739,242,070.00"
"VALLIBEL FINANCE PLC","VFIN.N0000","0.00","129.90","27.50","83.10","26,662.00","32,112,800.00","1,723,377,590.00"
"RENUKA HOLDINGS PLC","RHL.N0000","0.00","140.00","25.00","61.90","16,240.00","41,855,600.00","1,713,648,940.00"
"EDEN HOTEL LANKA PLC","EDEN.N0000","11.75","72.00","25.50","57.60","19,684.00","35,091,700.00","1,701,315,665.00"
