"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"EXPOLANKA HOLDINGS PLC","EXPO.N0000","377.00","405.00","90.00","182.25","442,583.00","561,895,126.00","125,001,531,444.60"
"LANKA IOC PLC","","","","","","","",""
"BROWNS INVESTMENTS PLC","BIL.N0000","17.00","19.10","3.90","7.00","342,250.00","4,514,300,535.00","45,434,209,675.60"
"LOLC FINANCE PLC","","","","","","","",""
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","149.00","170.00","116.25","135.25","42,215.00","239,404,677.00","34,605,938,278.00"
"L O L C HOLDINGS PLC","","","","","","","",""
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","70.00","249.00","27.00","86.60","151,586.00","155,474,737.00","16,112,131,409.85"
"ACL CABLES PLC","","","","","","","",""
"HAYLEYS PLC","HAYL.N0000","130.00","151.50","50.00","68.00","114,522.00","135,660,594.00","13,603,346,001.85"
"ROYAL CERAMICS LANKA PLC","","","","","","","",""
"SUNSHINE HOLDINGS PLC","SUN.N0000","46.00","71.80","25.00","34.80","86,504.00","245,413,430.00","12,112,391,098.70"
"SOFTLOGIC CAPITAL PLC","","","","","","","",""
"VALLIBEL ONE PLC","VONE.N0000","74.00","102.50","25.00","30.10","98,591.00","148,758,268.00","9,641,796,631.65"
"COMMERCIAL LEASING & FINANCE PLC","","","","","","","",""
"MELSTACORP PLC","MELS.N0000","56.50","68.00","29.50","46.20","36,824.00","175,125,210.00","8,686,177,728.00"
"AGSTAR PLC","","","","","","","",""
"C I C HOLDINGS PLC","CIC.N0000","64.10","108.00","27.00","85.00","28,499.00","95,635,450.00","7,076,484,575.90"
"LANKEM DEVELOPMENTS PLC","","","","","","","",""
"C I C HOLDINGS PLC","CIC.X0000","49.60","76.00","17.00","55.60","42,593.00","122,051,718.00","6,570,876,185.50"
"COMMERCIAL BANK OF CEYLON PLC","","","","","","","",""
"SOFTLOGIC HOLDINGS PLC","SHL.N0000","35.50","90.00","14.50","15.90","42,421.00","112,993,691.00","6,107,200,903.80"
"AGALAWATTE  PLANTATIONS  PLC","","","","","","","",""
"WATAWALA  PLANTATIONS  PLC","WATA.N0000","131.50","196.00","51.00","74.00","57,341.00","52,368,192.00","5,839,418,859.60"
"DIPPED PRODUCTS PLC","","","","","","","",""
"SAMPATH BANK PLC","SAMP.N0000","52.40","56.50","26.00","34.20","57,721.00","116,117,472.00","4,806,344,702.70"
"RICHARD PIERIS AND COMPANY PLC","","","","","","","",""
"ACCESS ENGINEERING PLC","AEL.N0000","32.20","38.40","8.30","10.70","49,601.00","217,514,602.00","4,509,398,291.10"
"HAYLEYS FABRIC PLC","","","","","","","",""
"LANKA WALLTILE PLC","LWL.N0000","126.00","140.00","35.00","51.50","43,137.00","58,083,401.00","4,328,770,500.70"
"CHEVRON LUBRICANTS  LANKA  PLC","","","","","","","",""
"AITKEN SPENCE PLC","SPEN.N0000","83.50","155.00","60.00","128.00","11,313.00","34,067,886.00","3,935,389,901.30"
"TEEJAY LANKA PLC","","","","","","","",""
