"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"NAWALOKA HOSPITALS PLC","NHL.N0000","4.70","4.80","4.10","4.70","1,231.00","7,302,200.00","33,262,497.60"
"ARPICO INSURANCE PLC","AINS.N0000","17.50","20.00","15.50","18.30","1,372.00","1,810,278.00","32,545,209.50"
"RAIGAM WAYAMBA SALTERNS PLC","RWSL.N0000","2.30","2.50","1.80","2.00","1,893.00","14,226,582.00","31,777,096.50"
"RENUKA FOODS PLC","COCO.N0000","18.00","20.00","10.50","13.90","1,380.00","2,013,485.00","30,780,845.00"
"C M HOLDINGS PLC","COLO.N0000","73.80","74.00","42.00","45.00","1,001.00","469,085.00","29,581,885.50"
"NAMUNUKULA PLANTATIONS PLC","NAMU.N0000","88.50","114.90","55.50","63.80","1,182.00","311,561.00","28,194,450.50"
"LAXAPANA BATTERIES PLC","LITE.N0000","9.90","13.00","9.90","11.00","948.00","2,535,844.00","27,893,320.50"
"B P P L HOLDINGS PLC","BPPL.N0000","14.20","14.20","11.30","12.50","934.00","2,186,450.00","27,562,099.90"
"HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL","HDFC.N0000","33.80","36.50","23.00","26.00","1,709.00","895,529.00","27,244,176.40"
"ASIRI SURGICAL HOSPITAL PLC","AMSL.N0000","10.50","11.60","9.20","9.90","1,836.00","2,638,211.00","27,232,387.90"
"DIESEL & MOTOR ENGINEERING PLC","DIMO.N0000","500.00","500.00","325.40","343.50","1,475.00","64,109.00","26,916,818.00"
"SRI LANKA TELECOM PLC","SLTL.N0000","28.90","30.00","18.90","23.40","3,198.00","1,113,157.00","26,852,883.30"
"THE FINANCE COMPANY PLC","TFC.X0000","2.30","2.60","0.90","1.10","4,294.00","14,985,928.00","26,608,294.60"
"HIKKADUWA BEACH RESORT PLC","CITH.N0000","11.30","12.00","3.70","3.80","3,272.00","4,112,195.00","25,598,844.20"
"ASIA CAPITAL PLC","ACAP.N0000","7.50","10.40","5.90","6.60","2,249.00","3,021,791.00","25,534,327.30"
"CONVENIENCE FOODS LANKA PLC","SOY.N0000","375.00","570.00","327.00","450.00","554.00","54,978.00","25,339,731.80"
"BOGAWANTALAWA TEA ESTATES PLC","BOPL.N0000","17.60","18.60","8.60","9.50","1,791.00","1,693,797.00","25,205,840.80"
"ACL PLASTICS PLC","APLA.N0000","122.00","133.70","67.00","74.00","1,615.00","281,239.00","24,990,248.20"
"ADAM INVESTMENTS PLC","AINV.N0000","0.30","0.40","0.10","0.20","3,027.00","118,948,573.00","24,415,977.90"
"ACME PRINTING & PACKAGING PLC","ACME.N0000","7.00","7.20","4.00","4.20","2,156.00","4,064,015.00","24,377,089.90"
"ADAM CAPITAL PLC","PCHH.N0000","0.70","0.90","0.20","0.30","2,467.00","51,749,833.00","24,369,840.20"
"NAMAL ACUITY VALUE FUND","NAVF.U0000","102.00","114.90","80.00","80.00","100.00","232,843.00","22,821,008.20"
"RENUKA FOODS PLC","COCO.X0000","14.90","17.00","8.00","10.50","1,413.00","2,085,194.00","21,801,739.50"
