"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","130.00","304.90","161.80","170.20","20,781.00","129,695,048.00","29,085,405,220.50"
"COLOMBO LAND AND DEVELOPMENT COMPANY PLC","CLND.N0000","3.25","73.40","18.70","54.90","133,645.00","473,855,000.00","20,581,005,400.00"
"LAUGFS GAS PLC","LGL.N0000","0.00","60.00","25.60","38.00","107,890.00","316,723,300.00","14,794,568,350.00"
"PANASIAN POWER PLC","PAP.N0000","0.00","8.80","3.50","4.30","107,246.00","2,192,882,600.00","12,557,618,540.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","138.25","284.00","97.00","100.00","12,758.00","63,643,960.00","12,422,209,687.00"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","154.25","1,895.00","197.30","203.00","15,117.00","11,088,800.00","11,259,130,140.00"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","13.00","265.00","77.90","105.50","77,454.00","70,039,800.00","10,847,988,610.00"
"HVA FOODS PLC","HVA.N0000","0.00","82.50","12.00","38.70","107,491.00","237,004,666.00","9,396,647,450.00"
"NATION LANKA FINANCE PLC","CSF.N0000","17.00","32.70","9.00","15.90","100,708.00","397,104,300.00","8,537,803,400.00"
"THE LANKA HOSPITALS CORPORATION PLC","LHCL.N0000","18.75","108.30","30.10","52.10","44,861.00","139,328,715.00","8,463,249,580.00"
"PC HOUSE PLC","PCH.N0000","0.00","32.20","11.40","13.90","105,689.00","390,683,600.00","7,851,240,170.00"
"BROWN & COMPANY PLC","BRWN.N0000","498.75","404.90","215.00","234.80","17,113.00","23,546,700.00","7,233,424,920.00"
"SAMPATH BANK PLC","SAMP.N0000","86.00","307.00","191.00","195.00","13,213.00","26,757,412.00","7,176,570,688.00"
"HAYLEYS PLC","HAYL.N0000","97.00","426.00","295.00","375.00","3,301.00","18,819,152.00","7,160,216,970.00"
"BLUE DIAMONDS JEWELLERY WORLDWIDE PLC","BLUE.N0000","4.00","13.10","2.90","8.10","86,438.00","961,563,100.00","7,129,928,280.00"
"EAST WEST PROPERTIES PLC","EAST.N0000","11.25","54.50","10.00","25.20","83,767.00","267,629,800.00","6,557,884,740.00"
"AMBEON HOLDINGS PLC","GREG.N0000","7.75","118.90","33.30","40.10","65,284.00","90,229,200.00","6,553,692,200.00"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","69.00","16.00","8.30","9.00","66,169.00","496,871,900.00","6,544,014,690.00"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","35.00","197.00","100.00","147.10","10,230.00","36,809,592.00","6,497,731,964.00"
"THE COLOMBO FORT LAND AND BUILDING PLC","CFLB.N0000","13.00","580.00","40.00","49.00","25,748.00","31,088,200.00","6,411,253,470.00"
"CITRUS LEISURE PLC","REEF.N0000","1.00","105.00","40.00","50.10","36,289.00","80,503,300.00","6,370,601,060.00"
"LAUGFS GAS PLC","LGL.X0000","0.00","45.30","18.20","23.00","72,391.00","163,357,200.00","5,730,885,140.00"
"VALLIBEL ONE PLC","VONE.N0000","0.00","38.50","20.30","23.80","55,649.00","181,935,600.00","5,412,253,270.00"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","8.75","405.00","73.60","166.70","10,597.00","37,281,616.00","5,191,421,000.00"
