"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","130.00","230.00","158.20","219.90","22,628.00","212,868,826.00","41,414,673,943.10"
"AITKEN SPENCE PLC","SPEN.N0000","315.00","136.30","100.00","120.00","3,776.00","206,632,251.00","23,353,520,504.40"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","138.25","119.50","96.80","103.00","17,214.00","117,120,816.00","12,075,470,840.30"
"AMBEON HOLDINGS PLC","GREG.N0000","7.75","41.20","10.90","14.90","71,066.00","382,994,574.00","7,100,713,778.80"
"SAMPATH BANK PLC","SAMP.N0000","86.00","216.00","148.50","200.50","13,263.00","28,590,983.00","5,413,009,077.90"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","35.00","166.00","117.00","166.00","4,368.00","19,061,900.00","2,714,212,972.40"
"HAYLEYS PLC","HAYL.N0000","97.00","390.00","280.00","302.90","1,086.00","7,139,349.00","2,680,472,684.20"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","215.00","155.00","96.00","137.90","9,753.00","20,282,620.00","2,535,897,677.70"
"BROWNS INVESTMENTS PLC","BIL.N0000","0.00","4.50","2.00","3.90","18,591.00","503,536,376.00","2,526,636,223.10"
"LB FINANCE PLC","LFIN.N0000","60.00","172.00","95.00","148.00","2,961.00","16,634,109.00","2,465,893,878.80"
"ASIRI CENTRAL HOSPITALS  PLC","ASHA.N0000","23.75","284.10","135.10","229.00","374.00","9,794,726.00","2,445,181,780.70"
"LION BREWERY (CEYLON) PLC","LION.N0000","60.00","295.00","175.00","270.00","1,610.00","10,107,559.00","2,221,451,698.30"
"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000","50.00","12.00","7.00","11.00","5,147.00","221,091,213.00","2,163,195,117.80"
"SWARNAMAHAL FINANCIAL SERVICES PLC","SFS.N0000","0.00","181.50","2.80","3.10","41,613.00","136,825,417.00","2,092,509,354.80"
"ASIA ASSET FINANCE PLC","AAF.N0000","0.00","8.90","2.20","2.90","40,542.00","380,379,313.00","2,058,392,908.10"
"PC PHARMA PLC","PCP.N0000","0.00","89.00","8.60","9.80","3,330.00","77,998,719.00","1,998,506,262.10"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","58.00","830.00","470.00","830.00","2,932.00","3,116,987.00","1,863,841,552.20"
"DIALOG AXIATA PLC","DIAL.N0000","16.75","9.40","5.10","8.30","11,293.00","254,954,639.00","1,837,604,823.80"
"HVA FOODS PLC","HVA.N0000","0.00","43.30","8.70","13.40","54,504.00","108,310,391.00","1,814,011,772.20"
"HATTON NATIONAL BANK PLC","HNB.N0000","110.00","170.00","130.00","148.00","3,076.00","12,353,873.00","1,811,045,737.70"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","58.75","205.20","160.00","202.00","4,040.00","9,551,054.00","1,792,835,404.10"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","59.00","99.50","73.00","91.10","9,137.00","21,436,592.00","1,778,706,070.40"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","154.25","210.00","121.00","162.30","3,836.00","11,443,332.00","1,734,051,765.90"
"ODEL PLC","ODEL.N0000","0.00","33.40","16.00","20.10","9,015.00","72,962,659.00","1,706,066,950.90"
"NATION LANKA FINANCE PLC","CSF.N0000","17.00","16.30","7.00","9.80","34,897.00","142,854,196.00","1,683,898,608.40"
"COLOMBO LAND AND DEVELOPMENT COMPANY PLC","CLND.N0000","3.25","58.00","28.70","35.50","18,925.00","38,916,515.00","1,587,977,880.20"
"SEYLAN BANK PLC","SEYB.X0000","16.00","37.00","21.20","35.10","13,032.00","48,638,001.00","1,499,703,586.70"
"CITRUS LEISURE PLC","REEF.N0000","1.00","52.00","20.00","26.00","16,037.00","47,450,541.00","1,498,068,541.10"
"HATTON NATIONAL BANK PLC","HNB.X0000","41.75","121.70","77.50","112.50","6,300.00","14,629,097.00","1,444,112,357.90"
"ACME PRINTING & PACKAGING PLC","ACME.N0000","16.00","34.50","9.10","15.00","28,580.00","57,876,610.00","1,428,152,033.80"
"NESTLE LANKA PLC","NEST.N0000","113.00","1,700.00","870.00","1,593.50","2,646.00","1,272,636.00","1,424,237,610.00"
"PC HOUSE PLC","PCH.N0000","0.00","14.60","5.00","5.40","34,467.00","173,905,139.00","1,375,276,185.50"
"VALLIBEL ONE PLC","VONE.N0000","0.00","24.50","13.20","18.10","23,260.00","68,576,738.00","1,307,835,916.30"
