"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","219.90","299.80","204.00","227.30","28,028.00","161,658,733.00","37,943,861,026.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","103.00","126.00","103.20","120.40","18,733.00","198,501,282.00","22,045,619,161.00"
"HATTON NATIONAL BANK PLC","HNB.N0000","148.00","176.00","140.00","147.00","5,487.00","67,886,852.00","10,303,290,777.00"
"SAMPATH BANK PLC","SAMP.N0000","200.50","242.00","161.60","171.90","19,212.00","47,891,453.00","9,620,179,487.00"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","137.90","182.50","138.00","160.50","11,406.00","31,631,020.00","5,112,129,481.00"
"AITKEN SPENCE PLC","SPEN.N0000","120.00","140.00","95.00","102.30","3,379.00","34,813,223.00","4,159,426,782.00"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","166.00","207.00","160.00","193.00","5,429.00","20,715,604.00","3,887,996,729.00"
"LANKA CERAMIC PLC","CERA.N0000","62.00","130.00","55.00","105.50","1,660.00","31,127,107.00","3,715,245,286.00"
"NATIONS TRUST BANK PLC","NTB.N0000","56.00","68.90","56.00","62.20","10,960.00","59,735,127.00","3,657,372,815.00"
"DIALOG AXIATA PLC","DIAL.N0000","8.30","9.90","7.90","9.00","7,557.00","338,073,034.00","3,035,231,171.00"
"COMMERCIAL LEASING & FINANCE PLC","CLC.N0000","3.70","5.20","0.00","3.80","2,154.00","573,700,766.00","2,856,915,159.00"
"HATTON NATIONAL BANK PLC","HNB.X0000","112.50","132.50","108.20","119.00","7,328.00","24,102,604.00","2,839,382,049.00"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","202.00","375.00","202.00","267.80","9,747.00","9,997,428.00","2,825,645,241.00"
"TOUCHWOOD INVESTMENTS PLC","TWOD.N0000","9.00","9.80","0.90","2.80","68,959.00","572,008,229.00","2,413,521,550.00"
"L O L C HOLDINGS PLC","LOLC.N0000","53.80","80.50","49.50","72.60","8,804.00","32,618,178.00","2,235,374,058.00"
"UNITED MOTORS LANKA PLC","UML.N0000","100.80","124.00","93.50","113.70","2,965.00","18,798,274.00","2,100,718,956.00"
"SOFTLOGIC LIFE INSURANCE PLC","AAIC.N0000","89.00","107.00","76.00","85.50","2,310.00","16,058,324.00","1,993,638,463.00"
"ACCESS ENGINEERING PLC","AEL.N0000","18.00","23.20","17.90","22.10","11,046.00","92,951,837.00","1,971,176,808.00"
"AMBEON HOLDINGS PLC","GREG.N0000","14.90","19.80","9.90","14.10","22,959.00","115,985,173.00","1,897,749,029.00"
"COLOMBO LAND AND DEVELOPMENT COMPANY PLC","CLND.N0000","35.50","56.80","29.10","39.20","20,078.00","38,925,298.00","1,816,470,036.00"
"CARGILLS (CEYLON) PLC","CARG.N0000","145.50","184.90","142.40","147.00","1,453.00","10,431,063.00","1,724,203,731.00"
"MORISON PLC","MORI.N0000","180.10","361.90","154.00","260.00","2,105.00","4,625,589.00","1,664,801,485.00"
"ASIAN HOTELS AND PROPERTIES PLC","AHPL.N0000","75.90","79.00","62.00","64.20","1,925.00","23,846,788.00","1,638,400,481.00"
"JOHN KEELLS HOLDINGS PLC","JKH.R0000","42.75","72.00","40.00","67.10","3,525.00","26,186,094.00","1,532,451,475.00"
"NESTLE LANKA PLC","NEST.N0000","1,593.50","2,550.00","1,500.00","2,100.70","3,828.00","779,661.00","1,529,746,037.00"
"PAN ASIA BANKING CORPORATION PLC","PABC.N0000","19.00","23.30","15.40","15.50","9,199.00","69,649,635.00","1,435,738,870.00"
"UNION BANK OF COLOMBO PLC","UBC.N0000","13.80","23.70","13.40","16.60","22,188.00","74,471,397.00","1,344,657,777.00"
"TEEJAY LANKA PLC","TJL.N0000","8.90","16.10","8.90","15.20","20,448.00","109,686,802.00","1,311,344,985.00"
"NATION LANKA FINANCE PLC","CSF.N0000","9.80","12.10","6.10","7.20","30,279.00","136,560,793.00","1,302,570,591.00"
"VALLIBEL ONE PLC","VONE.N0000","18.10","22.40","14.50","16.50","21,080.00","67,757,480.00","1,249,600,568.00"
