"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)","even","even 2","even 3","even 4","even 5","even 6","even 7","even 8"
"HEMAS HOLDINGS PLC","HHL.N0000","100.00","107.00","66.00","66.90","52,364.00","135,696,011.00","10,704,476,934.00","","","","","","","",""
"L O L C HOLDINGS PLC","","","","","","","","","LOLC.N0000","136.00","1,210.00","136.00","1,162.00","225,123.00","164,120,325.00","70,309,862,333.70"
"L O L C HOLDINGS PLC","LOLC.N0000","136.00","1,210.00","136.00","1,162.00","225,123.00","164,120,325.00","70,309,862,333.70","","","","","","","",""
"LANKA TILES PLC","","","","","","","","","TILE.N0000","145.00","342.00","38.00","110.00","70,662.00","110,515,410.00","9,076,137,649.10"
"DIPPED PRODUCTS PLC","DIPD.N0000","350.10","765.00","39.00","50.70","302,748.00","527,090,987.00","39,216,108,557.05","","","","","","","",""
"DIPPED PRODUCTS PLC","","","","","","","","","DIPD.N0000","350.10","765.00","39.00","50.70","302,748.00","527,090,987.00","39,216,108,557.05"
"LANKA IOC PLC","LIOC.N0000","22.50","81.30","18.30","73.20","72,208.00","210,083,974.00","8,830,006,092.50","","","","","","","",""
"TOKYO CEMENT COMPANY (LANKA) PLC","","","","","","","","","TKYO.N0000","48.00","78.50","19.20","76.20","63,003.00","171,277,805.00","8,489,233,514.60"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","48.00","78.50","19.20","76.20","63,003.00","171,277,805.00","8,489,233,514.60","","","","","","","",""
"ACCESS ENGINEERING PLC","","","","","","","","","AEL.N0000","24.70","36.20","21.00","31.90","79,622.00","370,866,539.00","10,091,886,274.20"
"ACCESS ENGINEERING PLC","AEL.N0000","24.70","36.20","21.00","31.90","79,622.00","370,866,539.00","10,091,886,274.20","","","","","","","",""
"TEEJAY LANKA PLC","","","","","","","","","TJL.N0000","38.00","47.50","36.10","44.40","27,956.00","185,753,190.00","7,784,805,578.00"
"R I L PROPERTY PLC","RIL.N0000","8.70","16.70","5.50","14.30","72,898.00","634,728,945.00","7,085,859,565.90","","","","","","","",""
"C I C HOLDINGS PLC","","","","","","","","","CIC.N0000","185.00","188.80","42.30","65.00","45,839.00","118,336,992.00","6,811,767,870.60"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","48.00","78.50","19.20","76.20","63,003.00","171,277,805.00","8,489,233,514.60","","","","","","","",""
"SWISSTEK (CEYLON) PLC","","","","","","","","","PARQ.N0000","98.90","176.00","21.00","46.00","56,271.00","156,426,667.00","6,511,751,987.45"
"DFCC BANK PLC","DFCC.N0000","91.70","91.80","47.90","65.30","42,692.00","98,438,908.00","6,379,470,652.80","","","","","","","",""
"DFCC BANK PLC","","","","","","","","","DFCC.N0000","91.70","91.80","47.90","65.30","42,692.00","98,438,908.00","6,379,470,652.80"
"C I C HOLDINGS PLC","CIC.X0000","152.50","157.50","35.10","49.10","46,682.00","134,666,703.00","6,307,803,673.30","","","","","","","",""
