"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","145.00","180.00","133.90","148.50","28,760.00","298,741,018.00","46,427,408,881.60"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","144.00","150.00","128.50","135.80","11,811.00","144,204,885.00","20,246,299,152.60"
"SINGER (SRI LANKA) PLC","SINS.N0000","127.90","149.90","40.00","43.50","3,180.00","258,913,797.00","13,198,036,793.10"
"SAMPATH BANK PLC","SAMP.N0000","261.00","352.20","253.50","315.70","17,547.00","37,726,071.00","11,793,386,096.00"
"HEMAS HOLDINGS PLC","HHL.N0000","98.00","154.90","95.00","126.00","3,330.00","58,459,412.00","7,376,923,467.50"
"HATTON NATIONAL BANK PLC","HNB.N0000","224.00","271.00","220.00","249.00","4,709.00","27,456,632.00","6,608,417,372.50"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","59.50","78.00","55.00","66.00","7,003.00","87,372,100.00","6,141,575,306.50"
"DIALOG AXIATA PLC","DIAL.N0000","10.40","13.60","10.40","13.00","5,717.00","482,145,466.00","5,898,864,564.20"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","159.00","179.90","109.00","119.00","22,085.00","37,849,977.00","5,512,801,550.60"
"CEYLON COLD STORES PLC","CCS.N0000","750.00","1,029.00","710.00","949.90","3,429.00","6,057,605.00","5,226,888,135.50"
"MELSTACORP PLC","MELS.N0000","59.50","69.50","54.90","59.50","5,430.00","79,172,488.00","5,132,634,738.10"
"TEEJAY LANKA PLC","TJL.N0000","42.60","45.10","33.90","34.00","15,189.00","96,230,757.00","3,773,835,681.30"
"NESTLE LANKA PLC","NEST.N0000","2,020.00","2,310.00","1,600.00","1,626.00","2,669.00","1,747,220.00","3,207,273,386.20"
"ACCESS ENGINEERING PLC","AEL.N0000","24.80","27.00","23.00","23.50","11,173.00","115,591,971.00","2,997,387,714.60"
"LION BREWERY (CEYLON) PLC","LION.N0000","450.00","598.00","400.00","540.00","1,042.00","5,704,691.00","2,799,644,246.50"
"UNITED MOTORS LANKA PLC","UML.N0000","88.00","90.00","70.30","78.00","2,979.00","35,397,045.00","2,764,705,474.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","52.00","71.00","46.00","59.00","6,504.00","37,909,424.00","2,331,867,750.70"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","157.90","157.90","126.90","136.40","7,568.00","14,072,627.00","1,937,455,225.60"
"EXPOLANKA HOLDINGS PLC","EXPO.N0000","6.30","7.10","5.30","5.30","4,031.00","259,713,715.00","1,597,225,577.70"
"BROWNS CAPITAL PLC","FLCH.N0000","1.10","4.20","0.80","3.20","15,705.00","512,946,835.00","1,594,633,459.70"
