"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","159.00","172.00","134.80","167.60","18,610.00","239,276,496.00","36,268,381,676.70"
"SAMPATH BANK PLC","SAMP.N0000","234.50","245.00","136.00","162.40","43,999.00","56,998,770.00","9,670,696,153.90"
"LOLC FINANCE PLC","LOFC.N0000","3.40","4.20","2.80","3.90","9,648.00","2,691,976,104.00","9,180,410,847.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","115.90","115.90","88.60","95.00","21,496.00","89,289,271.00","9,042,047,818.30"
"DIALOG AXIATA PLC","DIAL.N0000","10.20","14.00","8.60","12.30","18,084.00","717,512,291.00","7,872,399,198.00"
"ACCESS ENGINEERING PLC","AEL.N0000","14.30","24.00","11.90","21.80","63,031.00","302,971,457.00","5,593,711,167.70"
"HATTON NATIONAL BANK PLC","HNB.N0000","213.00","214.90","130.50","172.20","11,189.00","29,290,967.00","5,055,814,231.20"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","16.40","17.20","14.20","16.00","8,656.00","333,359,562.00","4,930,025,114.90"
"BROWNS INVESTMENTS PLC","BIL.N0000","1.90","5.30","1.20","5.00","39,581.00","993,540,597.00","3,761,485,379.80"
"MELSTACORP PLC","MELS.N0000","49.00","50.30","36.00","43.50","3,598.00","85,319,071.00","3,568,852,494.70"
"HEMAS HOLDINGS PLC","HHL.N0000","88.20","91.00","60.00","80.00","3,493.00","41,330,042.00","3,266,320,435.60"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","1,450.00","1,499.00","0.00","1,100.30","2,122.00","2,302,018.00","2,797,115,997.10"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","23.50","44.30","16.90","39.20","26,022.00","93,701,733.00","2,703,775,218.90"
"CEYLINCO INSURANCE PLC","CINS.N0000","1,850.00","2,125.00","0.00","1,986.90","607.00","1,396,057.00","2,598,937,716.20"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","89.70","110.00","80.10","104.00","2,431.00","23,355,575.00","2,239,877,666.10"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","25.40","55.00","19.50","48.00","18,883.00","62,686,204.00","2,195,329,840.80"
"TEEJAY LANKA PLC","TJL.N0000","32.50","44.50","29.40","40.80","8,838.00","53,077,251.00","2,008,493,972.00"
"AITKEN SPENCE PLC","SPEN.N0000","46.00","51.00","38.30","46.50","9,891.00","44,275,072.00","1,976,784,666.50"
"HAYLEYS FABRIC PLC","MGT.N0000","9.20","19.00","7.40","17.90","26,809.00","134,043,678.00","1,912,077,705.30"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","74.80","99.10","53.10","88.50","12,636.00","22,726,215.00","1,717,585,761.10"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","72.50","83.00","50.00","74.90","21,055.00","26,608,655.00","1,667,677,017.00"
"C T HOLDINGS PLC","CTHR.N0000","174.00","199.00","130.10","168.10","507.00","9,377,772.00","1,614,340,040.10"
"L O L C HOLDINGS PLC","LOLC.N0000","88.70","194.90","86.00","177.50","10,541.00","13,062,995.00","1,587,940,830.30"
"HATTON PLANTATIONS PLC","HPL.N0000","6.90","8.30","5.00","6.90","1,977.00","159,639,158.00","1,316,587,113.80"
"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000","22.10","23.50","18.50","20.00","2,299.00","60,232,814.00","1,310,225,119.10"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","30.10","40.00","22.00","32.50","15,629.00","42,537,319.00","1,259,972,791.50"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","107.20","119.50","85.70","100.00","8,728.00","11,742,052.00","1,209,476,489.20"
"CEYLON COLD STORES PLC","CCS.N0000","720.00","895.00","515.00","795.00","1,450.00","1,618,384.00","1,128,921,847.30"
"UNION BANK OF COLOMBO PLC","UBC.N0000","11.10","14.30","10.70","13.30","13,483.00","89,799,303.00","1,118,451,060.80"
"SEYLAN BANK PLC","SEYB.N0000","79.90","79.90","47.00","52.50","7,385.00","18,799,192.00","1,065,806,863.00"
"SEYLAN BANK PLC","SEYB.X0000","44.10","45.90","27.10","33.80","15,136.00","31,560,080.00","1,060,533,521.90"
"LANKA IOC PLC","LIOC.N0000","24.30","25.00","15.40","19.00","18,577.00","57,221,194.00","1,043,148,872.30"
