"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","228.00","263.00","206.00","250.00","25,703.00","298,479,246.00","71,043,629,100.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","121.20","179.90","113.50","171.00","17,846.00","129,328,356.00","18,335,062,000.00"
"ACCESS ENGINEERING PLC","AEL.N0000","22.00","43.50","21.50","32.10","34,783.00","409,202,600.00","12,882,243,600.00"
"EXPOLANKA HOLDINGS PLC","EXPO.N0000","7.50","10.80","7.50","8.60","18,240.00","883,830,586.00","9,155,219,460.00"
"HATTON NATIONAL BANK PLC","HNB.N0000","147.90","205.00","145.10","194.90","6,660.00","43,917,207.00","7,381,912,060.00"
"DIALOG AXIATA PLC","DIAL.N0000","9.10","14.10","8.90","13.30","11,135.00","630,384,064.00","7,312,528,900.00"
"LANKA IOC PLC","LIOC.N0000","33.40","68.30","33.00","60.00","38,754.00","150,577,453.00","6,970,408,960.00"
"DFCC BANK PLC","DFCC.N0000","129.00","239.00","129.00","219.00","8,671.00","33,116,122.00","6,386,329,600.00"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","267.60","400.00","263.00","399.60","6,253.00","20,425,323.00","6,320,613,380.00"
"PEOPLE'S LEASING & FINANCE PLC","PLC.N0000","13.40","25.60","13.40","24.50","21,845.00","303,417,539.00","6,228,398,080.00"
"SAMPATH BANK PLC","SAMP.N0000","170.90","252.00","164.20","236.30","18,403.00","27,712,319.00","5,866,366,460.00"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","160.50","266.00","160.50","250.00","8,917.00","25,871,855.00","5,451,514,370.00"
"NATIONS TRUST BANK PLC","NTB.N0000","62.50","101.90","62.00","97.00","11,184.00","63,839,256.00","5,427,119,620.00"
"HEMAS HOLDINGS PLC","HHL.N0000","34.00","76.00","33.50","74.30","11,323.00","105,522,324.00","5,391,976,960.00"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","195.00","218.00","195.00","210.00","4,152.00","21,248,369.00","4,389,273,600.00"
"UNION BANK OF COLOMBO PLC","UBC.N0000","16.80","27.20","16.70","25.30","34,068.00","181,775,746.00","4,074,002,180.00"
"SEYLAN BANK PLC","SEYB.X0000","31.00","63.00","30.20","57.50","16,830.00","88,656,087.00","4,041,904,640.00"
"AITKEN SPENCE PLC","SPEN.N0000","103.40","115.00","95.50","103.50","7,278.00","34,348,472.00","3,505,350,140.00"
"TEEJAY LANKA PLC","TJL.N0000","15.10","21.90","15.00","20.60","26,596.00","175,911,023.00","3,326,797,820.00"
