"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","179.00","179.00","135.00","145.00","30,764.00","154,009,455.00","23,566,312,652.40"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","140.60","151.90","115.00","145.00","15,189.00","96,145,515.00","12,858,366,234.00"
"COMMERCIAL CREDIT AND FINANCE PLC","COCR.N0000","53.50","77.00","40.00","56.30","12,167.00","107,736,518.00","11,348,779,684.40"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","195.00","199.90","150.00","156.00","7,393.00","42,572,211.00","7,127,021,753.80"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","345.00","350.00","149.00","157.10","15,165.00","33,992,769.00","6,202,719,608.90"
"TEEJAY LANKA PLC","TJL.N0000","35.90","47.80","27.50","42.80","25,216.00","161,783,389.00","5,841,585,888.10"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","245.70","294.00","205.00","237.10","4,785.00","21,644,078.00","5,070,472,447.60"
"DIALOG AXIATA PLC","DIAL.N0000","10.70","11.80","9.70","10.50","6,331.00","413,878,475.00","4,491,001,279.80"
"SAMPATH BANK PLC","SAMP.N0000","252.10","268.70","210.00","260.40","10,698.00","18,830,195.00","4,484,952,194.70"
"HATTON NATIONAL BANK PLC","HNB.N0000","211.00","235.00","185.00","225.00","4,573.00","19,943,989.00","4,229,803,903.50"
"HEMAS HOLDINGS PLC","HHL.N0000","92.90","108.50","72.00","98.00","3,700.00","40,990,554.00","3,835,180,377.60"
"EXPOLANKA HOLDINGS PLC","EXPO.N0000","8.10","8.20","5.90","6.30","5,366.00","473,418,103.00","3,724,968,874.70"
"ACCESS ENGINEERING PLC","AEL.N0000","23.30","27.70","18.80","24.80","29,729.00","154,841,231.00","3,640,945,537.20"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","995.00","1,140.00","797.00","806.50","2,954.00","3,746,928.00","3,517,094,431.00"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","91.50","98.40","55.00","82.90","32,936.00","32,287,273.00","2,739,501,111.00"
"SEYLAN BANK PLC","SEYB.N0000","95.00","101.00","77.00","90.00","2,295.00","23,736,951.00","2,290,574,593.60"
"HATTON NATIONAL BANK PLC","HNB.X0000","177.00","202.00","165.50","190.00","3,654.00","12,135,695.00","2,186,986,035.10"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","49.00","64.00","30.20","59.20","8,196.00","46,320,346.00","2,178,118,502.50"
"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000","23.10","32.50","22.00","26.40","2,879.00","85,093,748.00","2,154,366,781.30"
"PEOPLE'S LEASING & FINANCE PLC","PLC.N0000","22.00","22.10","15.40","17.20","12,867.00","119,462,832.00","2,141,673,015.50"
"LANKA IOC PLC","LIOC.N0000","37.00","42.90","30.00","31.70","16,440.00","49,867,885.00","1,797,438,458.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","39.50","54.80","24.60","51.50","6,816.00","43,565,511.00","1,754,440,639.70"
"LION BREWERY (CEYLON) PLC","LION.N0000","630.00","630.00","370.00","465.00","1,458.00","3,964,180.00","1,654,794,795.40"
"NAWALOKA HOSPITALS PLC","NHL.N0000","3.40","5.00","3.00","4.50","3,917.00","398,268,014.00","1,599,692,412.90"
"ALUMEX PLC","ALUM.N0000","17.30","22.00","13.50","20.20","11,701.00","81,365,625.00","1,487,559,226.50"
"LB FINANCE PLC","LFIN.N0000","120.50","134.00","97.50","125.00","6,515.00","11,622,193.00","1,457,221,968.10"
"SINGER (SRI LANKA) PLC","SINS.N0000","136.00","140.00","107.00","126.20","1,966.00","12,226,301.00","1,433,094,157.40"
"DFCC BANK PLC","DFCC.N0000","168.00","170.00","116.10","122.50","5,350.00","10,265,780.00","1,308,907,040.70"
"NESTLE LANKA PLC","NEST.N0000","2,100.00","2,445.00","1,903.30","2,001.90","1,883.00","597,839.00","1,264,218,754.30"
"AITKEN SPENCE PLC","SPEN.N0000","91.00","93.50","63.00","65.00","3,660.00","17,810,618.00","1,247,011,662.70"
"JOHN KEELLS HOLDINGS PLC","JKH.W0023","32.30","32.50","0.50","1.00","44,393.00","232,063,138.00","1,219,864,271.90"
"ACL CABLES PLC","ACL.N0000","122.00","127.00","52.70","60.50","7,227.00","14,790,709.00","1,206,727,765.10"
"CEYLON COLD STORES PLC","CCS.N0000","422.00","865.00","380.00","750.40","3,180.00","2,194,434.00","1,167,791,280.80"
"THREE ACRE FARMS PLC","TAFL.N0000","123.00","152.00","70.10","135.10","12,642.00","9,807,171.00","1,148,966,571.30"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","250.00","255.00","97.00","100.00","2,898.00","6,987,647.00","1,137,938,197.90"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","23.30","26.10","19.30","20.00","4,930.00","40,281,635.00","969,142,469.50"
"SUNSHINE HOLDINGS PLC","SUN.N0000","58.50","58.80","46.00","46.60","1,038.00","19,909,183.00","965,179,647.40"
"TAL LANKA HOTELS PLC","TAJ.N0000","25.30","31.20","20.00","25.20","1,895.00","35,816,957.00","895,285,760.20"
"L O L C HOLDINGS PLC","LOLC.N0000","94.50","94.50","64.10","72.50","3,163.00","10,791,198.00","895,123,508.90"
"SEYLAN BANK PLC","SEYB.X0000","73.00","73.00","57.80","59.00","5,780.00","13,689,271.00","890,778,601.70"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","111.00","126.00","95.00","115.50","4,460.00","7,404,802.00","859,061,354.80"
"SWISSTEK (CEYLON) PLC","PARQ.N0000","61.50","76.00","45.70","68.90","7,660.00","13,358,770.00","851,370,185.40"
"PAN ASIA BANKING CORPORATION PLC","PABC.N0000","27.00","27.70","18.80","20.00","4,219.00","37,902,593.00","827,205,407.10"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","8.60","9.20","7.00","8.00","7,982.00","102,112,891.00","818,202,715.00"
"BAIRAHA FARMS PLC","BFL.N0000","197.10","202.90","121.20","181.50","8,268.00","4,459,888.00","773,815,598.90"
"CARGILLS (CEYLON) PLC","CARG.N0000","189.50","195.00","140.00","194.40","1,344.00","4,643,143.00","757,817,011.60"
"SANASA DEVELOPMENT BANK PLC","SDB.N0000","155.10","158.80","95.20","103.70","10,940.00","5,649,252.00","725,606,300.20"
"SINGER INDUSTRIES (CEYLON) PLC","SINI.N0000","180.00","204.00","131.00","145.50","662.00","3,476,917.00","707,952,629.80"
"HAYLEYS FIBRE PLC","HEXP.N0000","58.50","104.50","33.40","80.50","20,404.00","9,389,074.00","692,290,415.90"
"NATIONS TRUST BANK PLC","NTB.N0000","88.00","90.00","73.00","80.90","3,598.00","8,087,139.00","637,627,174.20"
"LOTUS HYDRO POWER PLC","HPFL.N0000","7.00","7.60","4.60","6.60","2,823.00","89,679,549.00","624,891,592.10"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","123.00","123.00","101.50","115.00","3,721.00","5,395,928.00","615,643,022.00"
"THE KANDY HOTELS COMPANY (1938) PLC","KHC.N0000","7.80","8.70","5.00","6.80","1,552.00","71,735,238.00","599,460,197.00"
"HAYLEYS FABRIC PLC","MGT.N0000","22.40","22.50","14.90","15.00","10,891.00","30,604,746.00","578,317,104.00"
"HAYLEYS PLC","HAYL.N0000","307.10","310.00","237.50","270.00","3,358.00","1,995,474.00","553,654,324.70"
"MTD WALKERS PLC","KAPI.N0000","52.30","53.80","25.00","41.00","12,297.00","13,516,394.00","544,392,559.80"
"UNION BANK OF COLOMBO PLC","UBC.N0000","20.70","20.80","14.20","15.40","9,282.00","31,611,520.00","533,273,570.10"
"SOFTLOGIC FINANCE PLC","CRL.N0000","49.30","51.90","34.00","34.00","2,894.00","12,168,494.00","524,441,462.70"
"PEOPLE'S INSURANCE PLC","PINS.N0000","15.60","19.40","14.70","19.00","6,134.00","28,805,453.00","489,266,776.40"
"CEYLON HOTELS CORPORATION PLC","CHOT.N0000","25.50","27.50","19.00","20.30","668.00","16,558,116.00","480,848,767.90"
"C. W. MACKIE PLC","CWM.N0000","56.00","64.00","47.00","54.70","1,472.00","7,944,568.00","467,131,463.80"
"UNISYST ENGINEERING PLC","ALUF.N0000","51.00","53.90","20.90","35.10","14,118.00","10,966,259.00","459,036,379.40"
"VALLIBEL POWER ERATHNA PLC","VPEL.N0000","9.00","9.70","7.70","8.80","6,092.00","51,457,918.00","445,274,013.40"
"LANKA WALLTILE PLC","LWL.N0000","108.50","119.90","90.00","99.70","3,715.00","4,245,722.00","442,547,166.40"
"ASIA ASSET FINANCE PLC","AAF.N0000","1.60","1.70","1.20","1.40","5,002.00","287,903,593.00","441,665,732.20"
"PGP GLASS CEYLON PLC","GLAS.N0000","6.20","6.30","4.70","5.30","7,820.00","80,598,981.00","435,176,927.70"
"FIRST CAPITAL HOLDINGS PLC","CFVF.N0000","25.70","34.80","13.80","25.00","13,336.00","15,436,206.00","425,821,229.10"
"SOFTLOGIC HOLDINGS PLC","SHL.N0000","15.50","15.70","12.30","13.00","5,608.00","29,113,619.00","418,083,050.70"
"CENTRAL INDUSTRIES PLC","CIND.N0000","115.60","119.80","47.00","49.50","5,280.00","5,107,868.00","417,530,579.80"
"THE LANKA HOSPITALS CORPORATION PLC","LHCL.N0000","60.50","76.00","45.00","65.00","6,018.00","6,527,680.00","415,902,727.30"
"AITKEN SPENCE HOTEL HOLDINGS PLC","AHUN.N0000","67.00","68.00","43.00","43.10","2,248.00","7,506,130.00","408,119,451.30"
"CITIZENS DEVELOPMENT BUSINESS FINANCE PLC","CDB.N0000","95.80","99.00","68.00","70.00","2,891.00","5,005,668.00","398,595,204.50"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","17.60","18.70","14.20","16.40","7,846.00","23,034,017.00","384,869,488.20"
"EAST WEST PROPERTIES PLC","EAST.N0000","16.10","19.00","12.00","14.70","2,314.00","25,931,424.00","383,405,126.70"
"ANILANA HOTELS AND PROPERTIES PLC","ALHP.N0000","3.90","4.00","1.70","1.80","8,198.00","138,372,733.00","370,592,457.20"
"JANASHAKTHI PLC","CSEC","24.00","29.70","13.50","23.50","4,865.00","15,755,002.00","364,605,547.50"
"RENUKA AGRI FOODS PLC","RAL.N0000","4.10","4.10","2.70","2.90","4,258.00","100,979,322.00","361,947,948.60"
"PANASIAN POWER PLC","PAP.N0000","3.50","3.60","2.90","3.00","3,451.00","116,365,152.00","356,916,732.20"
"C I C HOLDINGS PLC","CIC.N0000","103.00","108.00","88.00","91.40","1,173.00","3,426,425.00","343,045,293.00"
"NATION LANKA FINANCE PLC","CSF.N0000","3.10","3.10","0.90","1.30","7,469.00","196,063,812.00","328,917,016.90"
"VALLIBEL ONE PLC","VONE.N0000","21.70","23.00","15.30","18.60","6,890.00","15,825,014.00","325,283,699.90"
"THE COLOMBO FORT LAND AND BUILDING PLC","CFLB.N0000","21.40","25.30","15.50","20.00","2,915.00","14,404,745.00","317,368,857.70"
