"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","130.00","223.00","125.00","127.25","12,634.00","125,611,217.00","19,277,291,060.00"
"DIALOG AXIATA PLC","DIAL.N0000","16.75","29.75","19.75","20.00","15,541.00","546,417,230.00","14,265,095,162.50"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","215.00","225.00","150.00","168.75","2,761.00","34,250,250.00","6,398,417,525.00"
"SRI LANKA TELECOM PLC","SLTL.N0000","16.75","43.25","28.00","31.50","27,631.00","156,895,700.00","5,596,918,025.00"
"HATTON NATIONAL BANK PLC","HNB.N0000","110.00","225.00","0.00","122.50","4,370.00","30,296,720.00","3,309,798,000.00"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","35.00","135.00","80.00","100.50","11,453.00","28,688,800.00","3,130,099,600.00"
"TOUCHWOOD INVESTMENTS PLC","TWOD.N0000","77.00","160.00","31.00","106.50","43,876.00","26,658,400.00","2,804,178,975.00"
"ASIRI CENTRAL HOSPITALS  PLC","ASHA.N0000","23.75","96.00","34.25","83.25","4,669.00","25,216,650.00","2,236,928,162.50"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","138.25","250.00","128.00","147.00","5,159.00","11,932,080.00","1,936,163,005.00"
"DFCC BANK PLC","DFCC.N0000","220.00","220.00","120.00","127.00","3,039.00","10,264,800.00","1,692,198,725.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","12.25","26.75","17.00","18.25","13,188.00","72,984,400.00","1,601,485,050.00"
"C I C HOLDINGS PLC","CIC.N0000","150.00","120.00","32.75","38.75","17,808.00","26,477,700.00","1,529,615,675.00"
"CEYLON LEATHER PRODUCTS PLC","CLPL.N0000","11.50","84.00","17.00","76.75","22,393.00","30,239,700.00","1,386,976,125.00"
"LANKA IOC PLC","LIOC.N0000","33.00","37.25","20.75","21.50","16,610.00","44,345,100.00","1,353,457,975.00"
"ACL CABLES PLC","ACL.N0000","96.75","256.00","90.00","94.50","9,099.00","8,271,900.00","1,288,675,325.00"
"CEYLINCO INSURANCE PLC","CINS.N0000","75.00","232.00","135.00","185.00","2,370.00","6,503,833.00","1,252,655,075.00"
"HAYLEYS PLC","HAYL.N0000","97.00","165.00","101.00","107.75","2,931.00","8,680,500.00","1,202,949,225.00"
"SAMPATH BANK PLC","SAMP.N0000","86.00","134.00","100.00","120.00","3,061.00","9,526,900.00","1,154,809,525.00"
"HATTON NATIONAL BANK PLC","HNB.X0000","41.75","120.00","35.00","53.25","17,699.00","18,214,300.00","1,126,370,575.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","165.00","295.00","190.00","239.50","1,687.00","4,296,400.00","1,050,336,800.00"
"LANKA MILK FOODS (CWE) PLC","LMF.N0000","21.50","55.50","30.00","46.00","12,480.00","22,541,100.00","1,034,179,575.00"
"NATIONS TRUST BANK PLC","NTB.N0000","23.75","37.50","28.50","29.75","6,603.00","29,718,300.00","1,003,476,025.00"
"C I C HOLDINGS PLC","CIC.X0000","100.00","73.50","24.25","27.50","19,807.00","20,743,800.00","911,138,825.00"
"AMBEON HOLDINGS PLC","GREG.N0000","7.75","37.75","4.90","16.00","21,347.00","51,750,300.00","910,053,560.00"
"ASIA CAPITAL PLC","ACAP.N0000","15.00","17.25","11.25","11.50","3,377.00","61,162,600.00","859,302,375.00"
"COLOMBO DOCKYARD PLC","DOCK.N0000","21.50","57.00","33.00","53.00","8,894.00","18,449,700.00","854,059,350.00"
"PMF FINANCE PLC","PMB.N0000","29.00","93.50","18.50","70.50","10,421.00","18,855,353.00","762,208,103.25"
"DILMAH CEYLON TEA COMPANY PLC","CTEA.N0000","435.00","305.00","162.00","302.75","158.00","2,193,300.00","709,870,850.00"
"L O L C HOLDINGS PLC","LOLC.N0000","100.00","167.50","81.00","136.50","5,660.00","4,522,700.00","645,295,150.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","59.00","144.50","60.00","74.50","9,269.00","5,930,200.00","630,710,950.00"
"BUKIT DARAH PLC","BUKI.N0000","968.00","1,499.00","805.00","1,300.00","1,519.00","572,500.00","583,248,850.00"
"CEYLON GUARDIAN INVESTMENT TRUST PLC","GUAR.N0000","110.25","194.00","117.50","165.00","4,763.00","2,962,500.00","482,346,600.00"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","69.00","85.00","35.50","47.50","3,678.00","6,644,600.00","450,756,675.00"
"RIVERINA HOTELS PLC","BHR.N0000","22.50","59.50","22.00","54.75","7,908.00","8,704,100.00","422,081,950.00"
