"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","130.00","180.00","48.25","171.50","37,083.00","269,413,122.00","32,307,050,808.00"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","215.00","208.00","88.00","206.00","13,462.00","50,904,900.00","6,773,075,325.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","138.25","192.00","66.00","189.50","13,267.00","46,401,626.00","6,601,558,404.00"
"HATTON NATIONAL BANK PLC","HNB.N0000","110.00","175.00","68.00","170.25","3,840.00","35,102,100.00","5,634,836,700.00"
"DFCC BANK PLC","DFCC.N0000","220.00","168.00","56.25","167.00","9,794.00","41,226,724.00","4,985,001,619.00"
"DIALOG AXIATA PLC","DIAL.N0000","16.75","9.50","4.50","7.25","21,582.00","577,298,500.00","3,330,250,505.00"
"SEYLAN BANK PLC","SEYB.X0000","16.00","19.50","4.90","16.00","22,708.00","189,031,100.00","2,473,592,000.00"
"SAMPATH BANK PLC","SAMP.N0000","86.00","205.00","65.00","204.25","8,578.00","19,077,355.00","2,446,533,716.25"
"ASIAN HOTELS AND PROPERTIES PLC","AHPL.N0000","42.75","97.00","24.00","94.50","12,423.00","40,909,600.00","2,353,279,550.00"
"NATIONS TRUST BANK PLC","NTB.N0000","23.75","39.50","22.00","36.75","13,207.00","72,242,466.00","2,304,854,734.50"
"LANKA CEMENT PLC","LCEM.N0000","6.25","39.50","6.50","23.25","46,509.00","107,176,700.00","2,229,343,500.00"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","35.00","112.00","53.50","105.25","12,001.00","21,245,900.00","1,892,850,550.00"
"BROWN & COMPANY PLC","BRWN.N0000","498.75","94.75","17.00","74.50","26,464.00","36,624,600.00","1,852,806,625.00"
"HATTON NATIONAL BANK PLC","HNB.X0000","41.75","107.00","32.00","104.75","13,800.00","26,221,400.00","1,850,995,975.00"
"COLOMBO DOCKYARD PLC","DOCK.N0000","21.50","248.50","50.00","244.75","9,541.00","13,344,600.00","1,753,209,350.00"
"C I C HOLDINGS PLC","CIC.N0000","150.00","72.00","29.00","63.00","12,797.00","28,348,800.00","1,515,967,075.00"
"CEYLINCO INSURANCE PLC","CINS.N0000","75.00","250.00","125.25","220.00","1,466.00","8,208,049.00","1,498,008,804.00"
"AITKEN SPENCE PLC","SPEN.N0000","315.00","1,350.00","0.00","1,325.00","1,835.00","2,081,400.00","1,404,898,075.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","12.25","20.00","7.75","19.75","18,666.00","98,534,140.00","1,350,421,715.00"
"AMBEON HOLDINGS PLC","GREG.N0000","7.75","63.25","18.00","62.75","24,879.00","33,750,000.00","1,310,057,575.00"
"THE KINGSBURY PLC","SERV.N0000","160.00","180.00","15.00","19.00","12,409.00","66,126,754.00","1,287,516,226.00"
"PAN ASIA BANKING CORPORATION PLC","PABC.N0000","16.25","24.50","9.00","20.25","19,964.00","74,991,600.00","1,268,046,975.00"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","58.75","233.00","93.00","141.75","5,845.00","8,071,000.00","1,184,890,700.00"
"UNION ASSURANCE PLC","UAL.N0000","99.00","109.00","49.00","90.75","900.00","15,986,865.00","1,151,554,755.00"
"ACL CABLES PLC","ACL.N0000","96.75","82.25","24.00","76.75","13,128.00","18,575,400.00","1,074,993,400.00"
"RENUKA FOODS PLC","COCO.N0000","20.75","57.50","9.50","48.25","19,050.00","30,884,800.00","988,032,525.00"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","0.00","13.75","5.75","9.50","14,977.00","90,848,000.00","904,009,425.00"
"AITKEN SPENCE HOTEL HOLDINGS PLC","AHUN.N0000","65.00","270.00","85.50","269.25","1,841.00","4,451,100.00","836,149,400.00"
"JOHN KEELLS HOTELS PLC","KHL.N0000","85.00","23.25","5.25","22.50","17,016.00","56,273,907.00","834,486,970.00"
"GOOD HOPE PLC","GOOD.N0000","180.00","500.00","116.00","419.50","146.00","6,146,466.00","825,000,603.75"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","59.00","131.25","48.25","124.75","5,301.00","7,950,100.00","805,458,675.00"
"SELINSING PLC","SELI.N0000","185.00","525.00","102.00","410.00","210.00","6,110,721.00","787,298,538.00"
"HEMAS HOLDINGS PLC","HHL.N0000","100.25","135.00","55.75","122.75","2,522.00","7,204,200.00","786,787,875.00"
"VALLIBEL POWER ERATHNA PLC","VPEL.N0000","8.25","5.25","2.80","5.00","12,155.00","187,711,358.00","774,125,095.00"
"C I C HOLDINGS PLC","CIC.X0000","100.00","44.00","19.50","39.25","12,888.00","21,708,600.00","773,775,925.00"
"C T HOLDINGS PLC","CTHR.N0000","3,800.00","60.00","26.00","54.00","4,866.00","16,883,800.00","746,115,150.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.N0000","165.00","339.75","115.00","322.25","2,354.00","4,085,300.00","736,399,900.00"
"CARSON CUMBERBATCH PLC","CARS.N0000","2,200.00","494.50","109.00","490.50","7,008.00","2,470,900.00","684,939,075.00"
"THE FINANCE COMPANY PLC","TFC.N0000","36.00","36.00","15.50","19.25","18,485.00","25,647,200.00","682,096,550.00"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","69.00","44.50","22.50","39.00","9,721.00","18,756,100.00","678,405,925.00"
"INDO-MALAY PLC","INDO.N0000","170.00","450.00","120.00","444.50","141.00","5,408,160.00","677,436,380.00"
"SEYLAN BANK PLC","SEYB.N0000","38.00","49.25","27.00","37.00","10,265.00","17,352,100.00","649,588,650.00"
"MERCHANT BANK OF SRI LANKA & FINANCE PLC","MBSL.N0000","14.25","32.00","7.75","19.50","14,243.00","26,989,500.00","639,407,375.00"
"C. W. MACKIE PLC","CWM.N0000","11.50","37.00","11.00","36.00","14,002.00","22,873,800.00","629,888,025.00"
"TOUCHWOOD INVESTMENTS PLC","TWOD.N0000","77.00","112.00","43.50","85.50","15,108.00","7,656,100.00","629,665,675.00"
"SRI LANKA TELECOM PLC","SLTL.N0000","16.75","51.00","31.00","46.00","7,922.00","14,638,600.00","624,358,200.00"
"AMBEON HOLDINGS PLC","GREG.W0000","0.00","36.00","11.50","35.25","10,177.00","26,704,500.00","612,607,125.00"
"HAYCARB PLC","HAYC.N0000","35.00","148.00","40.00","140.00","4,488.00","6,998,600.00","578,953,850.00"
"SEYLAN DEVELOPMENTS PLC","CSD.N0000","8.50","13.25","4.70","9.50","13,362.00","58,790,500.00","565,368,850.00"
"HAYLEYS PLC","HAYL.N0000","97.00","182.50","85.00","171.75","2,626.00","3,925,100.00","564,973,550.00"
"AMBEON HOLDINGS PLC","GREG.W0001","0.00","38.00","10.00","37.25","9,315.00","25,237,300.00","561,027,225.00"
"CEYLON COLD STORES PLC","CCS.N0000","122.25","171.00","68.00","162.00","720.00","4,755,311.00","550,960,815.00"
"HAYLEYS FABRIC PLC","MGT.N0000","45.00","46.75","26.00","35.00","3,059.00","16,417,900.00","546,742,775.00"
"CARGILLS (CEYLON) PLC","CARG.N0000","500.00","66.00","22.00","65.25","6,727.00","12,063,000.00","543,494,075.00"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","3.00","68.50","27.00","66.50","5,256.00","10,833,600.00","529,791,500.00"
"OVERSEAS REALTY (CEYLON) PLC","OSEA.N0000","12.50","16.50","6.25","15.50","15,559.00","39,530,200.00","512,666,200.00"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","58.00","193.00","69.00","185.00","2,214.00","3,957,800.00","506,389,100.00"
"CEYLON INVESTMENT PLC","CINV.N0000","71.50","252.50","47.00","247.50","5,225.00","3,629,900.00","506,223,325.00"
"NAWALOKA HOSPITALS PLC","NHL.N0000","2.75","3.50","1.70","3.10","10,149.00","172,537,900.00","499,237,240.00"
"LION BREWERY (CEYLON) PLC","LION.N0000","60.00","86.50","41.00","81.50","3,747.00","7,177,400.00","490,955,600.00"
"CHEMANEX PLC","CHMX.N0000","78.75","155.00","40.00","145.75","5,902.00","5,735,400.00","484,070,100.00"
"EDEN HOTEL LANKA PLC","EDEN.N0000","11.75","30.00","7.50","25.75","11,634.00","21,522,800.00","462,243,200.00"
"KOTMALE HOLDINGS PLC","LAMB.N0000","10.25","20.50","9.25","16.00","6,541.00","25,487,400.00","451,283,325.00"
"RESUS ENERGY PLC","HPWR.N0000","0.00","28.00","18.25","19.50","8,622.00","18,871,500.00","440,357,075.00"
"CITY HOUSING & REAL ESTATE CO. PLC","CHOU.N0000","32.00","38.25","7.75","21.25","13,273.00","18,582,400.00","430,822,550.00"
"HOTEL DEVELOPERS (LANKA) PLC","HDEV.N0000","99.75","149.50","31.00","118.00","6,600.00","4,054,900.00","422,988,750.00"
"LANKA WALLTILE PLC","LWL.N0000","35.00","58.00","30.50","57.25","3,670.00","8,981,100.00","422,222,975.00"
"CEYLON LEATHER PRODUCTS PLC","CLPL.N0000","11.50","66.00","45.00","56.00","3,432.00","7,402,000.00","415,706,175.00"
