"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","250.30","250.30","166.00","178.10","44,360.00","189,396,524.00","36,761,030,480.30"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","172.00","194.00","139.90","140.20","15,575.00","117,372,662.00","19,385,420,198.50"
"ASIRI HOSPITAL HOLDINGS PLC","ASIR.N0000","21.80","25.50","19.10","24.00","5,149.00","418,434,378.00","9,917,790,380.00"
"TEEJAY LANKA PLC","TJL.N0000","20.70","36.30","20.50","35.50","36,544.00","272,881,473.00","7,771,634,262.90"
"HATTON NATIONAL BANK PLC","HNB.N0000","195.00","242.00","192.00","210.60","8,287.00","34,919,628.00","7,700,702,420.60"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","210.50","320.00","210.50","246.00","4,438.00","28,628,316.00","7,424,140,078.20"
"SAMPATH BANK PLC","SAMP.N0000","237.00","279.90","235.20","248.00","14,460.00","26,898,512.00","6,982,385,843.30"
"ACCESS ENGINEERING PLC","AEL.N0000","32.80","36.10","18.50","23.10","45,460.00","250,402,871.00","6,294,744,829.60"
"CEYLINCO INSURANCE PLC","CINS.N0000","1,375.00","1,949.90","1,304.00","1,485.60","823.00","3,607,491.00","5,750,639,593.10"
"DIALOG AXIATA PLC","DIAL.N0000","13.30","14.30","10.10","10.70","13,456.00","471,175,620.00","5,308,186,292.40"
"PEOPLE'S LEASING & FINANCE PLC","PLC.N0000","24.50","28.00","20.40","22.00","17,371.00","194,152,457.00","4,625,537,893.90"
"SEYLAN BANK PLC","SEYB.N0000","95.90","120.50","89.90","95.00","6,473.00","42,955,939.00","4,449,022,093.80"
"SEYLAN BANK PLC","SEYB.X0000","57.90","81.50","57.90","73.00","18,462.00","62,928,695.00","4,329,718,144.60"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","250.00","280.00","187.00","194.10","9,040.00","15,963,879.00","3,917,823,470.20"
"NATIONS TRUST BANK PLC","NTB.N0000","97.00","115.60","80.00","86.30","6,567.00","38,266,432.00","3,890,124,257.10"
"LANKA IOC PLC","LIOC.N0000","60.20","64.50","29.00","37.10","31,267.00","83,051,006.00","3,422,042,401.30"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","399.90","460.00","342.10","344.00","6,969.00","7,255,712.00","2,863,126,839.60"
"AITKEN SPENCE PLC","SPEN.N0000","103.80","120.50","85.00","96.70","5,233.00","28,528,660.00","2,813,515,284.60"
"SANASA DEVELOPMENT BANK PLC","SDB.N0000","91.00","176.00","91.00","157.10","26,889.00","19,891,297.00","2,667,278,583.10"
"HEMAS HOLDINGS PLC","HHL.N0000","74.30","99.80","70.00","92.90","6,342.00","30,774,682.00","2,625,350,209.50"
"HATTON NATIONAL BANK PLC","HNB.X0000","153.00","187.00","150.00","177.90","6,051.00","14,934,813.00","2,610,905,444.90"
"CEYLON GRAIN ELEVATORS PLC","GRAN.N0000","41.00","120.00","35.50","91.60","35,787.00","33,983,884.00","2,607,302,247.30"
"DFCC BANK PLC","DFCC.N0000","220.00","232.00","155.00","168.10","6,503.00","12,362,030.00","2,458,755,453.80"
"UNION BANK OF COLOMBO PLC","UBC.N0000","25.50","30.30","20.00","20.20","20,314.00","96,210,375.00","2,452,646,912.60"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","1,069.90","1,124.00","881.00","992.50","2,807.00","2,389,225.00","2,311,726,882.10"
"AMBEON CAPITAL PLC","TAP.N0000","4.50","6.00","3.80","5.00","3,364.00","349,744,858.00","1,905,804,755.20"
"BAIRAHA FARMS PLC","BFL.N0000","127.00","240.50","106.10","199.70","13,149.00","10,766,543.00","1,889,671,371.80"
"SWISSTEK (CEYLON) PLC","PARQ.N0000","38.50","69.70","34.00","60.80","19,600.00","32,961,855.00","1,796,733,850.10"
"VALLIBEL POWER ERATHNA PLC","VPEL.N0000","7.30","9.90","7.30","8.90","15,810.00","203,784,698.00","1,772,933,094.30"
"LAUGFS GAS PLC","LGL.N0000","40.70","46.40","34.90","41.50","6,803.00","43,942,110.00","1,767,339,566.50"
"HAYLEYS PLC","HAYL.N0000","339.50","365.00","290.00","307.40","6,568.00","5,128,330.00","1,714,757,749.50"
