"Company Name","Symbol","Open (Rs.)","High (Rs.)","Low (Rs.)","Close Price (Rs)","Trade_Volume","Share Volume","Turnover(Rs)"
"SRI LANKA TELECOM PLC","SLTL.N0000","16.75","49.75","29.00","31.00","16,915.00","905,265,510.00","43,986,329,367.00"
"JOHN KEELLS HOLDINGS PLC","JKH.N0000","130.00","128.00","49.25","50.00","9,763.00","68,356,613.00","6,526,544,042.25"
"DISTILLERIES COMPANY OF SRI LANKA PLC","DIST.N0000","35.00","112.00","50.00","50.50","5,038.00","41,363,400.00","3,067,881,575.00"
"DIALOG AXIATA PLC","DIAL.N0000","16.75","20.00","5.75","6.00","12,587.00","186,431,170.00","2,838,720,285.00"
"HAYLEYS PLC","HAYL.N0000","97.00","150.00","85.25","86.00","3,269.00","18,868,152.00","2,457,402,166.00"
"THE KINGSBURY PLC","SERV.N0000","160.00","169.75","96.00","96.00","228.00","14,550,200.00","2,008,352,225.00"
"NDB CAPITAL HOLDINGS PLC","CDIC.N0000","55.00","120.00","75.00","75.25","207.00","10,536,142.00","1,157,561,220.00"
"CEYLINCO INSURANCE PLC","CINS.N0000","75.00","228.50","150.00","187.00","1,302.00","5,817,350.00","1,156,512,850.00"
"LANKA IOC PLC","LIOC.N0000","33.00","28.00","14.00","15.25","14,146.00","42,118,600.00","966,808,650.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.N0000","138.25","149.75","66.25","67.00","5,491.00","7,840,900.00","955,614,725.00"
"RICHARD PIERIS AND COMPANY PLC","RICH.N0000","69.00","50.50","21.75","22.50","6,644.00","23,854,100.00","893,154,500.00"
"CARGILLS (CEYLON) PLC","CARG.N0000","500.00","2,100.00","22.00","22.50","5,383.00","8,857,800.00","882,317,475.00"
"CHEVRON LUBRICANTS  LANKA  PLC","LLUB.N0000","58.75","118.25","81.75","92.00","6,146.00","8,245,200.00","844,202,800.00"
"LANKA CEMENT PLC","LCEM.N0000","6.25","17.00","6.00","6.25","23,102.00","62,158,100.00","825,318,625.00"
"VALLIBEL POWER ERATHNA PLC","VPEL.N0000","8.25","4.70","1.80","3.30","13,888.00","223,599,500.00","810,130,430.00"
"DFCC BANK PLC","DFCC.N0000","220.00","130.00","52.00","53.00","1,816.00","7,877,400.00","774,646,025.00"
"C I C HOLDINGS PLC","CIC.N0000","150.00","48.00","28.50","28.75","10,222.00","17,770,600.00","714,455,800.00"
"DIESEL & MOTOR ENGINEERING PLC","DIMO.N0000","110.00","140.00","58.00","62.00","2,272.00","4,636,611.00","684,472,010.00"
"AMBEON HOLDINGS PLC","GREG.N0000","7.75","38.25","13.00","20.00","22,380.00","24,303,200.00","652,924,625.00"
"NATIONS TRUST BANK PLC","NTB.N0000","23.75","37.75","21.00","22.25","3,994.00","20,466,600.00","635,294,075.00"
"MASKELIYA PLANTATIONS PLC","MASK.N0000","19.75","38.50","13.00","13.50","15,601.00","24,043,100.00","634,076,000.00"
"AITKEN SPENCE PLC","SPEN.N0000","315.00","560.00","305.00","311.00","802.00","1,305,800.00","605,095,450.00"
"COLOMBO DOCKYARD PLC","DOCK.N0000","21.50","78.00","48.25","50.00","5,515.00","9,563,400.00","602,529,275.00"
"KELANI TYRES PLC","TYRE.N0000","9.50","71.50","18.75","22.00","12,878.00","13,828,400.00","575,733,625.00"
"SAMPATH BANK PLC","SAMP.N0000","86.00","120.00","65.00","68.00","1,280.00","5,356,600.00","574,744,250.00"
"THE COLOMBO FORT LAND AND BUILDING PLC","CFLB.N0000","13.00","30.50","14.00","15.25","13,328.00","23,722,300.00","574,469,025.00"
"BALANGODA  PLANTATIONS  PLC","BALA.N0000","12.00","43.75","10.00","12.00","12,672.00","17,416,300.00","564,007,325.00"
"LANKA CERAMIC PLC","CERA.N0000","30.00","66.00","28.00","31.50","856.00","9,131,800.00","442,327,075.00"
"BUKIT DARAH PLC","BUKI.N0000","968.00","2,075.00","610.00","610.00","1,518.00","281,600.00","431,681,075.00"
"TOUCHWOOD INVESTMENTS PLC","TWOD.N0000","77.00","112.50","40.00","44.50","10,844.00","4,825,600.00","418,945,625.00"
"SEYLAN BANK PLC","SEYB.X0000","16.00","10.00","4.90","6.00","4,761.00","47,989,600.00","414,073,345.00"
"ACL CABLES PLC","ACL.N0000","96.75","108.50","29.00","30.00","6,477.00","8,516,800.00","392,679,450.00"
"HATTON NATIONAL BANK PLC","HNB.X0000","41.75","57.50","31.00","32.00","6,344.00","7,585,600.00","379,522,475.00"
"NATIONAL DEVELOPMENT BANK PLC","NDB.N0000","215.00","176.00","86.00","86.00","1,312.00","2,525,400.00","365,376,250.00"
"ASIRI SURGICAL HOSPITAL PLC","AMSL.N0000","2.75","10.75","5.50","5.75","3,389.00","41,234,400.00","356,840,150.00"
"ROYAL CERAMICS LANKA PLC","RCL.N0000","3.00","51.00","27.75","28.00","5,539.00","8,395,600.00","353,304,875.00"
"CEYLON HOTELS CORPORATION PLC","CHOT.N0000","300.00","110.00","9.25","9.50","11,999.00","14,673,100.00","337,188,750.00"
"LANKA WALLTILE PLC","LWL.N0000","35.00","92.00","35.00","43.75","1,169.00","4,399,600.00","308,972,900.00"
"TOKYO CEMENT COMPANY (LANKA) PLC","TKYO.X0000","12.25","18.25","7.00","7.25","3,026.00","19,883,300.00","300,442,550.00"
"C I C HOLDINGS PLC","CIC.X0000","100.00","31.75","19.00","19.75","8,721.00","11,498,200.00","299,032,175.00"
"MADULSIMA  PLANTATIONS  PLC","MADU.N0000","6.75","24.00","5.50","6.25","13,207.00","17,872,000.00","284,025,225.00"
"EAST WEST PROPERTIES PLC","EAST.N0000","11.25","16.25","3.00","3.20","8,720.00","23,991,100.00","283,080,715.00"
"CARSON CUMBERBATCH PLC","CARS.N0000","2,200.00","5,025.00","100.00","109.00","2,346.00","761,800.00","278,946,900.00"
"NAMUNUKULA PLANTATIONS PLC","NAMU.N0000","8.50","47.75","13.50","14.50","4,982.00","6,897,500.00","275,742,100.00"
"HATTON NATIONAL BANK PLC","HNB.N0000","110.00","135.00","65.00","69.75","1,739.00","2,480,400.00","273,517,650.00"
"JANASHAKTHI INSURANCE PLC","JINS.N0000","0.00","13.50","5.50","5.75","5,020.00","25,139,000.00","269,958,925.00"
"CEYLON TOBACCO COMPANY PLC","CTC.N0000","58.00","80.00","53.00","66.00","1,830.00","3,724,900.00","249,035,900.00"
"RENUKA FOODS PLC","COCO.N0000","20.75","26.25","8.50","9.50","8,180.00","11,293,200.00","248,839,850.00"
"C T HOLDINGS PLC","CTHR.N0000","3,800.00","5,300.00","24.25","26.00","2,491.00","1,957,800.00","245,730,150.00"
"UNITED MOTORS LANKA PLC","UML.N0000","53.00","94.00","33.00","33.25","3,983.00","3,567,700.00","243,859,325.00"
"KEGALLE  PLANTATIONS  PLC","KGAL.N0000","21.25","69.50","21.25","28.00","2,687.00","4,213,900.00","242,627,075.00"
"PGP GLASS CEYLON PLC","GLAS.N0000","2.25","2.70","1.30","1.30","5,955.00","108,736,200.00","242,254,420.00"
"BROWN & COMPANY PLC","BRWN.N0000","498.75","1,200.00","18.50","19.00","3,794.00","2,180,500.00","241,952,675.00"
"NESTLE LANKA PLC","NEST.N0000","113.00","360.00","240.00","260.00","599.00","762,700.00","240,495,800.00"
"HEMAS HOLDINGS PLC","HHL.N0000","100.25","100.00","55.00","55.25","1,216.00","3,124,500.00","240,112,725.00"
"HAYCARB PLC","HAYC.N0000","35.00","66.00","37.00","44.50","1,838.00","4,324,100.00","233,253,700.00"
"COMMERCIAL BANK OF CEYLON PLC","COMB.X0000","59.00","89.50","48.00","48.00","3,424.00","3,017,400.00","233,098,350.00"
"DANKOTUWA PORCELAIN PLC","DPL.N0000","14.75","22.75","4.90","5.25","7,652.00","14,771,900.00","228,424,125.00"
"CENTRAL FINANCE COMPANY PLC","CFIN.N0000","154.25","237.00","155.00","165.00","949.00","1,056,400.00","217,390,100.00"
"LANKA MILK FOODS (CWE) PLC","LMF.N0000","21.50","57.00","27.50","31.75","2,562.00","4,514,100.00","216,039,300.00"
"NAWALOKA HOSPITALS PLC","NHL.N0000","2.75","3.20","1.60","1.80","7,057.00","84,905,000.00","212,737,580.00"
"TALAWAKELLE TEA ESTATES PLC","TPL.N0000","17.25","44.00","12.00","13.00","4,779.00","5,734,100.00","203,380,800.00"
"YORK ARCADE HOLDINGS PLC","YORK.N0000","9.00","18.00","7.00","8.25","7,759.00","13,575,400.00","201,030,950.00"
"KOTAGALA PLANTATIONS PLC","KOTA.N0000","12.00","73.00","17.00","17.00","3,352.00","3,390,300.00","193,804,800.00"
"CARGO BOAT DEVELOPMENT COMPANY PLC","CABO.N0000","22.00","32.50","18.75","25.00","5,609.00","7,639,400.00","193,533,650.00"
"PAN ASIA BANKING CORPORATION PLC","PABC.N0000","16.25","15.25","9.50","10.25","4,039.00","15,653,900.00","191,769,375.00"
"SWISSTEK (CEYLON) PLC","PARQ.N0000","18.50","26.75","10.00","11.75","6,866.00","9,697,000.00","184,925,125.00"
"CEYLON LEATHER PRODUCTS PLC","CLPL.N0000","11.50","94.00","43.00","47.75","4,488.00","2,670,500.00","180,006,050.00"
"CEYLON GUARDIAN INVESTMENT TRUST PLC","GUAR.N0000","110.25","187.50","0.00","82.00","1,146.00","1,136,600.00","178,863,050.00"
"CEYLON & FOREIGN TRADES PLC","CFT.N0000","60.00","163.00","15.00","16.00","6,530.00","5,251,300.00","172,058,825.00"
