Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs)
LANKA WALLTILE PLC,LWL.N0000,46.8,86,62758,2920677.6
CEYLON INVESTMENT PLC,CINV.N0000,53,101,54436,2872575.4
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,15.9,59,178688,2855372.1
SMB FINANCE PLC,SEMB.X0000,0.3,42,9405384,2821619.8
SINGER (SRI LANKA) PLC,SINS.N0000,15.5,36,177245,2787450.8
WATAWALA PLANTATIONS PLC,WATA.N0000,74,99,34277,2540404.2
SWISSTEK (CEYLON) PLC,PARQ.N0000,16.5,53,152950,2523468.2
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,68,29,36650,2523223.5
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,26.8,68,94461,2520631.2
UNION ASSURANCE PLC,UAL.N0000,39,13,62440,2434250
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,55.2,72,44533,2403482.1
JOHN KEELLS HOTELS PLC,KHL.N0000,23,50,91633,2099850.6
AITKEN SPENCE PLC,SPEN.N0000,139.75,23,14840,2075532.75
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,389,16,5292,2016434.75
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,599.75,36,3361,2010502.5
LEE HEDGES PLC,SHAW.N0000,81.9,37,23054,1882371
PRIME LANDS RESIDENCIES PLC,PLR.N0000,8.3,81,212923,1763920.4
RESUS ENERGY PLC,HPWR.N0000,14.3,71,115804,1606514.3
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,28,124,57005,1599865.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,53,81,29618,1586658.7
LOTUS HYDRO POWER PLC,HPFL.N0000,9.9,107,158937,1540893.9
AMANA BANK PLC,ABL.N0000,2.4,32,629173,1531097.3
SMB FINANCE PLC,SEMB.N0000,0.9,116,1838153,1481283.8
UB FINANCE COMPANY LIMITED,UBF.N0000,1.2,102,1204292,1453801
CARGILLS (CEYLON) PLC,CARG.N0000,325,22,4470,1451680.5
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,101.5,32,13858,1405616.5
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,20.9,45,60218,1274936.9
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,77.5,28,16227,1256406
