Label,Year,Month,Close (Rs.),Loan Rate
CARG.N0000,1991,11,400.0,19.3
CFIN.N0000,1991,11,204.875,19.3
CFLB.N0000,1991,11,25.125,19.3
CFT.N0000,1991,11,80.0,19.3
CHOU.N0000,1991,11,17.0,19.3
CIC.N0000,1991,11,133.25,19.3
CIND.N0000,1991,11,72.625,19.3
CINV.N0000,1991,11,230.0,19.3
COMB.N0000,1991,11,238.25,19.3
CTC.N0000,1991,11,50.0,19.3
CTCE.N0000,1991,11,49.0,19.3
CTHR.N0000,1991,11,329.5,19.3
DFCC.N0000,1991,11,1112.5,19.3
DIPD.N0000,1991,11,144.25,19.3
EAST.N0000,1991,11,36.5,19.3
GHLL.N0000,1991,11,6.25,19.3
GRAN.N0000,1991,11,136.0,19.3
HAYC.N0000,1991,11,156.0,19.3
HAYL.N0000,1991,11,465.0,19.3
HDEV.N0000,1991,11,10.25,19.3
HNB.N0000,1991,11,400.125,19.3
JKH.N0000,1991,11,300.0,19.3
KAPI.N0000,1991,11,24.5,19.3
LCEM.N0000,1991,11,6.75,19.3
LMF.N0000,1991,11,34.0,19.3
MORI.N0000,1991,11,256.5,19.3
NEST.N0000,1991,11,27.5,19.3
ONAL.N0000,1991,11,17.0,19.3
OSEA.N0000,1991,11,16.5,19.3
PARA.N0000,1991,11,78.25,19.3
