Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,50.6,822,2665079,137390980.4,-0.3,-0.59
First Capital Treasuries PLC,FCT.N0000,43.3,603,2219003,98726967.4,-1.1,-2.48
