Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
ODEL PLC,ODEL.N0000,15.7,1,100,1570,0.1,0.64
OFFICE EQUIPMENT PLC,OFEQ.N0000,0,,,,0,0
ON'ALLY HOLDINGS PLC,ONAL.N0000,26.7,9,1060,28297,-0.2,-0.74
ORIENT FINANCE PLC,BFN.N0000,8.1,167,962870,7602514.3,0.6,8
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,16.5,17,5979,98753.2,0,0
