Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
JANASHAKTHI INSURANCE PLC,JINS.N0000,38.3,88,258515,9894899.6,1.9,5.22
JAT HOLDINGS PLC,JAT.N0000,16.8,46,69325,1166115,-0.7,-4
JETWING SYMPHONY PLC,JETS.N0000,8.7,48,282948,2488537.8,-0.2,-2.25
JOHN KEELLS HOLDINGS PLC,JKH.N0000,192,341,1625730,314148282.3,0.5,0.26
JOHN KEELLS HOTELS PLC,KHL.N0000,22.2,83,172220,3874279.2,-0.8,-3.48
JOHN KEELLS PLC,JKL.N0000,70,1,160,11200,0,0
