Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
INDO-MALAY PLC,INDO.N0000,0,,,,0,0
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,0.3,56,3054627,918573.6,0,0
