Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,15.5,74,40238,627873.6,-0.5,-3.13
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,30.8,335,483686,14633993.1,1.1,3.7
GESTETNER OF CEYLON PLC,GEST.N0000,96.1,4,54,5128.6,0,0
GOOD HOPE PLC,GOOD.N0000,0,,,,0,0
