Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
MACKWOODS ENERGY PLC,MEL.N0000,2,72,439039,878078.1,0,0
MADULSIMA PLANTATIONS PLC,MADU.N0000,11,13,5750,63300,-0.1,-0.9
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,27.8,36,6330,175625.1,-0.2,-0.71
MAHAWELI REACH HOTELS PLC,MRH.N0000,13.7,5,1271,17415.6,-0.3,-2.14
MALWATTE VALLEY PLANTATION PLC,MAL.X0000,31.3,6,214,6706.9,-0.3,-0.95
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,59,2,101,5957.8,1,1.72
MARAWILA RESORTS PLC,MARA.N0000,2.7,50,647641,1740668.7,0.1,3.85
MASKELIYA PLANTATIONS PLC,MASK.N0000,35.4,25,40803,1461574.5,-0.6,-1.67
MELSTACORP PLC,MELS.N0000,79.8,130,314855,25441882.4,-2.2,-2.68
MERCANTILE INVESTMENTS AND FINANCE PLC,MERC.N0000,2600,,,,0,0
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,199.5,7,170,33925,-10.25,-4.89
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,5.3,31,229055,1219118,0.3,6
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,3.2,29,171202,561653.5,-0.1,-3.03
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,1.1,11,1000335,1100402,0,0
MULTI FINANCE PLC,MFL.N0000,0,,,,0,0
MYLAND DEVELOPMENTS PLC,MDL.N0000,9.3,11,2631,25076.1,-0.1,-1.06
