Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
TAL LANKA HOTELS PLC,TAJ.N0000,21.5,21,7977,171399.1,1.4,6.97
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,110,105,33395,3690979.75,-4,-3.51
TANGERINE BEACH HOTELS PLC,TANG.N0000,54.6,2,100,5460,-4.7,-7.93
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,46.1,10,570,26261.1,-1.9,-3.96
TEEJAY LANKA PLC,TJL.N0000,34,82,457579,15461886.3,0.5,1.49
TESS AGRO PLC,TESS.N0000,1,49,87517,87516.4,0,0
TESS AGRO PLC,TESS.X0000,0.8,7,5545,4435.4,0,0
THE AUTODROME PLC,AUTO.N0000,135.5,8,331,45143.75,20.5,17.83
THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,30,57,926585,27837774.1,-0.5,-1.64
THE FORTRESS RESORTS PLC,RHTL.N0000,18.8,74,496358,9311487.4,-0.2,-1.05
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,8.5,11,24568,210799.8,-0.1,-1.16
THE KINGSBURY PLC,SERV.N0000,10.3,33,621137,6395348.5,0.1,0.98
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,105,18,11134,1168785,1.25,1.2
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,31.9,19,9279,296580,-0.3,-0.93
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,1500,20,625,938499.75,0.25,0.02
THREE ACRE FARMS PLC,TAFL.N0000,216.25,97,41745,9027768.25,-4.75,-2.15
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,57.3,108,410186,23332860.7,1.3,2.32
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,50,127,500535,25018582.6,2.1,4.38
TRANS ASIA HOTELS PLC,TRAN.N0000,48,11,468,22371,0,0
