Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
NAMAL ACUITY VALUE FUND,NAVF.U0000,0,,,,0,0
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,379.25,27,584,222315.25,-2,-0.52
NATION LANKA FINANCE PLC,CSF.N0000,0.5,20,837047,418624.2,0,0
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,79,299,821565,65294713.6,2.5,3.27
NATIONS TRUST BANK PLC,NTB.X0000,121.5,32,9750,1132342,6.75,5.88
NATIONS TRUST BANK PLC,NTB.N0000,121.75,292,376895,46390112.25,2.75,2.31
NAWALOKA HOSPITALS PLC,NHL.N0000,0,,,,0,0
NESTLE LANKA PLC,NEST.N0000,0,,,,0,0
