Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
DANKOTUWA PORCELAIN PLC,DPL.N0000,26.6,26,431882,11500823.7,-0.1,-0.37
DFCC BANK PLC,DFCC.N0000,87.5,589,2039076,176038661.3,4.4,5.29
DIALOG AXIATA PLC,DIAL.N0000,11.8,134,15412283,181824523.5,0.4,3.51
DIALOG FINANCE PLC,CALF.N0000,60.8,8,143,8693.7,-3.1,-4.85
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,598,36,3361,2010502.5,-1,-0.17
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,1020.5,11,66,67486.5,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,32.3,120,206065,6720675.2,0.5,1.57
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,25,225,2837049,71305291.6,0.1,0.4
DOLPHIN HOTELS PLC,STAF.N0000,33.1,9,6800,231580,0,0
