Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
UB FINANCE COMPANY LIMITED,UBF.N0000,1.2,122,823329,987394.9,0,0
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,77.4,117,26195,2071659.2,-7.6,-8.94
UNION ASSURANCE PLC,UAL.N0000,39.3,13,3250,125541.3,0.3,0.77
UNION BANK OF COLOMBO PLC,UBC.N0000,10.9,187,1195781,12915213.6,0.4,3.81
UNION CHEMICALS LANKA PLC,UCAR.N0000,706.25,,,,0,0
UNISYST ENGINEERING PLC,ALUF.N0000,0,,,,0,0
UNITED MOTORS LANKA PLC,UML.N0000,72.2,34,13840,1020145.9,-0.8,-1.1
