Company Name,Symbol,Last Traded Price (Rs),Trade Volume,Share Volume,Turnover(Rs),Change(Rs),Change (%) (%)
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,39.2,69,10014,382746.8,-1.8,-4.39
HARISCHANDRA MILLS PLC,HARI.N0000,4000,,,,0,0
HATTON NATIONAL BANK PLC,HNB.X0000,154,94,216076,33151552.75,2.5,1.65
HATTON NATIONAL BANK PLC,HNB.N0000,183,197,473100,87158186,-0.25,-0.14
HATTON PLANTATIONS PLC,HPL.N0000,25.1,31,9947,249344,-0.8,-3.09
HAYCARB PLC,HAYC.N0000,66.5,50,34041,2271961.9,-0.4,-0.6
HAYLEYS FABRIC PLC,MGT.N0000,39,629,1972721,76313799.1,1,2.63
HAYLEYS FIBRE PLC,HEXP.N0000,58.2,28,5568,328990.3,-3.5,-5.67
HAYLEYS LEISURE PLC,CONN.N0000,24,22,28687,684001.7,0.9,3.9
HAYLEYS PLC,HAYL.N0000,88,213,454706,39765618.8,-1.1,-1.23
HELA APPAREL HOLDINGS PLC,HELA.N0000,6.6,1292,13755130,90536063.6,-0.8,-10.81
HEMAS HOLDINGS PLC,HHL.N0000,79.7,82,68123,5423282.4,-0.3,-0.38
HIKKADUWA BEACH RESORT PLC,CITH.N0000,5.1,2,24,122.4,0,0
HNB ASSURANCE PLC,HASU.N0000,57,100,1385734,79067702.6,1.8,3.26
HNB FINANCE PLC,HNBF.X0000,5.7,11,22705,131456.5,0.2,3.64
HNB FINANCE PLC,HNBF.N0000,5.9,55,364304,2174513.6,0.1,1.72
HORANA PLANTATIONS PLC,HOPL.N0000,45.1,21,15400,695451.5,-1.4,-3.01
HOTEL SIGIRIYA PLC,HSIG.N0000,41.8,39,24599,1035348.4,-1.7,-3.91
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,34.1,30,11661,397551.6,-0.9,-2.57
hSenid Business Solutions PLC,HBS.N0000,12.5,59,67780,847040.3,0,0
HUNAS HOLDINGS PLC,HUNA.N0000,29.3,17,115515,3437570.6,0.8,2.81
HUNTER & COMPANY PLC,HUNT.N0000,655.5,3,7,4758.25,0,0
HVA FOODS PLC,HVA.N0000,4,23,54091,218504,-0.2,-4.76
